"URL","Date","Value"
"<a href=""http://indicator.am-consulting.co.jp/indicators.html#株式時価総額:一部(兆円)"" target=""_blank"">株式時価総額:一部(兆円)</a>","2017年07月",595.965004
"<a href=""http://indicator.am-consulting.co.jp/indicators.html#株式時価総額:二部(兆円)"" target=""_blank"">株式時価総額:二部(兆円)</a>","2017年07月",9.115922
"<a href=""http://indicator.am-consulting.co.jp/indicators.html#株式時価総額:マザーズ(兆円)"" target=""_blank"">株式時価総額:マザーズ(兆円)</a>","2017年07月",4.677344
"<a href=""http://indicator.am-consulting.co.jp/indicators.html#株式時価総額:合計(兆円)"" target=""_blank"">株式時価総額:合計(兆円)</a>","2017年07月",619.505958
"<a href=""http://indicator.am-consulting.co.jp/indicators.html#第一部:単純平均利回り(%)"" target=""_blank"">第一部:単純平均利回り(%)</a>","2017年07月",1.63
"<a href=""http://indicator.am-consulting.co.jp/indicators.html#第一部:有配会社平均利回り(%)"" target=""_blank"">第一部:有配会社平均利回り(%)</a>","2017年07月",1.66
"<a href=""http://indicator.am-consulting.co.jp/indicators.html#第一部:加重平均利回り(%)"" target=""_blank"">第一部:加重平均利回り(%)</a>","2017年07月",1.91
"<a href=""http://indicator.am-consulting.co.jp/indicators.html#第二部:単純平均利回り(%)"" target=""_blank"">第二部:単純平均利回り(%)</a>","2017年07月",1.68
"<a href=""http://indicator.am-consulting.co.jp/indicators.html#第二部:有配会社平均利回り(%)"" target=""_blank"">第二部:有配会社平均利回り(%)</a>","2017年07月",1.8
"<a href=""http://indicator.am-consulting.co.jp/indicators.html#第二部:加重平均利回り(%)"" target=""_blank"">第二部:加重平均利回り(%)</a>","2017年07月",1.14
"<a href=""http://indicator.am-consulting.co.jp/indicators.html#連結総合(加重):市場第一部:PER"" target=""_blank"">連結総合(加重):市場第一部:PER</a>","2017年07月",17.3
"<a href=""http://indicator.am-consulting.co.jp/indicators.html#連結総合(加重):市場第一部:PBR"" target=""_blank"">連結総合(加重):市場第一部:PBR</a>","2017年07月",1.3
"<a href=""http://indicator.am-consulting.co.jp/indicators.html#内国株式:一部:売買高:億株"" target=""_blank"">内国株式:一部:売買高:億株</a>","2017年07月",385.3997
"<a href=""http://indicator.am-consulting.co.jp/indicators.html#内国株式:一部:売買高:1日平均:億株"" target=""_blank"">内国株式:一部:売買高:1日平均:億株</a>","2017年07月",19.26999
"<a href=""http://indicator.am-consulting.co.jp/indicators.html#内国株式:一部:売買代金:兆円"" target=""_blank"">内国株式:一部:売買代金:兆円</a>","2017年07月",51.163326
"<a href=""http://indicator.am-consulting.co.jp/indicators.html#内国株式:一部:売買代金:1日平均:兆円"" target=""_blank"">内国株式:一部:売買代金:1日平均:兆円</a>","2017年07月",2.558166
"<a href=""http://indicator.am-consulting.co.jp/indicators.html#内国株式:二部:売買高:億株"" target=""_blank"">内国株式:二部:売買高:億株</a>","2017年07月",44.62482
"<a href=""http://indicator.am-consulting.co.jp/indicators.html#内国株式:二部:売買高:1日平均:億株"" target=""_blank"">内国株式:二部:売買高:1日平均:億株</a>","2017年07月",2.23124
"<a href=""http://indicator.am-consulting.co.jp/indicators.html#内国株式:二部:売買代金:兆円"" target=""_blank"">内国株式:二部:売買代金:兆円</a>","2017年07月",1.002358
