"Title","Date","Latest","diff01","diff12","ratio01","ratio12","PorN","fig1","fig2","fig3","fig4","fig5"
"景気動向指数個別系列:最終需要財在庫率指数(逆サイクル):(平成22年=100)","2017年06月",103.9,-1.1,-2.7,-1,-2.5,FALSE,"<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-1.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-1.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-ma-1.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-ma-1.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-bp-3-1.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-bp-3-1.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-bp-4-1.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-bp-4-1.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-acf-1.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-acf-1.png"" width=""15%"" /></a>"
"景気動向指数個別系列:鉱工業用生産財在庫率指数(逆サイクル):(平成22年=100)","2017年06月",117.1,-4.2,-7.8,-3.5,-6.2,FALSE,"<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-2.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-2.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-ma-2.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-ma-2.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-bp-3-2.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-bp-3-2.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-bp-4-2.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-bp-4-2.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-acf-2.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-acf-2.png"" width=""15%"" /></a>"
"景気動向指数個別系列:新規求人数(除学卒):(人)","2017年06月",961541,22149,51826,2.4,5.7,TRUE,"<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-3.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-3.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-ma-3.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-ma-3.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-bp-3-3.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-bp-3-3.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-bp-4-3.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-bp-4-3.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-acf-3.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-acf-3.png"" width=""15%"" /></a>"
"景気動向指数個別系列:実質機械受注(製造業):(百万円)","2017年06月",346494,-20220,-11863,-5.5,-3.3,TRUE,"<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-4.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-4.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-ma-4.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-ma-4.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-bp-3-4.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-bp-3-4.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-bp-4-4.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-bp-4-4.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-acf-4.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-acf-4.png"" width=""15%"" /></a>"
"景気動向指数個別系列:新設住宅着工床面積:(千㎡)","2017年06月",6762,28,86,0.4,1.3,TRUE,"<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-5.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-5.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-ma-5.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-ma-5.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-bp-3-5.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-bp-3-5.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-bp-4-5.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-bp-4-5.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-acf-5.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-acf-5.png"" width=""15%"" /></a>"
"景気動向指数個別系列:消費者態度指数","2017年06月",43.5,0,1.4,0,3.3,TRUE,"<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-6.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-6.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-ma-6.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-ma-6.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-bp-3-6.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-bp-3-6.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-bp-4-6.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-bp-4-6.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-acf-6.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-acf-6.png"" width=""15%"" /></a>"
"景気動向指数個別系列:日経商品指数(42種):(1970年=100)","2017年06月",172.514,-0.117,15.81,-0.1,10.1,TRUE,"<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-7.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-7.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-ma-7.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-ma-7.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-bp-3-7.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-bp-3-7.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-bp-4-7.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-bp-4-7.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-acf-7.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-acf-7.png"" width=""15%"" /></a>"
"景気動向指数個別系列:マネーストック(M2)(前年同月比):(%)","2017年06月",3.9,0.1,0.6,2.6,18.2,FALSE,"<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-8.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-8.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-ma-8.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-ma-8.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-bp-3-8.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-bp-3-8.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-bp-4-8.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-bp-4-8.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-acf-8.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-acf-8.png"" width=""15%"" /></a>"
"景気動向指数個別系列:東証株価指数","2017年06月",1603.77,32.15,314.94,2,24.4,TRUE,"<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-9.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-9.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-ma-9.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-ma-9.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-bp-3-9.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-bp-3-9.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-bp-4-9.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-bp-4-9.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-acf-9.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-acf-9.png"" width=""15%"" /></a>"
"景気動向指数個別系列:投資環境指数(製造業)","2017年03月",4.63,0.12,1.19,2.7,34.6,FALSE,"<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-10.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-10.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-ma-10.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-ma-10.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-bp-3-10.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-bp-3-10.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-bp-4-10.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-bp-4-10.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-acf-10.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-acf-10.png"" width=""15%"" /></a>"
