"Title","Date","Latest","diff01","diff12","ratio01","ratio12","PorN","fig1","fig2","fig3","fig4","fig5"
"マネタリーベース平均残高(前年比)(%)","2017年08月",16.3,0.7,-7.9,4.5,-32.6,FALSE,"<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/monetary.base.japan-1.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/monetary.base.japan-1.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/monetary.base.japan-ma-1.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/monetary.base.japan-ma-1.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/monetary.base.japan-bp-3-1.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/monetary.base.japan-bp-3-1.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/monetary.base.japan-bp-4-1.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/monetary.base.japan-bp-4-1.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/monetary.base.japan-acf-1.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/monetary.base.japan-acf-1.png"" width=""15%"" /></a>"
"マネタリーベース平均残高/うち日本銀行券発行高(前年比)(%)","2017年08月",4.7,0.1,-1,2.2,-17.5,FALSE,"<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/monetary.base.japan-2.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/monetary.base.japan-2.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/monetary.base.japan-ma-2.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/monetary.base.japan-ma-2.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/monetary.base.japan-bp-3-2.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/monetary.base.japan-bp-3-2.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/monetary.base.japan-bp-4-2.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/monetary.base.japan-bp-4-2.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/monetary.base.japan-acf-2.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/monetary.base.japan-acf-2.png"" width=""15%"" /></a>"
"マネタリーベース平均残高/うち貨幣流通高(前年比)(%)","2017年08月",1.2,0,0.1,0,9.1,FALSE,"<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/monetary.base.japan-3.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/monetary.base.japan-3.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/monetary.base.japan-ma-3.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/monetary.base.japan-ma-3.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/monetary.base.japan-bp-3-3.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/monetary.base.japan-bp-3-3.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/monetary.base.japan-bp-4-3.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/monetary.base.japan-bp-4-3.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/monetary.base.japan-acf-3.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/monetary.base.japan-acf-3.png"" width=""15%"" /></a>"
"マネタリーベース平均残高/うち日銀当座預金(前年比)(%)","2017年08月",20.2,0.9,-11.8,4.7,-36.9,FALSE,"<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/monetary.base.japan-4.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/monetary.base.japan-4.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/monetary.base.japan-ma-4.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/monetary.base.japan-ma-4.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/monetary.base.japan-bp-3-4.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/monetary.base.japan-bp-3-4.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/monetary.base.japan-bp-4-4.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/monetary.base.japan-bp-4-4.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/monetary.base.japan-acf-4.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/monetary.base.japan-acf-4.png"" width=""15%"" /></a>"
"マネタリーベース平均残高(兆円)","2017年08月",466.3075,1.2383,65.3094,0.3,16.3,TRUE,"<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/monetary.base.japan-5.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/monetary.base.japan-5.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/monetary.base.japan-ma-5.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/monetary.base.japan-ma-5.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/monetary.base.japan-bp-3-5.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/monetary.base.japan-bp-3-5.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/monetary.base.japan-bp-4-5.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/monetary.base.japan-bp-4-5.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/monetary.base.japan-acf-5.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/monetary.base.japan-acf-5.png"" width=""15%"" /></a>"
"マネタリーベース平均残高/うち日本銀行券発行高(兆円)","2017年08月",100.7793,0.3835,4.5195,0.4,4.7,TRUE,"<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/monetary.base.japan-6.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/monetary.base.japan-6.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/monetary.base.japan-ma-6.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/monetary.base.japan-ma-6.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/monetary.base.japan-bp-3-6.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/monetary.base.japan-bp-3-6.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/monetary.base.japan-bp-4-6.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/monetary.base.japan-bp-4-6.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/monetary.base.japan-acf-6.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/monetary.base.japan-acf-6.png"" width=""15%"" /></a>"
"マネタリーベース平均残高/うち貨幣流通高(兆円)","2017年08月",4.7386,0.0104,0.0578,0.2,1.2,TRUE,"<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/monetary.base.japan-7.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/monetary.base.japan-7.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/monetary.base.japan-ma-7.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/monetary.base.japan-ma-7.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/monetary.base.japan-bp-3-7.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/monetary.base.japan-bp-3-7.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/monetary.base.japan-bp-4-7.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/monetary.base.japan-bp-4-7.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/monetary.base.japan-acf-7.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/monetary.base.japan-acf-7.png"" width=""15%"" /></a>"
"マネタリーベース平均残高/うち日銀当座預金(兆円)","2017年08月",360.7896,0.8444,60.7321,0.2,20.2,TRUE,"<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/monetary.base.japan-8.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/monetary.base.japan-8.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/monetary.base.japan-ma-8.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/monetary.base.japan-ma-8.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/monetary.base.japan-bp-3-8.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/monetary.base.japan-bp-3-8.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/monetary.base.japan-bp-4-8.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/monetary.base.japan-bp-4-8.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/monetary.base.japan-acf-8.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/monetary.base.japan-acf-8.png"" width=""15%"" /></a>"
"St. Louis Adjusted Monetary Base(Billions of Dollars,NSA)","2017年07月",3807.194,15.544,13.738,0.4,0.4,TRUE,"<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/monetary.base.japan-9.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/monetary.base.japan-9.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/monetary.base.japan-ma-9.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/monetary.base.japan-ma-9.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/monetary.base.japan-bp-3-9.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/monetary.base.japan-bp-3-9.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/monetary.base.japan-bp-4-9.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/monetary.base.japan-bp-4-9.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/monetary.base.japan-acf-9.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/monetary.base.japan-acf-9.png"" width=""15%"" /></a>"
"米国と日本のマネタリーベース比(10億ドル/兆円)","2017年07月",8.19,-0.06,-1.24,-0.7,-13.1,TRUE,"<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/monetary.base.japan-10.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/monetary.base.japan-10.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/monetary.base.japan-ma-10.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/monetary.base.japan-ma-10.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/monetary.base.japan-bp-3-10.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/monetary.base.japan-bp-3-10.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/monetary.base.japan-bp-4-10.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/monetary.base.japan-bp-4-10.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/monetary.base.japan-acf-10.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/monetary.base.japan-acf-10.png"" width=""15%"" /></a>"
