都道府県,出生率(人口千対),死亡率(人口千対),乳児死亡率(出生千対),新生児死亡率(出生千対),自然増減率(人口千対),死産率(出産千対),自然死産率,人工死産率,周産期死亡率(出産千対),妊娠満22週以後の死産率(出産千対),早期新生児死亡率(出生千対),婚姻率(人口千対),離婚率(人口千対),合計特殊出生率
全国,8,10.3,1.9,0.9,-2.3,22,10.6,11.4,3.7,3,0.7,5.1,1.81,1.45
北海道,6.8,11.3,2,1,-4.5,28,11.1,16.9,4.1,3.4,0.7,4.8,2.09,1.31
青森,6.6,13.1,2.3,1.5,-6.5,24.4,11.5,12.9,4.6,3.5,1.2,4.2,1.74,1.43
岩手,6.9,12.9,3.1,0.9,-6,23.9,12.6,11.3,3.4,2.9,0.5,4.1,1.53,1.49
宮城,7.8,9.9,1.6,0.8,-2.2,23.2,11,12.2,3.5,2.9,0.6,4.9,1.72,1.36
秋田,5.7,14.5,0.7,0.2,-8.8,21.7,11.4,10.3,2.9,2.7,0.2,3.5,1.5,1.35
山形,7,13.4,2.3,0.9,-6.4,22.6,11.7,10.9,4.1,3.4,0.6,4,1.35,1.48
福島,7.5,12.7,2.4,1.1,-5.3,24.7,13.1,11.6,5.1,4.2,0.8,4.7,1.7,1.58
茨城,7.5,10.8,2.4,1,-3.2,22,11.2,10.8,4.2,3.4,0.8,4.7,1.8,1.48
栃木,7.9,10.5,1.5,1,-2.7,20.9,8.8,12,3.3,2.5,0.8,4.9,1.74,1.49
群馬,7.4,11.1,1.5,0.8,-3.8,22.8,11,11.8,4.2,3.5,0.7,4.6,1.79,1.49
埼玉,7.8,8.7,2,0.9,-0.9,23.5,11.7,11.8,3.7,3.1,0.6,4.9,1.77,1.39
千葉,7.7,9.1,2.1,1.1,-1.5,22.9,12.9,10,3.8,3.1,0.7,4.9,1.78,1.38
東京,8.6,8.5,1.7,0.8,0.1,20.8,9.9,10.9,3.2,2.7,0.5,6.6,1.84,1.24
神奈川,8.2,8.4,1.9,1,-0.3,20,10,10,3.9,3.1,0.8,5.4,1.81,1.39
新潟,7.1,12.3,2,1,-5.2,20.9,10.5,10.4,3.7,3.1,0.7,4.1,1.39,1.44
富山,7.2,12.1,1.5,1.1,-4.9,21.2,12,9.2,5,4.3,0.7,4.3,1.4,1.51
石川,7.9,10.7,1.4,0.6,-2.8,20.3,11.2,9.1,5.2,4.7,0.4,4.5,1.49,1.54
福井,8,11.5,1.8,0.3,-3.5,23.1,12.7,10.3,4.5,4.3,0.2,4.5,1.54,1.63
山梨,7.3,11.7,2,0.7,-4.4,22.4,9.5,12.9,2.8,2.5,0.3,4.7,1.75,1.51
長野,7.5,11.8,1.3,0.7,-4.3,20.4,10.1,10.3,3,2.5,0.5,4.6,1.62,1.58
岐阜,7.7,11,1.9,0.8,-3.3,20.3,9.4,10.9,3.6,2.9,0.7,4.4,1.56,1.56
静岡,7.8,10.9,1.9,0.9,-3.1,18.7,9.1,9.5,3.7,3,0.7,4.9,1.79,1.54
愛知,9,8.8,2.1,0.9,0.2,19.2,10,9.2,3.8,3.1,0.8,5.6,1.79,1.57
