Date,出生数(人),死亡数(人),乳児死亡数(人),新生児死亡数(人),自然増減数(人)
1955,1730692,693523,68801,38646,1037169
1956,1665278,724460,67691,38232,940818
1957,1566713,752445,62678,33847,814268
1958,1653469,684189,57052,32237,969280
1959,1626088,689959,54768,30235,936129
1960,1606041,706599,49293,27362,899442
1961,1589372,695644,45465,26255,893728
1962,1618616,710265,42797,24777,908351
1963,1659521,670770,38442,22965,988751
1964,1716761,673067,34967,21344,1043694
1965,1823697,700438,33742,21260,1123259
1966,1360974,670342,26217,16296,690632
1967,1935647,675006,28928,19248,1260641
1968,1871839,686555,28600,18326,1185284
1969,1889815,693787,26874,17116,1196028
1970,1934239,712962,25412,16742,1221277
1971,2000973,684521,24805,16450,1316452
1972,2038682,683751,23773,15817,1354931
1973,2091983,709416,23683,15473,1382567
1974,2029989,710510,21888,14472,1319479
1975,1901440,702275,19103,12912,1199165
1976,1832617,703270,17105,11638,1129347
1977,1755100,690074,15666,10773,1065026
1978,1708643,695821,14327,9628,1012822
1979,1642580,689664,12923,8590,952916
1980,1576889,722801,11841,7796,854088
1981,1529455,720262,10891,7188,809193
1982,1515392,711883,9969,6425,803509
1983,1508687,740038,9406,5894,768649
1984,1489780,740247,8920,5527,749533
1985,1431577,752283,7899,4910,679294
1986,1382946,750620,7251,4296,632326
1987,1346658,751172,6711,3933,595486
1988,1314006,793014,6265,3592,520992
1989,1246802,788594,5724,3214,458208
1990,1221585,820305,5616,3179,401280
1991,1223245,829797,5418,2978,393448
1992,1208989,856643,5477,2905,352346
1993,1188282,878532,5169,2765,309750
1994,1238328,875933,5261,2889,362395
1995,1187064,922139,5054,2615,264925
1996,1206555,896211,4546,2438,310344
1997,1191665,913402,4403,2307,278263
1998,1203147,936484,4380,2353,266663
1999,1177669,982031,4010,2137,195638
2000,1190547,961653,3830,2106,228894
2001,1170662,970331,3599,1909,200331
2002,1153855,982379,3497,1937,171476
2003,1123610,1014951,3364,1879,108659
2004,1110721,1028602,3122,1622,82119
2005,1062530,1083796,2958,1510,-21266
2006,1092674,1084450,2864,1444,8224
2007,1089818,1108334,2828,1434,-18516
2008,1091156,1142407,2798,1331,-51251
2009,1070035,1141865,2556,1254,-71830
2010,1071304,1197012,2450,1167,-125708
2011,1050806,1253066,2463,1147,-202260
2012,1037231,1256359,2299,1065,-219128
2013,1029816,1268436,2185,1026,-238620
2014,1003539,1273004,2080,952,-269465
2015,1005677,1290444,1916,902,-284767
2016,976979,1307765,1928,874,-330786
