Date,死産数:総数(胎),死産数:自然死産(胎),死産数:人工死産(胎),周産期死亡数(人):妊娠満22週以後の死産+早期新生児死亡,婚姻件数(組),離婚件数(組),周産期死亡数(人):妊娠満28週以後の死産+早期新生児死亡
1955,183265,85159,98106,… ,714861,75267,75918
1956,179007,86558,92449,… ,715934,72040,75706
1957,176353,86895,89458,… ,773362,71651,70502
1958,185148,92282,92866,… ,826902,74004,72625
1959,181893,92688,89205,… ,847135,72455,69912
1960,179281,93424,85857,… ,866115,69410,66552
1961,179895,96032,83863,… ,890158,69323,65063
1962,177363,97256,80107,… ,928341,71394,62650
1963,175424,97711,77713,… ,937516,69996,60049
1964,168046,97357,70689,… ,963130,72306,56827
1965,161617,94476,67141,… ,954852,77195,54904
1966,148248,83253,64995,… ,940120,79432,42583
1967,149389,90938,58451,… ,953096,83478,50846
1968,143259,87381,55878,… ,956312,87327,45921
1969,139211,85788,53423,… ,984142,91280,43419
1970,135095,84073,51022,… ,1029405,95937,41917
1971,130920,83827,47093,… ,1091229,103595,40900
1972,125154,81741,43413,… ,1099984,108382,38754
1973,116171,78613,37558,… ,1071923,111877,37598
1974,109738,74618,35120,… ,1000455,113622,34383
1975,101862,67643,34219,… ,941628,119135,30513
1976,101930,64046,37884,… ,871543,124512,27133
1977,95247,60330,34917,… ,821029,129485,24708
1978,87463,55818,31645,… ,793257,132146,22217
1979,82311,51083,31228,36190,788505,135250,20481
1980,77446,47651,29795,32422,774702,141689,18385
1981,79222,46296,32926,30274,776531,154221,16531
1982,78107,44135,33972,28204,781252,163980,15303
1983,71941,40108,31833,25925,762552,179150,14035
1984,72361,37976,34385,25149,739991,178746,12998
1985,69009,33114,35895,22379,735850,166640,11470
1986,65678,31050,34628,20389,710962,166054,10148
1987,63834,29956,33878,18699,696173,158227,9317
1988,59636,26804,32832,16839,707716,153600,8508
1989,55204,24558,30646,15183,708316,157811,7450
1990,53892,23383,30509,13704,722138,157608,7001
1991,50510,22317,28193,10426,742264,168969,6544
1992,48896,21689,27207,9888,754441,179191,6321
1993,45090,20205,24885,9226,792658,188297,5989
1994,42962,19754,23208,9286,782738,195106,6134
1995,39403,18262,21141,8412,791888,199016,5526
1996,39536,18329,21207,8080,795080,206955,5321
1997,39546,17453,22093,7624,775651,222635,4974
1998,38988,16936,22052,7447,784595,243183,4927
1999,38452,16711,21741,7102,762028,250529,4665
2000,38393,16200,22193,6881,798138,264246,4562
2001,37467,15704,21763,6476,799999,285911,4238
2002,36978,15161,21817,6333,757331,289836,4224
2003,35330,14644,20686,5929,740191,283854,3995
2004,34365,14288,20077,5541,720417,270804,3671
2005,31818,13502,18316,5149,714265,261917,3492
2006,30911,13424,17487,5100,730971,257475,3420
2007,29313,13107,16206,4906,719822,254832,3306
2008,28177,12625,15552,4720,726106,251136,3178
2009,27005,12214,14791,4519,707734,253353,3096
2010,26560,12245,14315,4515,700214,251378,3065
2011,25751,11940,13811,4315,661895,235719,2961
2012,24800,11448,13352,4133,668869,235406,2759
2013,24102,10938,13164,3862,660613,231383,2649
2014,23524,10905,12619,3750,643749,222107,2501
2015,22617,10862,11755,3728,635156,226215,2495
2016,20938,10076,10862,3522,620523,216805,2376
