年次,人口(千人):総数,人口(千人):男,人口(千人):女,性比(女100につき男),人口密度(1キロ平方メートル当り),年平均人口増加率(%)
2010/1/1,128057,62328,65730,94.8,343,
2011/1/1,127753,62162,65590,94.8,343,-0.24
2012/1/1,127498,62014,65483,94.7,342,-0.2
2013/1/1,127247,61867,65380,94.6,341,-0.2
2014/1/1,126949,61697,65252,94.6,340,-0.23
2015/1/1,126597,61499,65098,94.5,339,-0.28
2016/1/1,126193,61276,64918,94.4,338,-0.32
2017/1/1,125739,61027,64712,94.3,337,-0.36
2018/1/1,125236,60755,64481,94.2,336,-0.4
2019/1/1,124689,60460,64228,94.1,334,-0.44
2020/1/1,124100,60146,63954,94,333,-0.47
2021/1/1,123474,59814,63660,94,331,-0.5
2022/1/1,122813,59465,63348,93.9,329,-0.53
2023/1/1,122122,59102,63021,93.8,327,-0.56
2024/1/1,121403,58725,62678,93.7,326,-0.59
2025/1/1,120659,58337,62322,93.6,324,-0.61
2026/1/1,119891,57939,61953,93.5,321,-0.64
2027/1/1,119102,57530,61572,93.4,319,-0.66
2028/1/1,118293,57113,61180,93.4,317,-0.68
2029/1/1,117465,56687,60777,93.3,315,-0.7
2030/1/1,116618,56253,60364,93.2,313,-0.72
2031/1/1,115752,55812,59940,93.1,310,-0.74
2032/1/1,114870,55363,59506,93,308,-0.76
2033/1/1,113970,54908,59062,93,306,-0.78
2034/1/1,113054,54447,58608,92.9,303,-0.8
2035/1/1,112124,53980,58144,92.8,301,-0.82
2036/1/1,111179,53508,57671,92.8,298,-0.84
2037/1/1,110220,53032,57188,92.7,296,-0.86
2038/1/1,109250,52552,56698,92.7,293,-0.88
2039/1/1,108268,52069,56199,92.7,290,-0.9
2040/1/1,107276,51583,55693,92.6,288,-0.92
2041/1/1,106275,51095,55180,92.6,285,-0.93
2042/1/1,105267,50606,54661,92.6,282,-0.95
2043/1/1,104253,50115,54137,92.6,280,-0.96
2044/1/1,103233,49624,53609,92.6,277,-0.98
2045/1/1,102210,49131,53079,92.6,274,-0.99
2046/1/1,101185,48638,52547,92.6,271,-1
2047/1/1,100158,48145,52014,92.6,269,-1.01
2048/1/1,99131,47650,51481,92.6,266,-1.03
2049/1/1,98103,47154,50949,92.6,263,-1.04
2050/1/1,97076,46657,50419,92.5,260,-1.05
2055/1/1,91933,44140,47794,92.4,247,-1.08
2060/1/1,86737,41566,45171,92,233,-1.16
