在学者数,,,,,,,,,,,,,,,,,
 (注)1  国・公・私立の合計数である。,,,,,,,,,,,,,,,,,
　　 2  盲学校，聾学校，養護学校及び特別支援学校は，それぞれ幼稚部・小学部・中学部及び高等部の合計数である。,,,,,,,,,,,,,,,,,
　　 3  高等学校は，本科・専攻科・別科の合計数である。,,,,,,,,,,,,,,,,,
　　 4  中等教育学校は，前期課程と後期課程の合計数である。,,,,,,,,,,,,,,,,,
　　 5  大学，短期大学，高等専門学校は学部，本科のほか，大学院・専攻科・別科・その他の学生の合計数である。,,,,,,,,,,,,,,,,,
　　 6  通信教育の学生・生徒は含まれていない。,,,,,,,,,,,,,,,,,
　　 7  平成29年度は速報値である。,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
区分,幼稚園,"幼保連携型
認定こども園",小学校,中学校,義務教育学校,高等学校,中等教育学校,盲学校,聾学校,養護学校,特別支援学校,高等専門学校,短期大学,大　学,専修学校,各種学校,
1948/1/1,198946,…,10774652,4792504,…,1203963,…,4457,7930,－,…,…,…,11978,…,221317,
1949/1/1,228807,…,10991927,5186188,…,1624625,…,4396,9964,89,…,…,…,126868,…,448414,
1950/1/1,224653,…,11191401,5332515,…,1935118,…,5155,11600,110,…,…,15098,224923,…,486609,
1951/1/1,244423,…,11422992,5129482,…,2193362,…,6161,13345,165,…,…,36331,313158,…,610912,
1952/1/1,370667,…,11148325,5076495,…,2342869,…,7136,14784,171,…,…,53230,399513,…,723580,
1953/1/1,519750,…,11225469,5187378,…,2528000,…,7901,16143,268,…,…,64197,446927,…,803710,
1954/1/1,611609,…,11750925,5664066,…,2545254,…,8604,17555,326,…,…,73497,491956,…,912235,
1955/1/1,643683,…,12266952,5883692,…,2592001,…,9090,18694,358,…,…,77885,523355,…,958292,
1956/1/1,651235,…,12616311,5962449,…,2702604,…,9460,19505,610,…,…,77114,547253,…,1020801,
1957/1/1,663253,…,12956285,5718182,…,2897646,…,9864,20044,1701,…,…,73137,564454,…,1070323,
1958/1/1,673879,…,13492087,5209951,…,3057190,…,10126,20397,2670,…,…,71254,578060,…,1133117,
1959/1/1,699778,…,13374700,5180319,…,3216152,…,10264,20744,3745,…,…,75697,597697,…,1178399,
1960/1/1,742367,…,12590680,5899973,…,3239416,…,10261,20723,4794,…,…,83457,626421,…,1239621,
1961/1/1,799085,…,11810874,6924693,…,3118896,…,10235,20489,6406,…,…,93361,670192,…,1241044,
1962/1/1,855909,…,11056915,7328344,…,3281522,…,10127,20180,8288,…,3375,107714,727104,…,1295376,
1963/1/1,935805,…,10471383,6963975,…,3896682,…,10099,20036,10398,…,8560,122292,794100,…,1374033,
1964/1/1,1060968,…,10030990,6475693,…,4634407,…,10011,19890,12856,…,15398,127904,852572,…,1386475,
1965/1/1,1137733,…,9775532,5956630,…,5073882,…,9933,19684,14699,…,22208,147563,937556,…,1383712,
1966/1/1,1221926,…,9584061,5555762,…,4997385,…,10038,19280,17012,…,28795,194997,1044296,…,1443382,
1967/1/1,1314607,…,9452071,5270854,…,4780628,…,10101,18650,19658,…,33998,234748,1160425,…,1442235,
1968/1/1,1419593,…,9383182,5043069,…,4521956,…,9955,18026,21303,…,38365,255262,1270189,…,1470869,
1969/1/1,1551017,…,9403193,4865196,…,4337772,…,9722,17288,23173,…,41637,263362,1354827,…,1414324,
1970/1/1,1674625,…,9493485,4716833,…,4231542,…,9510,16586,24700,…,44314,263219,1406521,…,1352686,
1971/1/1,1715756,…,9595021,4694250,…,4178327,…,9412,15916,26900,…,46707,275256,1468538,…,1308890,
1972/1/1,1842458,…,9696133,4688444,…,4154647,…,9296,15372,29840,…,47853,287974,1529163,…,1263772,
1973/1/1,2129471,…,9816536,4779593,…,4201223,…,9244,15119,34144,…,48288,309824,1597282,…,1245705,
1974/1/1,2233470,…,10088776,4735705,…,4270943,…,8938,14558,37899,…,48391,330360,1659338,…,1211566,
1975/1/1,2292591,…,10364846,4762442,…,4333079,…,9015,13897,40636,…,47955,353782,1734082,…,1205318,
1976/1/1,2371422,…,10609985,4833902,…,4386218,…,8802,13342,43522,…,47055,364880,1791786,131492,1087137,
1977/1/1,2453422,…,10819651,4977119,…,4381137,…,8579,12673,46391,…,46762,374244,1839363,356790,870103,
1978/1/1,2497895,…,11146874,5048296,…,4414896,…,8589,12393,50792,…,46636,380299,1862262,406613,781031,
1979/1/1,2486604,…,11629110,4966972,…,4484870,…,8330,11911,68606,…,46187,373996,1846368,416438,770959,
1980/1/1,2407093,…,11826573,5094402,…,4621930,…,8113,11577,72122,…,46348,371124,1835312,432914,724401,
1981/1/1,2292810,…,11924653,5299282,…,4682827,…,7830,11308,74931,…,46468,372406,1822117,472808,659967,
1982/1/1,2227615,…,11901520,5623975,…,4600551,…,7557,10786,76521,…,46909,374273,1817650,478934,627688,
1983/1/1,2192808,…,11739452,5706810,…,4716105,…,7273,10328,76770,…,47245,379425,1834493,512180,605944,
1984/1/1,2132942,…,11464221,5828867,…,4891917,…,7013,9716,78139,…,47527,381873,1843153,536545,579274,
1985/1/1,2067951,…,11095372,5990183,…,5177681,…,6780,9404,79217,…,48288,371095,1848698,538175,530159,
1986/1/1,2018523,…,10665404,6105749,…,5259307,…,6551,9088,80218,…,49174,396455,1879532,587609,483439,
1987/1/1,2016224,…,10226323,6081330,…,5375107,…,6432,8851,80745,…,50078,437641,1934483,653026,466049,
1988/1/1,2041820,…,9872520,5896080,…,5533393,…,6257,8538,81030,…,50934,450436,1994616,699534,451988,
1989/1/1,2037614,…,9606627,5619297,…,5644376,…,6006,8319,80683,…,51966,461849,2066962,741682,442186,
1990/1/1,2007964,…,9373295,5369162,…,5623336,…,5599,8169,79729,…,52930,479389,2133362,791431,425341,
1991/1/1,1977611,…,9157429,5188314,…,5454929,…,5228,8149,78157,…,53698,504087,2205516,834713,406599,
1992/1/1,1948868,…,8947226,5036840,…,5218497,…,4919,7997,76668,…,54786,524538,2293269,861903,389807,
1993/1/1,1907110,…,8768881,4850137,…,5010472,…,4773,7842,75426,…,55453,530294,2389648,859173,366536,
1994/1/1,1852183,…,8582871,4681166,…,4862725,…,4696,7557,74966,…,55938,520638,2481805,837102,339063,
1995/1/1,1808432,…,8370246,4570390,…,4724945,…,4611,7257,74966,…,56234,498516,2546649,813347,321105,
1996/1/1,1798051,…,8105629,4527400,…,4547497,…,4442,6999,74852,…,56396,473279,2596667,799551,306544,
1997/1/1,1789523,…,7855387,4481480,…,4371360,…,4323,6841,75280,…,56294,446750,2633790,788996,279946,
1998/1/1,1786129,…,7663533,4380604,…,4258385,…,4199,6826,76420,…,56214,416825,2668086,761049,253093,
1999/1/1,1778286,…,7500317,4243762,…,4211826,236,4172,6824,77818,…,56436,377852,2701104,753740,230502,
2000/1/1,1773682,…,7366079,4103717,…,4165434,1702,4089,6818,79197,…,56714,327680,2740023,750824,222961, 
2001/1/1,1753422,…,7296920,3991911,…,4061756,2166,4001,6829,81242,…,57017,289198,2765705,752420,208254, 
2002/1/1,1769096,…,7239327,3862849,…,3929352,3020,3926,6719,83526,…,57349,267086,2786032,765558,198588, 
2003/1/1,1760494,…,7226910,3748319,…,3809827,4736,3882,6705,85886,…,57875,250062,2803980,786091,189583,
2004/1/1,1753393,…,7200933,3663513,…,3719048,6051,3870,6573,88353,…,58698,233754,2809295,792054,178117, 
2005/1/1,1738766,…,7197458,3626415,…,3605242,7456,3809,6639,91164,…,59160,219355,2865051,783783,163667,
2006/1/1,1726520,…,7187417,3601527,…,3494513,11648,3688,6544,94360,…,59380,202254,2859212,750208,149934,
2007/1/1,1705402,…,7132874,3614552,…,3406561,14902,…,…,…,108173,59386,186667,2828708,703490,147261, 
2008/1/1,1674163,…,7121781,3592378,…,3367489,17689,…,…,…,112334,59446,172726,2836127,657502,137269, 
2009/1/1,1630336,…,7063606,3600323,…,3347311,20544,…,…,…,117035,59386,160976,2845908,624875,134981,
2010/1/1,1605912,…,6993376,3558166,…,3368693,23759,…,…,…,121815,59542,155273,2887414,637897,129985,
2011/1/1,1596170,…,6887292,3573821,…,3349255,26759,…,…,…,126123,59220,150007,2893489,645834,122636,
2012/1/1,1604225,…,6764619,3552663,…,3355609,28644,…,…,…,129994,58765,141970,2876134,650501,120195,
2013/1/1,1583610,…,6676920,3536182,…,3319640,30226,…,…,…,132570,58226,138260,2868872,660078,122890,
2014/1/1,1557461,…,6600006,3504334,…,3334019,31499,…,…,…,135617,57677,136534,2855529,659452,121846,
2015/1/1,1402448,281136,6543104,3465215,…,3319114,32317,…,…,…,137894,57611,132681,2860210,656106,117727,
2016/1/1,1339761,397587,6483515,3406029,12702,3309342,32428,…,…,…,139821,57658,128460,2873624,656649,120629,
2017/1/1,1271931,505541,6448657,3333317,22370,3280307,32618,…,…,…,141945,57601,123950,2890942,655790,122086,
