進学率,,,,,,,,,,,,,,,,,
 （注） 1  幼稚園就園率：小学校及び義務教育学校第1学年児童数に対する幼稚園修了者数の比率。,,,,,,,,,,,,,,,,,
　　　　2　幼保連携型認定こども園就園率：小学校及び義務教育学校第1学年児童数に対する幼保連携型認定こども園修了者数の比率。,,,,,,,,,,,,,,,,,
　　　　3  高等学校等への進学率：中学校卒業者及び中等教育学校前期課程修了者のうち，高等学校，中等教育学校後期課程及び特別支援学校高等部の本科・別科並びに高等専門学校に進学した者（就職進学した者を含み，過年度中卒者等は含まない。）の占める比率。,,,,,,,,,,,,,,,,,
　　　　4  大学・短期大学等への現役進学率：各年3月の高等学校及び中等教育学校後期課程本科卒業者のうち，大学の学部・通信教育部・別科，短期大学の本科・通信教育部・別科及び高等学校等の専攻科に進学した者（就職進学した者を含む。）の占める比率。,,,,,,,,,,,,,,,,,
　　　　5  大学（学部）・短期大学（本科）への進学率（過年度高卒者等を含む）：大学学部・短期大学本科入学者数（過年度高卒者等を含む。）を３年前の中学校卒業者及び中等教育学校前期課程修了者数で除した比率。,,,,,,,,,,,,,,,,,
　      6  平成２９年度は速報値である。,,,,,,,,,,,,,,,,,
（単位：％）,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
区分,幼稚園就園率,幼保連携型認定こども園就園率,高等学校等への進学率:計,高等学校等への進学率:男,高等学校等への進学率:女,大学・短期大学等への現役進学率:計,大学・短期大学等への現役進学率:男,大学・短期大学等への現役進学率:女,大学(学部)・短期大学(本科)への進学率(過年度高卒者等を含む):計,大学(学部)・短期大学(本科)への進学率(過年度高卒者等を含む):男,大学(学部)・短期大学(本科)への進学率(過年度高卒者等を含む):女,大学(学部)への進学率(過年度高卒者等を含む):計,大学(学部)への進学率(過年度高卒者等を含む):男,大学(学部)への進学率(過年度高卒者等を含む):女,短期大学(本科)への進学率(過年度高卒者等を含む):計,短期大学(本科)への進学率(過年度高卒者等を含む):男,短期大学(本科)への進学率(過年度高卒者等を含む):女
1948/1/1,7.3,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
1949/1/1,8.9,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
1950/1/1,8.9,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
1951/1/1,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
1952/1/1,12.1,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
1953/1/1,14,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
1954/1/1,17.1,…,…,…,…,…,…,…,10.1,15.3,4.6,7.9,13.3,2.4,2.1,2,2.2
1955/1/1,20.1,…,…,…,…,…,…,…,10.1,15,5,7.9,13.1,2.4,2.2,1.9,2.6
1956/1/1,21.8,…,…,…,…,…,…,…,9.8,14.7,4.9,7.8,13.1,2.3,2.1,1.6,2.6
1957/1/1,23.6,…,…,…,…,…,…,…,11.2,16.8,5.4,9,15.2,2.5,2.2,1.6,2.9
1958/1/1,25.2,…,…,…,…,…,…,…,10.7,16,5.2,8.6,14.5,2.4,2.1,1.4,2.8
1959/1/1,26.8,…,…,…,…,…,…,…,10.1,15,5.1,8.1,13.7,2.3,2,1.3,2.8
1960/1/1,28.7,…,…,…,…,…,…,…,10.3,14.9,5.5,8.2,13.7,2.5,2.1,1.2,3
1961/1/1,31.1,…,…,…,…,…,…,…,11.8,16.9,6.5,9.3,15.4,3,2.5,1.5,3.5
1962/1/1,33,…,…,…,…,…,…,…,12.8,18.1,7.4,10,16.5,3.3,2.8,1.6,4.1
1963/1/1,36.4,…,…,…,…,…,…,…,15.4,21.7,9,12,19.8,3.9,3.5,1.9,5.1
1964/1/1,38.9,…,…,…,…,…,…,…,19.9,27.9,11.6,15.5,25.6,5.1,4.4,2.3,6.5
1965/1/1,41.3,…,…,…,…,…,…,…,17,22.4,11.3,12.8,20.7,4.6,4.1,1.7,6.7
1966/1/1,44.2,…,…,…,…,…,…,…,16.1,20.2,11.8,11.8,18.7,4.5,4.3,1.5,7.3
1967/1/1,47.2,…,…,…,…,…,…,…,17.9,22.2,13.4,12.9,20.5,4.9,5,1.6,8.5
1968/1/1,49.4,…,…,…,…,…,…,…,19.2,23.8,14.4,13.8,22,5.2,5.4,1.7,9.2
1969/1/1,51.8,…,…,…,…,…,…,…,21.4,26.6,16.1,15.4,24.7,5.8,6,1.9,10.3
1970/1/1,53.8,…,…,…,…,…,…,…,23.6,29.2,17.7,17.1,27.3,6.5,6.5,2,11.2
1971/1/1,56.2,…,…,…,…,…,…,…,26.8,32.5,20.8,19.4,30.3,8,7.4,2.2,12.8
1972/1/1,58.3,…,…,…,…,…,…,…,29.8,35.7,23.7,21.6,33.5,9.3,8.2,2.2,14.4
1973/1/1,60.6,…,…,…,…,…,…,…,32.7,38,27,23.4,35.6,10.6,9.3,2.4,16.4
1974/1/1,61.9,…,…,…,…,…,…,…,35.2,40.5,29.8,25.1,38.1,11.6,10.1,2.4,18.2
1975/1/1,63.5,…,…,…,…,…,…,…,38.4,43.6,32.9,27.2,41,12.7,11.2,2.6,20.2
1976/1/1,64,…,…,…,…,…,…,…,38.6,43.3,33.6,27.3,40.9,13,11.3,2.4,20.6
1977/1/1,64.1,…,…,…,…,…,…,…,37.7,41.9,33.3,26.4,39.6,12.6,11.3,2.3,20.7
1978/1/1,64.1,…,…,…,…,…,…,…,38.4,43.1,33.5,26.9,40.8,12.5,11.5,2.3,21
1979/1/1,64.4,…,…,…,…,…,…,…,37.4,41.5,33.1,26.1,39.3,12.2,11.3,2.1,20.9
1980/1/1,64.4,…,…,…,…,…,…,…,37.4,41.3,33.3,26.1,39.3,12.3,11.3,2,21
1981/1/1,64.4,…,…,…,…,…,…,…,36.9,40.5,33,25.7,38.6,12.2,11.1,1.9,20.8
1982/1/1,64,…,…,…,…,…,…,…,36.3,39.8,32.7,25.3,37.9,12.2,11,1.9,20.5
1983/1/1,63.8,…,…,…,…,…,…,…,35.1,37.9,32.2,24.4,36.1,12.2,10.7,1.8,19.9
1984/1/1,63.9,…,94.1,93,95.3,29.6,26.6,32.6,35.6,38.3,32.8,24.8,36.4,12.7,10.8,1.9,20.1
1985/1/1,63.7,…,94.1,93.1,95.3,30.5,27,33.9,37.6,40.6,34.5,26.5,38.6,13.7,11.1,2,20.8
