Date,XAU/USD
2012-03-08,1692.42
2012-03-09,1702.39
2012-03-10,1713.91
2012-03-11,1713.93
2012-03-12,1704.79
2012-03-13,1696.28
2012-03-14,1661.65
2012-03-15,1647.7
2012-03-16,1656.37
2012-03-17,1660.02
2012-03-18,1660.02
2012-03-19,1660.59
2012-03-20,1654.45
2012-03-21,1652.74
2012-03-22,1644.32
2012-03-23,1652.22
2012-03-24,1661.97
2012-03-25,1661.98
2012-03-26,1671.45
2012-03-27,1688.61
2012-03-28,1674.76
2012-03-29,1659.11
2012-03-30,1664.01
2012-03-31,1668.32
2012-04-01,1668.39
2012-04-02,1671.9
2012-04-03,1672.95
2012-04-04,1633.2
2012-04-05,1625.56
2012-04-06,1633.86
2012-04-07,1640
2012-04-08,1640.08
2012-04-09,1642.24
2012-04-10,1648.31
2012-04-11,1657.55
2012-04-12,1662.86
2012-04-13,1670.08
2012-04-14,1658.4
2012-04-15,1658.4
2012-04-16,1650.26
2012-04-17,1650.68
2012-04-18,1646.97
2012-04-19,1641.53
2012-04-20,1642.86
2012-04-21,1643.06
2012-04-22,1643.05
2012-04-23,1636.75
2012-04-24,1639.41
2012-04-25,1641.49
2012-04-26,1650.35
2012-04-27,1658.49
2012-04-28,1662.99
2012-04-29,1662.99
2012-04-30,1662.66
2012-05-01,1664.26
2012-05-02,1656.09
2012-05-03,1644.09
2012-05-04,1636.6
2012-05-05,1642.37
2012-05-06,1642.37
2012-05-07,1638.61
2012-05-08,1623.95
2012-05-09,1592.84
2012-05-10,1593.24
2012-05-11,1585.22
2012-05-12,1579.48
2012-05-13,1579.55
2012-05-14,1570.4
2012-05-15,1555.77
2012-05-16,1539.39
2012-05-17,1555.19
2012-05-18,1582.93
2012-05-19,1593.14
2012-05-20,1593.15
2012-05-21,1593.26
2012-05-22,1584.39
2012-05-23,1557.3
2012-05-24,1561.97
2012-05-25,1562.12
2012-05-26,1572.91
2012-05-27,1572.95
2012-05-28,1576.58
2012-05-29,1571.11
2012-05-30,1553.03
2012-05-31,1563.44
2012-06-01,1576.42
2012-06-02,1624.25
2012-06-03,1624.25
2012-06-04,1619.23
2012-06-05,1618.23
2012-06-06,1627.96
2012-06-07,1612.99
2012-06-08,1581.24
2012-06-09,1593.56
2012-06-10,1593.88
2012-06-11,1596.43
2012-06-12,1597.87
2012-06-13,1613.32
2012-06-14,1619.85
2012-06-15,1625.23
2012-06-16,1627.34
2012-06-17,1627.34
2012-06-18,1622.94
2012-06-19,1626.93
2012-06-20,1614.16
2012-06-21,1591.59
2012-06-22,1566.74
2012-06-23,1572.69
2012-06-24,1572.69
2012-06-25,1574.44
2012-06-26,1580.55
2012-06-27,1572.07
2012-06-28,1567.42
2012-06-29,1575.89
2012-06-30,1597.58
2012-07-01,1597.58
2012-07-02,1594.83
2012-07-03,1608.7
2012-07-04,1616.43
2012-07-05,1612.98
2012-07-06,1596.03
2012-07-07,1583.82
2012-07-08,1583.82
2012-07-09,1583.89
2012-07-10,1585.81
2012-07-11,1574.82
2012-07-12,1568.62
2012-07-13,1579.58
2012-07-14,1589.55
2012-07-15,1589.55
2012-07-16,1588.8
2012-07-17,1590.16
2012-07-18,1579.42
2012-07-19,1580.77
2012-07-20,1582.32
2012-07-21,1584.53
2012-07-22,1584.53
2012-07-23,1576.61
2012-07-24,1576.86
2012-07-25,1591.89
2012-07-26,1609.53
2012-07-27,1619.07
2012-07-28,1623.53
2012-07-29,1623.53
2012-07-30,1620.78
2012-07-31,1621.2
2012-08-01,1610.03
2012-08-02,1598.32
2012-08-03,1595.07
2012-08-04,1603.55
2012-08-05,1603.55
2012-08-06,1608.15
2012-08-07,1612.32
2012-08-08,1610.84
2012-08-09,1614.8
2012-08-10,1615.6
2012-08-11,1620.16
2012-08-12,1620.16
2012-08-13,1619.84
2012-08-14,1608.28
2012-08-15,1600.64
2012-08-16,1607.43
2012-08-17,1616.03
2012-08-18,1615.75
2012-08-19,1615.75
2012-08-20,1617.9
2012-08-21,1628.21
2012-08-22,1641.16
2012-08-23,1663.49
2012-08-24,1667.97
2012-08-25,1670.43
2012-08-26,1670.43
2012-08-27,1671.8
2012-08-28,1664.24
2012-08-29,1664.01
2012-08-30,1657.38
2012-08-31,1664.45
2012-09-01,1691.89
2012-09-02,1691.89
2012-09-03,1690.47
2012-09-04,1693.91
2012-09-05,1692.59
2012-09-06,1701.29
2012-09-07,1709.5
2012-09-08,1735.76
2012-09-09,1735.76
2012-09-10,1733.45
2012-09-11,1731.18
2012-09-12,1735.65
2012-09-13,1737.57
2012-09-14,1772.2
2012-09-15,1770.47
2012-09-16,1770.47
2012-09-17,1770.42
2012-09-18,1761.55
2012-09-19,1771.49
2012-09-20,1765.8
2012-09-21,1773.74
2012-09-22,1773.07
2012-09-23,1773.07
2012-09-24,1763.18
2012-09-25,1766.03
2012-09-26,1757.49
2012-09-27,1761.53
2012-09-28,1777.14
2012-09-29,1772.26
2012-09-30,1772.26
2012-10-01,1771.79
2012-10-02,1777.41
2012-10-03,1775.87
2012-10-04,1785.62
2012-10-05,1788.24
2012-10-06,1780.76
2012-10-07,1780.76
2012-10-08,1773.2
2012-10-09,1773.12
2012-10-10,1763.33
2012-10-11,1766.2
2012-10-12,1765.87
2012-10-13,1753.99
2012-10-14,1753.99
2012-10-15,1742.82
2012-10-16,1740.7
2012-10-17,1750.09
2012-10-18,1746.42
2012-10-19,1733.84
2012-10-20,1721.72
2012-10-21,1721.72
2012-10-22,1724.26
2012-10-23,1717.64
2012-10-24,1707.93
2012-10-25,1711.06
2012-10-26,1709.9
2012-10-27,1711.27
2012-10-28,1711.27
2012-10-29,1711.92
2012-10-30,1710.85
2012-10-31,1716.15
2012-11-01,1720.12
2012-11-02,1701.74
2012-11-03,1677.98
2012-11-04,1677.98
2012-11-05,1680.59
2012-11-06,1692.32
2012-11-07,1718.96
2012-11-08,1719.47
2012-11-09,1733.36
2012-11-10,1731.12
2012-11-11,1731.11
2012-11-12,1733.49
2012-11-13,1726.01
2012-11-14,1726.99
2012-11-15,1721.86
2012-11-16,1713.27
2012-11-17,1713.94
2012-11-18,1713.96
2012-11-19,1724.64
2012-11-20,1731.67
2012-11-21,1726.6
2012-11-22,1730.51
2012-11-23,1735.88
2012-11-24,1750.79
2012-11-25,1750.79
2012-11-26,1749.49
2012-11-27,1747.78
2012-11-28,1732.58
2012-11-29,1723.03
2012-11-30,1715.03
2012-12-01,1714.88
2012-12-02,1714.88
2012-12-03,1717.6
2012-12-04,1705.63
2012-12-05,1698.77
2012-12-06,1693.51
2012-12-07,1700.83
2012-12-08,1704.26
