都道府県,住宅地:平成28年変動率(%),住宅地:平成29年変動率(%),住宅地:平成29年地点数,商業地:平成28年変動率(%),商業地:平成29年変動率(%),商業地:平成29年地点数,工業地:平成28年変動率(%),工業地:平成29年変動率(%),工業地:平成29年地点数
全国,-0.2,0,17909,0.9,1.4,6142,0,0.3,972
北海道,-0.5,-0.3,930,1.2,1.5,354,-1,-0.4,56
青森,-1.9,-1.2,172,-2.3,-1.4,66,-2.1,-1,13
岩手,-0.4,-0.4,127,-1.7,-1.8,51,-2.7,-1.6,3
宮城,1.9,2.4,401,3.2,4.7,137,2.6,3.7,11
秋田,-3.5,-2.7,129,-4.2,-3.2,49,-5.1,-4.4,4
山形,-0.8,-0.5,126,-1.6,-1.4,59,-0.9,-0.3,6
福島,2.9,2.1,306,0.9,0.8,95,2,1.5,14
茨城,-1.2,-0.9,525,-1.6,-1,124,-1.6,-1.1,20
栃木,-1.2,-1,337,-1.3,-0.9,88,-0.8,-0.5,19
群馬,-1,-0.6,260,-1.2,-0.7,110,-1.5,-0.8,10
埼玉,0,0.1,1008,0.7,0.8,208,1.2,2.3,40
千葉,0.2,0.2,953,0.9,1.4,197,1.5,1.4,64
東京,1.6,1.9,1655,4.1,4.7,810,1.9,1.8,35
神奈川,0.1,0,1327,1.4,1.6,344,2.1,2,66
新潟,-1.6,-1.4,306,-2.5,-2.1,102,-1.6,-1.1,15
富山,-0.2,-0.3,151,-0.1,-0.3,68,0,0,7
石川,-0.7,-0.4,149,1.6,1.2,59,-1.2,-0.5,8
福井,-1.7,-1.4,85,-1.7,-1.2,32,-1.1,-0.8,5
山梨,-2,-1.5,108,-1.8,-1.2,50,-1.2,-0.9,4
長野,-1.3,-0.8,205,-1.9,-1.5,101,-1.3,-0.3,7
岐阜,-0.9,-0.8,245,-0.9,-0.7,95,-0.5,-0.5,15
静岡,-0.9,-0.8,459,-0.7,-0.4,153,-1.2,-0.8,38
愛知,0.8,0.6,1277,2.7,2.4,463,0.2,0.1,87
三重,-1.7,-1.6,284,-1.5,-1.6,107,-2.2,-1.8,24
滋賀,-0.5,-0.7,239,0.2,0.2,86,0.7,0.7,15
京都,-0.1,0,450,3.2,4.5,132,0.7,1.3,24
大阪,0,0,1212,4.2,5,346,0.2,0.3,105
兵庫,-0.3,-0.4,877,0.5,1.1,207,0.2,0.4,63
奈良,-0.3,-0.4,312,0,0,68,0.1,0.1,8
和歌山,-2,-1.8,111,-1.3,-1.4,59,-2.8,-2.3,3
鳥取,-2,-1.6,88,-2.4,-2,34,-2.1,-1.4,4
島根,-1.6,-1.1,91,-2.6,-1.9,40,-2.1,-1.4,2
岡山,-0.9,-0.7,275,-0.3,0,107,-0.9,-0.8,9
広島,-0.3,0.2,444,0.8,1.5,148,-0.1,0.2,33
山口,-1.3,-0.8,185,-1.8,-1.1,91,-2.4,-1.7,20
徳島,-1,-0.6,98,-1.2,-0.9,27,-0.8,-0.9,6
香川,-1.4,-0.8,109,-1.5,-0.9,56,-2,-1,11
愛媛,-1.9,-1.8,156,-2.1,-1.9,76,-1.4,-1.2,11
高知,-1.3,-1,92,-1.8,-1.5,45,-2,-1,2
福岡,0.5,1.1,627,1.1,2.7,236,0,0.8,38
佐賀,-1.8,-1,87,-2.4,-1.2,41,0,0.8,3
長崎,-1.1,-0.7,173,-0.6,-0.1,71,-2.1,-1.2,10
熊本,0.1,-0.1,162,-0.2,-0.1,71,-0.4,0.1,9
大分,-0.7,-0.3,144,-0.8,-0.5,73,-2.4,-1.3,9
宮崎,-0.9,-0.6,148,-2.1,-1.6,66,-1,-0.7,8
鹿児島,-2.3,-2,190,-2.7,-2.2,88,-2.7,-1.9,4
沖縄,1.7,3,114,2,3.2,52,3.5,4.5,4
