都道府県名,市区名,住宅地:平成28年変動率(%),住宅地:平成29年変動率(%),住宅地:平成29年地点数,商業地:平成28年変動率(%),商業地:平成29年変動率(%),商業地:平成29年地点数
茨城県,龍ケ崎市,-0.7,-0.7,14,-0.4,-0.1,5
茨城県,常総市,-6.3,-1.1,11,-5.3,-1.2,3
茨城県,取手市,-1.4,-1.2,32,-1.3,-1.2,7
茨城県,牛久市,-0.6,-0.6,15,-1.2,-0.9,6
茨城県,守谷市,0.1,0.2,13,0.3,0.1,3
茨城県,坂東市,-1,-0.9,12,-4.4,-3.7,1
茨城県,つくばみらい市,-1.2,-1.3,10,-1.2,-0.5,2
埼玉県,さいたま市,1.1,1.1,151,2.3,2.7,48
埼玉県,西区,0.4,0.1,8,0.9,0.9,1
埼玉県,北区,1.3,0.9,21,1.2,1.5,3
埼玉県,大宮区,2,1.7,15,2.9,3.3,16
埼玉県,見沼区,0.2,0.1,16,0.1,0.2,3
埼玉県,中央区,1.8,1.6,15,2.3,2.3,3
埼玉県,桜区,0.3,0.4,9,0.6,0.6,1
埼玉県,浦和区,2.2,2,19,3.2,3.9,14
埼玉県,南区,1.9,1.9,19,3.1,3.3,2
埼玉県,緑区,0.5,0.9,16,0.8,0.8,1
埼玉県,岩槻区,0,0.2,13,0,0,4
埼玉県,川越市,0.1,0.3,49,1.7,1.7,12
埼玉県,熊谷市,-0.9,-0.6,25,0.1,0.2,7
埼玉県,川口市,0.2,0.4,92,0.9,1.5,13
埼玉県,行田市,-2,-2,17,-1.6,-1.4,3
埼玉県,所沢市,0.3,0.4,50,0.8,1.1,9
埼玉県,飯能市,-0.2,0.3,14,-0.8,-0.7,3
埼玉県,加須市,-1,-0.7,23,-0.9,-0.7,5
埼玉県,東松山市,-0.6,-0.4,14,0,0,3
埼玉県,春日部市,-0.1,-0.1,34,0,0,7
埼玉県,狭山市,-0.4,-0.5,24,0.4,0.3,6
埼玉県,羽生市,-2.2,-1.9,14,-1,-1.3,3
埼玉県,鴻巣市,-0.5,-0.4,22,-0.2,-0.2,4
埼玉県,上尾市,0,0,30,0.2,0,5
埼玉県,草加市,0.1,0.4,31,0,0,5
埼玉県,越谷市,0,0.3,31,0,0,7
埼玉県,蕨市,0.9,0.8,6,0,0,1
埼玉県,戸田市,1,1.3,15,1.5,1.7,2
埼玉県,入間市,0.2,-0.1,23,0.4,0.4,3
埼玉県,朝霞市,0.6,0.8,18,0.4,0.5,5
埼玉県,志木市,0.1,0.7,7,0.3,0.4,2
埼玉県,和光市,1.1,1.1,10,0.6,0.8,3
埼玉県,新座市,0.3,0.4,20,0.7,0.7,4
埼玉県,桶川市,-0.1,-0.1,14,0,0,2
埼玉県,久喜市,-0.3,-0.1,28,0,-0.1,6
埼玉県,北本市,-0.1,-0.2,13,0,0,2
埼玉県,八潮市,-0.1,0,11,   -- ,   -- ,   --
埼玉県,富士見市,0.9,0.7,13,1.5,1,4
埼玉県,三郷市,-0.3,-0.2,15,-0.2,0,2
埼玉県,蓮田市,-0.2,-0.1,11,-0.1,-0.1,1
埼玉県,坂戸市,-0.3,-0.3,13,0,0,2
埼玉県,幸手市,-0.3,-0.4,6,-0.3,-0.3,2
埼玉県,鶴ケ島市,-0.2,-0.2,12,   -- ,   -- ,   --
埼玉県,日高市,-0.6,-0.6,8,-0.5,-0.5,2
埼玉県,吉川市,-0.1,-0.1,5,-0.8,-0.8,1
埼玉県,ふじみ野市,1.1,0.8,11,1.4,0.5,3
埼玉県,白岡市,0.2,0.1,7,-0.2,-0.2,1
千葉県,千葉市,0.2,0.4,153,0.5,1.4,35
千葉県,中央区,0.6,0.9,40,0.4,1.7,22
千葉県,花見川区,0.4,0.4,35,1.3,1.2,2
千葉県,稲毛区,0.7,0.6,29,1.6,1.1,3
千葉県,若葉区,-0.3,-0.3,26,0.1,0.8,2
千葉県,緑区,-0.2,-0.1,14,0,0.5,1
千葉県,美浜区,-0.9,0.1,9,0.1,0.8,5
千葉県,市川市,0.4,0.4,61,2.2,3.4,10
千葉県,船橋市,0.7,0.6,84,1.7,2.3,19
千葉県,木更津市,3.2,2.9,37,2.2,2.4,11
千葉県,松戸市,0.3,0.4,69,1.1,2.2,16
千葉県,野田市,-0.7,-1.5,31,-0.3,-0.3,4
千葉県,成田市,1.4,1.1,26,2.7,2.8,3
千葉県,佐倉市,-0.8,-1.5,37,-0.2,0,5
千葉県,習志野市,1.4,1.1,21,1.1,1.3,4
