Date,総数,0~4歳,5~9,10~14,15~19,20~24,25~29,30~34,35~39,40~44,45~49,50~54,55~59,60~64,65~69,70~74,75~79,80~84,85~89,90~94,95~99,100歳以上,85歳以上,75歳以上
1999-09-01,64050,2870,2920,3280,3700,4270,4760,4190,3840,3880,4710,4890,4500,3930,3660,3150,NA,NA,NA,NA,NA,NA,NA,5490
1999-10-01,64070,2870,2920,3270,3700,4270,4760,4190,3850,3880,4680,4920,4510,3920,3660,3150,NA,NA,NA,NA,NA,NA,NA,5520
1999-11-01,64120,2870,2920,3260,3700,4260,4780,4200,3850,3870,4650,4940,4520,3930,3670,3160,NA,NA,NA,NA,NA,NA,NA,5540
1999-12-01,64140,2860,2920,3260,3690,4250,4790,4210,3860,3860,4620,4970,4510,3940,3670,3160,NA,NA,NA,NA,NA,NA,NA,5560
2000-01-01,64150,2860,2910,3240,3690,4250,4790,4210,3870,3860,4590,5010,4510,3940,3670,3170,NA,NA,NA,NA,NA,NA,NA,5570
2000-02-01,64160,2860,2910,3240,3680,4220,4790,4220,3870,3840,4580,5050,4480,3940,3690,3180,NA,NA,NA,NA,NA,NA,NA,5610
2000-03-01,64120,2860,2910,3230,3670,4170,4790,4220,3870,3840,4550,5070,4470,3940,3700,3180,NA,NA,NA,NA,NA,NA,NA,5640
2000-04-01,64140,2870,2900,3220,3650,4200,4790,4220,3880,3830,4530,5080,4460,3940,3700,3190,NA,NA,NA,NA,NA,NA,NA,5680
2000-05-01,64130,2860,2900,3220,3660,4180,4770,4220,3880,3830,4510,5090,4460,3940,3710,3190,NA,NA,NA,NA,NA,NA,NA,5700
2000-06-01,64170,2870,2900,3210,3650,4170,4780,4230,3890,3830,4500,5110,4460,3940,3710,3190,NA,NA,NA,NA,NA,NA,NA,5710
2000-07-01,64180,2860,2900,3200,3650,4160,4780,4240,3900,3830,4480,5140,4450,3940,3720,3200,NA,NA,NA,NA,NA,NA,NA,5720
2000-08-01,64140,2860,2890,3180,3610,4140,4780,4250,3910,3820,4460,5170,4440,3960,3720,3210,NA,NA,NA,NA,NA,NA,NA,5740
2000-09-01,64180,2860,2890,3180,3630,4100,4780,4250,3920,3820,4440,5190,4430,3960,3730,3220,NA,NA,NA,NA,NA,NA,NA,5760
2000-10-01,64130,2860,2890,3170,3620,4100,4770,4240,3930,3820,4420,5210,4410,3950,3730,3220,NA,NA,NA,NA,NA,NA,NA,5780
2000-11-01,64170,2860,2890,3160,3620,4100,4780,4240,3950,3810,4400,5240,4400,3950,3740,3220,NA,NA,NA,NA,NA,NA,NA,5810
2000-12-01,64190,2860,2880,3150,3610,4090,4780,4250,3960,3810,4380,5270,4380,3950,3750,3230,NA,NA,NA,NA,NA,NA,NA,5830
2001-01-01,64140,2860,2880,3140,3610,4080,4760,4250,3960,3800,4350,5300,4360,3960,3760,3230,NA,NA,NA,NA,NA,NA,NA,5850
2001-02-01,64210,2860,2880,3140,3610,4050,4770,4280,3950,3800,4320,5360,4310,3960,3770,3250,NA,NA,NA,NA,NA,NA,NA,5890
2001-03-01,64170,2860,2880,3130,3600,3990,4760,4310,3940,3790,4300,5400,4280,3970,3780,3250,NA,NA,NA,NA,NA,NA,NA,5930
2001-04-01,64200,2860,2870,3110,3580,4030,4760,4340,3920,3780,4280,5430,4250,3970,3780,3260,NA,NA,NA,NA,NA,NA,NA,5970
2001-05-01,64180,2860,2880,3120,3590,4020,4740,4350,3900,3790,4270,5450,4220,3970,3790,3270,NA,NA,NA,NA,NA,NA,NA,5990
2001-06-01,64230,2850,2910,3120,3580,3960,4700,4380,3910,3800,4250,5470,4220,4000,3800,3270,NA,NA,NA,NA,NA,NA,NA,6020
2001-07-01,64240,2850,2910,3110,3580,3950,4690,4410,3900,3800,4250,5480,4210,4010,3800,3270,NA,NA,NA,NA,NA,NA,NA,6030
2001-08-01,64210,2850,2900,3090,3540,3930,4690,4440,3890,3790,4220,5490,4210,4030,3810,3280,NA,NA,NA,NA,NA,NA,NA,6050
2001-09-01,64230,2850,2900,3090,3550,3910,4680,4470,3880,3790,4210,5490,4200,4040,3810,3290,NA,NA,NA,NA,NA,NA,NA,6070
2001-10-01,64310,2850,2900,3090,3550,3910,4680,4500,3880,3790,4200,5480,4210,4060,3820,3290,NA,NA,NA,NA,NA,NA,NA,6090
2001-11-01,64360,2850,2900,3080,3540,3910,4670,4530,3880,3790,4200,5480,4220,4080,3820,3300,2650,1780,NA,NA,NA,NA,1690,NA
