"V1","V2","V3"
1885-12-22,1888-04-30,"Hirobumi Ito(1)"
1888-04-30,1889-10-25,"Kiyotaka Kuroda"
1889-10-25,1889-12-24,"Sanetomi Sanjo"
1889-12-24,1891-05-06,"Aritomo Yamagata(1)"
1891-05-06,1892-08-08,"Masayoshi Matsukata(1)"
1892-08-08,1896-09-18,"Hirobumi Ito(2)"
1896-09-18,1898-01-12,"Masayoshi Matsukata(2)"
1898-01-12,1898-06-30,"Hirobumi Ito(3)"
1898-06-30,1898-11-08,"Shigenobu Okuma(1)"
1898-11-08,1900-10-19,"Aritomo Yamagata(2)"
1900-10-19,1901-06-02,"Hirobumi Ito(4)"
1901-06-02,1906-01-07,"Taro Katsura(1)"
1906-01-07,1908-07-14,"Kinmochi Saionji(1)"
1908-07-14,1911-08-30,"Taro Katsura(2)"
1911-08-30,1912-12-21,"Kinmochi Saionji(2)"
1912-12-21,1913-02-20,"Taro Katsura(3)"
1913-02-20,1914-04-16,"Gonnohyoe Yamamoto(1)"
1914-04-16,1916-10-09,"Shigenobu Okuma(2)"
1916-10-09,1918-09-29,"Masatake Terauchi"
1918-09-29,1921-11-13,"Takashi Hara"
1921-11-13,1922-06-12,"Korekiyo Takahashi"
1922-06-12,1923-09-02,"Tomosaburo Kato"
1923-09-02,1924-01-07,"Gonnohyoe Yamamoto(2)"
1924-01-07,1924-06-11,"Keigo Kiyoura"
1924-06-11,1926-01-30,"Takaaki Kato"
1926-01-30,1927-04-20,"Reijiro Wakatsuki(1)"
1927-04-20,1929-07-02,"Giichi Tanaka"
1929-07-02,1931-04-14,"Osachi Hamaguchi"
1931-04-14,1931-12-13,"Reijiro Wakatsuki(2)"
1931-12-13,1932-05-26,"Tsuyoshi Inukai"
1932-05-26,1934-07-08,"Makoto Saito"
1934-07-08,1936-03-09,"Keisuke Okada"
1936-03-09,1937-02-02,"Koki Hirota"
1937-02-02,1937-06-04,"Senjuro Hayashi"
1937-06-04,1939-01-05,"Fumimaro Konoe(1)"
1939-01-05,1939-08-30,"Kiichiro Hiranuma"
1939-08-30,1940-01-16,"Nobuyuki Abe"
1940-01-16,1940-07-22,"Mitsumasa Yonai"
1940-07-22,1941-10-18,"Fumimaro Konoe(2-3)"
1941-10-18,1944-07-22,"Hideki Tojo"
1944-07-22,1945-04-07,"Kuniaki Koiso"
1945-04-07,1945-08-17,"Kantaro Suzuki"
1945-08-17,1945-10-09,"Prince Naruhiko Higashikuni"
1945-10-09,1946-05-22,"Kijuro Shidehara"
1946-05-22,1947-05-24,"Shigeru Yoshida(1)"
1947-05-24,1948-03-10,"Tetsu Katayama"
1948-03-10,1948-10-15,"Hitoshi Ashida"
1948-10-15,1954-12-10,"吉田茂(2-5)"
1954-12-10,1956-12-23,"鳩山一郎(1-3)"
1956-12-23,1957-02-25,"石橋湛山"
1957-02-25,1960-07-19,"岸信介(1-2)"
1960-07-19,1964-11-09,"池田勇人(1-3)"
1964-11-09,1972-07-07,"佐藤栄作(1-3)"
1972-07-07,1974-12-09,"田中角栄(1-2)"
1974-12-09,1976-12-24,"三木武夫"
1976-12-24,1978-12-07,"福田赳夫"
1978-12-07,1980-07-17,"大平正芳(1-2)"
1980-07-17,1982-11-27,"鈴木善幸"
1982-11-27,1987-11-06,"中曽根康弘(1-3)"
1987-11-06,1989-06-03,"竹下登"
1989-06-03,1989-08-10,"宇野宗佑"
1989-08-10,1991-11-05,"海部俊樹(1-2)"
1991-11-05,1993-08-09,"宮沢喜一"
1993-08-09,1994-04-28,"細川護煕"
1994-04-28,1994-06-30,"羽田孜"
1994-06-30,1996-01-11,"村山富市"
1996-01-11,1998-07-30,"橋本龍太郎(1-2)"
1998-07-30,2000-04-05,"小渕恵三"
2000-04-05,2001-04-26,"森喜朗(1-2)"
2001-04-26,2006-09-26,"小泉純一郎(1-3)"
2006-09-26,2007-09-26,"安倍晋三(1)"
2007-09-26,2008-09-24,"福田康夫"
2008-09-24,2009-09-16,"麻生太郎"
2009-09-16,2010-06-08,"鳩山由紀夫"
2010-06-08,2011-09-02,"菅直人"
2011-09-02,2012-12-26,"野田佳彦"
2012-12-26,2017-06-21,"安倍晋三(2,3)"
