"年度","年度緊急発進回数","ロシア","中国","台湾","北朝鮮","その他","合計"
1958-01-01,25,NA,NA,NA,NA,NA,NA
1959-01-01,119,NA,NA,NA,NA,NA,NA
1960-01-01,150,NA,NA,NA,NA,NA,NA
1961-01-01,192,NA,NA,NA,NA,NA,NA
1962-01-01,235,NA,NA,NA,NA,NA,NA
1963-01-01,197,NA,NA,NA,NA,NA,NA
1964-01-01,305,NA,NA,NA,NA,NA,NA
1965-01-01,387,NA,NA,NA,NA,NA,NA
1966-01-01,356,NA,NA,NA,NA,NA,NA
1967-01-01,426,NA,NA,NA,NA,NA,NA
1968-01-01,368,NA,NA,NA,NA,NA,NA
1969-01-01,377,NA,NA,NA,NA,NA,NA
1970-01-01,370,NA,NA,NA,NA,NA,NA
1971-01-01,345,NA,NA,NA,NA,NA,NA
1972-01-01,306,NA,NA,NA,NA,NA,NA
1973-01-01,257,NA,NA,NA,NA,NA,NA
1974-01-01,323,NA,NA,NA,NA,NA,NA
1975-01-01,305,NA,NA,NA,NA,NA,NA
1976-01-01,528,NA,NA,NA,NA,NA,NA
1977-01-01,496,NA,NA,NA,NA,NA,NA
1978-01-01,798,NA,NA,NA,NA,NA,NA
1979-01-01,636,NA,NA,NA,NA,NA,NA
1980-01-01,783,NA,NA,NA,NA,NA,NA
1981-01-01,939,NA,NA,NA,NA,NA,NA
1982-01-01,929,NA,NA,NA,NA,NA,NA
1983-01-01,675,NA,NA,NA,NA,NA,NA
1984-01-01,944,NA,NA,NA,NA,NA,NA
1985-01-01,898,NA,NA,NA,NA,NA,NA
1986-01-01,825,NA,NA,NA,NA,NA,NA
1987-01-01,848,NA,NA,NA,NA,NA,NA
1988-01-01,879,NA,NA,NA,NA,NA,NA
1989-01-01,812,NA,NA,NA,NA,NA,NA
1990-01-01,604,NA,NA,NA,NA,NA,NA
1991-01-01,488,NA,NA,NA,NA,NA,NA
1992-01-01,331,NA,NA,NA,NA,NA,NA
1993-01-01,311,NA,NA,NA,NA,NA,NA
1994-01-01,263,NA,NA,NA,NA,NA,NA
1995-01-01,166,NA,NA,NA,NA,NA,NA
1996-01-01,234,NA,NA,NA,NA,NA,NA
1997-01-01,160,NA,NA,NA,NA,NA,NA
1998-01-01,220,NA,NA,NA,NA,NA,NA
1999-01-01,154,NA,NA,NA,NA,NA,NA
2000-01-01,155,NA,NA,NA,NA,NA,NA
2001-01-01,151,NA,NA,NA,NA,NA,NA
2002-01-01,188,NA,NA,NA,NA,NA,NA
2003-01-01,158,NA,NA,NA,NA,NA,NA
2004-01-01,141,NA,NA,NA,NA,NA,NA
2005-01-01,229,NA,NA,NA,NA,NA,NA
2006-01-01,239,NA,NA,NA,NA,NA,NA
2007-01-01,307,NA,NA,NA,NA,NA,NA
2008-01-01,237,NA,NA,NA,NA,NA,NA
2009-01-01,299,NA,NA,NA,NA,NA,NA
2010-01-01,386,NA,NA,NA,NA,NA,NA
2011-01-01,425,NA,NA,NA,NA,NA,NA
2012-01-01,567,248,306,1,0,12,567
2013-01-01,810,359,415,1,9,26,810
2014-01-01,943,473,464,1,0,5,943
2015-01-01,873,288,571,2,0,12,873
2016-01-01,883,231,644,6,0,2,883
