Date,総数,0~4歳,5~9,10~14,15~19,20~24,25~29,30~34,35~39,40~44,45~49,50~54,55~59,60~64,65~69,70~74,75~79,80~84,85~89,90~94,95~99,100歳以上,85歳以上,75歳以上
1999-09-01,64680,2900,2940,3310,3730,4330,4860,4290,3910,3930,4750,4920,4520,3940,3670,3160,NA,NA,NA,NA,NA,NA,NA,5510
1999-10-01,64710,2900,2940,3300,3730,4340,4860,4290,3920,3930,4720,4950,4530,3940,3670,3160,NA,NA,NA,NA,NA,NA,NA,5530
1999-11-01,64760,2900,2940,3290,3730,4330,4880,4300,3930,3920,4690,4970,4540,3950,3680,3170,NA,NA,NA,NA,NA,NA,NA,5560
1999-12-01,64790,2890,2940,3280,3720,4320,4890,4310,3940,3920,4660,5000,4530,3950,3680,3170,NA,NA,NA,NA,NA,NA,NA,5580
2000-01-01,64770,2890,2930,3270,3720,4310,4880,4300,3940,3910,4630,5040,4540,3960,3680,3180,NA,NA,NA,NA,NA,NA,NA,5590
2000-02-01,64800,2890,2930,3260,3710,4280,4890,4320,3950,3900,4620,5080,4500,3960,3700,3190,NA,NA,NA,NA,NA,NA,NA,5630
2000-03-01,64770,2890,2930,3250,3700,4230,4890,4320,3950,3890,4590,5100,4490,3960,3710,3190,NA,NA,NA,NA,NA,NA,NA,5660
2000-04-01,64790,2890,2930,3240,3680,4260,4890,4320,3950,3880,4560,5110,4490,3950,3710,3200,NA,NA,NA,NA,NA,NA,NA,5700
2000-05-01,64790,2890,2930,3240,3690,4250,4870,4320,3960,3890,4550,5130,4480,3960,3720,3200,NA,NA,NA,NA,NA,NA,NA,5710
2000-06-01,64840,2900,2920,3230,3680,4250,4890,4340,3970,3890,4540,5150,4480,3950,3730,3210,NA,NA,NA,NA,NA,NA,NA,5730
2000-07-01,64860,2890,2920,3230,3680,4240,4880,4340,3980,3890,4520,5170,4470,3960,3730,3210,NA,NA,NA,NA,NA,NA,NA,5740
2000-08-01,64800,2890,2910,3200,3640,4210,4880,4350,3980,3880,4500,5200,4460,3970,3740,3220,NA,NA,NA,NA,NA,NA,NA,5760
2000-09-01,64850,2890,2910,3200,3660,4180,4880,4350,4000,3880,4480,5220,4460,3980,3740,3230,NA,NA,NA,NA,NA,NA,NA,5780
