Date,総数,0~4歳,5~9,10~14,15~19,20~24,25~29,30~34,35~39,40~44,45~49,50~54,55~59,60~64,65~69,70~74,75~79,80~84,85~89,90~94,95~99,100歳以上,85歳以上,75歳以上
2000-01-01,64710,2890,2930,3260,3720,4310,4880,4300,3930,3900,4630,5030,4530,3950,3680,3180,NA,NA,NA,NA,NA,NA,NA,5590
2000-02-01,64800,2890,2930,3260,3710,4280,4890,4320,3950,3900,4610,5080,4500,3960,3700,3180,NA,NA,NA,NA,NA,NA,NA,5630
2000-03-01,64810,2890,2930,3260,3700,4240,4900,4330,3950,3890,4600,5100,4500,3960,3710,3190,NA,NA,NA,NA,NA,NA,NA,5650
2000-04-01,64790,2890,2930,3240,3690,4260,4890,4320,3950,3880,4570,5120,4490,3950,3710,3200,NA,NA,NA,NA,NA,NA,NA,5700
2000-05-01,64790,2900,2930,3240,3690,4250,4870,4320,3960,3890,4550,5130,4480,3960,3720,3200,NA,NA,NA,NA,NA,NA,NA,5710
2000-06-01,64840,2900,2920,3230,3680,4240,4890,4340,3970,3890,4540,5150,4480,3960,3730,3210,NA,NA,NA,NA,NA,NA,NA,5730
2000-07-01,64880,2900,2920,3230,3680,4240,4890,4350,3980,3890,4520,5170,4470,3960,3730,3210,NA,NA,NA,NA,NA,NA,NA,5740
2000-08-01,64790,2890,2910,3200,3640,4210,4880,4350,3980,3880,4500,5200,4460,3970,3740,3220,NA,NA,NA,NA,NA,NA,NA,5760
2000-09-01,64850,2890,2920,3200,3660,4180,4880,4350,4000,3880,4480,5220,4450,3970,3740,3230,NA,NA,NA,NA,NA,NA,NA,5780
2000-10-01,64890,2890,2910,3190,3660,4180,4880,4350,4020,3880,4460,5250,4440,3970,3750,3230,NA,NA,NA,NA,NA,NA,NA,5810
2000-11-01,64930,2890,2910,3190,3660,4180,4890,4350,4040,3870,4440,5280,4430,3980,3760,3240,NA,NA,NA,NA,NA,NA,NA,5830
2000-12-01,64890,2890,2910,3170,3650,4170,4880,4360,4050,3870,4420,5310,4400,3970,3770,3240,NA,NA,NA,NA,NA,NA,NA,5850
2001-01-01,64870,2890,2900,3160,3650,4160,4870,4350,4050,3860,4400,5340,4380,3980,3770,3240,NA,NA,NA,NA,NA,NA,NA,5870
2001-02-01,64900,2900,2900,3160,3640,4130,4870,4390,4040,3860,4360,5390,4330,3980,3790,3260,NA,NA,NA,NA,NA,NA,NA,5910
2001-03-01,64810,2890,2900,3150,3630,4070,4860,4410,4020,3850,4340,5420,4300,3980,3790,3260,NA,NA,NA,NA,NA,NA,NA,5940
2001-04-01,64880,2900,2900,3140,3610,4100,4870,4440,4010,3840,4320,5460,4270,3980,3790,3270,NA,NA,NA,NA,NA,NA,NA,5980
2001-05-01,64890,2890,2900,3140,3620,4100,4850,4460,3990,3840,4310,5480,4240,3990,3800,3270,NA,NA,NA,NA,NA,NA,NA,6010
2001-06-01,64950,2890,2900,3140,3620,4090,4850,4500,3980,3850,4300,5510,4230,4000,3800,3270,NA,NA,NA,NA,NA,NA,NA,6030
2001-07-01,64960,2890,2900,3130,3610,4080,4850,4520,3970,3840,4290,5520,4220,4010,3800,3280,NA,NA,NA,NA,NA,NA,NA,6040
2001-08-01,64920,2880,2890,3100,3570,4060,4850,4560,3960,3830,4270,5530,4220,4030,3810,3290,NA,NA,NA,NA,NA,NA,NA,6060
2001-09-01,64960,2880,2900,3110,3590,4030,4840,4580,3960,3840,4260,5530,4220,4040,3820,3290,NA,NA,NA,NA,NA,NA,NA,6080
2001-10-01,65020,2880,2920,3110,3590,4000,4770,4600,3960,3850,4250,5520,4230,4080,3830,3300,NA,NA,NA,NA,NA,NA,NA,6120
2001-11-01,65060,2880,2920,3110,3580,4000,4770,4640,3960,3850,4240,5510,4240,4090,3840,3310,NA,NA,NA,NA,NA,NA,NA,6140
2001-12-01,65120,2880,2920,3100,3570,4000,4770,4660,3960,3850,4230,5500,4250,4110,3840,3310,NA,NA,NA,NA,NA,NA,NA,6170
2002-01-01,65050,2870,2920,3090,3570,3990,4750,4670,3950,3840,4210,5500,4240,4130,3840,3310,NA,NA,NA,NA,NA,NA,NA,6180
2002-02-01,65120,2870,2920,3090,3570,3970,4740,4670,3980,3850,4190,5480,4250,4140,3860,3320,NA,NA,NA,NA,NA,NA,NA,6230
2002-03-01,65100,2870,2920,3090,3560,3920,4730,4670,3990,3850,4170,5470,4250,4140,3860,3320,2690,1830,NA,NA,NA,NA,1740,NA
2002-04-01,65110,2870,2920,3070,3540,3970,4720,4660,4010,3850,4140,5460,4260,4140,3860,3330,2700,1840,NA,NA,NA,NA,1760,NA
2002-05-01,65100,2870,2920,3070,3550,3970,4690,4650,4010,3850,4130,5440,4270,4140,3870,3340,2710,1850,NA,NA,NA,NA,1760,NA
2002-06-01,65170,2870,2920,3070,3550,3960,4700,4660,4040,3860,4120,5420,4290,4140,3860,3350,2720,1850,NA,NA,NA,NA,1770,NA
2002-07-01,65190,2870,2920,3060,3540,3950,4690,4670,4060,3860,4110,5410,4320,4150,3870,3360,2720,1860,NA,NA,NA,NA,1770,NA
2002-08-01,65120,2860,2910,3040,3500,3930,4680,4680,4060,3850,4090,5380,4350,4170,3880,3370,2730,1860,NA,NA,NA,NA,1780,NA
2002-09-01,65150,2870,2920,3040,3510,3910,4660,4690,4080,3860,4070,5350,4370,4180,3880,3380,2740,1870,NA,NA,NA,NA,1780,NA
2002-10-01,65250,2870,2920,3040,3510,3920,4660,4710,4100,3880,4060,5320,4400,4180,3880,3380,2750,1870,NA,NA,NA,NA,1790,NA
2002-11-01,65290,2870,2920,3040,3500,3920,4650,4720,4110,3880,4050,5300,4430,4180,3890,3400,2750,1880,NA,NA,NA,NA,1800,NA
2002-12-01,65250,2870,2920,3030,3490,3900,4630,4720,4120,3890,4040,5270,4440,4170,3890,3410,2760,1890,NA,NA,NA,NA,1800,NA
2003-01-01,65160,2860,2910,3030,3490,3900,4600,4710,4120,3880,4020,5250,4450,4170,3900,3410,2760,1890,NA,NA,NA,NA,1810,NA
2003-02-01,65220,2860,2920,3030,3480,3890,4590,4730,4130,3880,4010,5210,4490,4170,3900,3430,2770,1910,NA,NA,NA,NA,1820,NA
2003-03-01,65160,2850,2920,3020,3470,3850,4570,4740,4120,3880,4000,5180,4510,4180,3900,3440,2780,1920,NA,NA,NA,NA,1840,NA
