Date,総数,0~4歳,5~9,10~14,15~19,20~24,25~29,30~34,35~39,40~44,45~49,50~54,55~59,60~64,65~69,70~74,75~79,80~84,85~89,90~94,95~99,100歳以上,85歳以上,75歳以上
1999-09-01,61950,3050,3090,3470,3930,4560,5020,4380,3990,3970,4760,4880,4360,3690,3270,2570,NA,NA,NA,NA,NA,NA,NA,2950
1999-10-01,61970,3050,3090,3460,3920,4550,5030,4390,4000,3970,4730,4910,4370,3690,3280,2570,NA,NA,NA,NA,NA,NA,NA,2970
1999-11-01,61990,3050,3090,3450,3910,4540,5050,4390,4000,3960,4690,4940,4370,3700,3280,2580,NA,NA,NA,NA,NA,NA,NA,2980
1999-12-01,62000,3050,3090,3440,3910,4530,5050,4400,4010,3960,4670,4960,4370,3700,3280,2590,NA,NA,NA,NA,NA,NA,NA,3000
2000-01-01,62000,3040,3080,3430,3910,4520,5050,4400,4020,3950,4640,5000,4370,3710,3290,2590,NA,NA,NA,NA,NA,NA,NA,3010
2000-02-01,62010,3040,3080,3430,3900,4500,5060,4410,4020,3940,4620,5040,4330,3710,3300,2600,NA,NA,NA,NA,NA,NA,NA,3030
2000-03-01,61970,3050,3080,3420,3890,4460,5050,4410,4020,3930,4590,5060,4330,3710,3310,2610,NA,NA,NA,NA,NA,NA,NA,3050
2000-04-01,61990,3050,3070,3400,3870,4470,5060,4420,4030,3930,4570,5080,4320,3710,3310,2620,NA,NA,NA,NA,NA,NA,NA,3080
2000-05-01,61970,3050,3070,3400,3880,4460,5050,4410,4030,3920,4560,5090,4310,3710,3320,2630,NA,NA,NA,NA,NA,NA,NA,3080
2000-06-01,62010,3050,3070,3400,3870,4450,5060,4430,4040,3920,4540,5110,4310,3710,3320,2630,NA,NA,NA,NA,NA,NA,NA,3090
2000-07-01,62010,3050,3070,3390,3860,4440,5060,4430,4050,3920,4520,5130,4300,3710,3330,2640,NA,NA,NA,NA,NA,NA,NA,3100
2000-08-01,61990,3050,3060,3360,3850,4420,5060,4450,4060,3920,4500,5160,4290,3720,3330,2650,NA,NA,NA,NA,NA,NA,NA,3110
2000-09-01,62010,3050,3060,3360,3850,4390,5060,4450,4080,3910,4490,5190,4290,3720,3340,2650,NA,NA,NA,NA,NA,NA,NA,3130
2000-10-01,62100,3050,3060,3360,3850,4400,5060,4450,4100,3920,4470,5220,4280,3730,3350,2660,NA,NA,NA,NA,NA,NA,NA,3150
2000-11-01,62120,3060,3060,3350,3840,4390,5070,4450,4110,3910,4450,5240,4260,3730,3360,2670,NA,NA,NA,NA,NA,NA,NA,3170
2000-12-01,62120,3060,3060,3340,3830,4380,5070,4450,4120,3900,4430,5280,4240,3730,3370,2680,NA,NA,NA,NA,NA,NA,NA,3190
2001-01-01,62090,3060,3050,3330,3830,4370,5060,4460,4130,3900,4410,5310,4220,3730,3380,2680,NA,NA,NA,NA,NA,NA,NA,3200
2001-02-01,62140,3060,3050,3330,3830,4350,5060,4490,4120,3900,4380,5370,4170,3730,3390,2700,NA,NA,NA,NA,NA,NA,NA,3230
2001-03-01,62100,3060,3050,3320,3820,4310,5050,4510,4100,3890,4350,5400,4140,3740,3400,2700,NA,NA,NA,NA,NA,NA,NA,3250
2001-04-01,62130,3060,3050,3300,3810,4320,5060,4540,4090,3890,4330,5440,4120,3750,3400,2710,NA,NA,NA,NA,NA,NA,NA,3280
2001-05-01,62100,3050,3050,3300,3810,4310,5040,4560,4060,3880,4320,5460,4090,3750,3400,2720,NA,NA,NA,NA,NA,NA,NA,3290
2001-06-01,62150,3030,3080,3300,3800,4240,4940,4590,4070,3900,4320,5480,4100,3780,3420,2730,NA,NA,NA,NA,NA,NA,NA,3360
2001-07-01,62160,3020,3080,3300,3790,4230,4940,4620,4060,3900,4310,5490,4090,3790,3430,2730,NA,NA,NA,NA,NA,NA,NA,3370
2001-08-01,62130,3020,3070,3270,3770,4210,4940,4650,4050,3890,4290,5500,4090,3810,3440,2740,NA,NA,NA,NA,NA,NA,NA,3390
2001-09-01,62150,3020,3070,3270,3770,4190,4930,4680,4040,3900,4280,5500,4080,3830,3440,2750,NA,NA,NA,NA,NA,NA,NA,3400
2001-10-01,62240,3020,3070,3270,3770,4200,4920,4720,4040,3910,4280,5500,4090,3840,3440,2750,NA,NA,NA,NA,NA,NA,NA,3420
2001-11-01,62260,3020,3070,3260,3760,4190,4920,4740,4040,3900,4260,5490,4100,3860,3450,2760,1800,950,NA,NA,NA,NA,690,NA
2001-12-01,62250,3020,3070,3260,3760,4190,4910,4760,4030,3900,4250,5470,4100,3870,3450,2760,1810,950,NA,NA,NA,NA,700,NA
2002-01-01,62190,3020,3070,3250,3750,4180,4890,4760,4030,3890,4230,5470,4090,3880,3450,2760,1820,950,NA,NA,NA,NA,700,NA
2002-02-01,62210,3020,3070,3250,3750,4170,4880,4770,4040,3890,4200,5450,4100,3890,3470,2770,1840,960,NA,NA,NA,NA,700,NA
2002-03-01,62170,3020,3070,3240,3740,4140,4860,4760,4060,3890,4180,5440,4110,3900,3470,2770,1850,960,NA,NA,NA,NA,710,NA
2002-04-01,62220,3020,3070,3230,3730,4150,4850,4760,4080,3900,4160,5420,4120,3900,3470,2790,1870,970,NA,NA,NA,NA,720,NA
2002-05-01,62190,3020,3070,3230,3730,4150,4830,4750,4080,3900,4150,5400,4140,3900,3480,2790,1880,970,NA,NA,NA,NA,720,NA
2002-06-01,62220,3020,3070,3220,3730,4140,4830,4760,4110,3900,4140,5390,4160,3900,3480,2800,1890,970,NA,NA,NA,NA,720,NA
2002-07-01,62240,3020,3070,3220,3720,4130,4820,4770,4120,3910,4130,5370,4180,3910,3480,2810,1900,980,NA,NA,NA,NA,720,NA
2002-08-01,62200,3010,3060,3200,3700,4120,4810,4770,4130,3900,4110,5340,4210,3920,3480,2820,1910,980,NA,NA,NA,NA,720,NA
2002-09-01,62220,3010,3060,3200,3690,4100,4800,4780,4150,3910,4100,5310,4230,3930,3490,2820,1920,980,NA,NA,NA,NA,720,NA
2002-10-01,62250,3010,3060,3200,3690,4100,4790,4790,4160,3920,4090,5290,4260,3930,3490,2830,1930,980,NA,NA,NA,NA,720,NA
2002-11-01,62250,3010,3060,3190,3680,4100,4780,4800,4170,3920,4070,5260,4290,3930,3500,2840,1940,990,NA,NA,NA,NA,730,NA
2002-12-01,62270,3010,3060,3190,3670,4090,4770,4810,4180,3930,4060,5230,4310,3920,3500,2850,1950,990,NA,NA,NA,NA,730,NA
2003-01-01,62210,3000,3060,3180,3670,4090,4740,4810,4180,3930,4050,5210,4320,3930,3510,2860,1960,990,NA,NA,NA,NA,730,NA
2003-02-01,62280,3000,3060,3180,3660,4080,4740,4830,4190,3930,4040,5180,4360,3930,3520,2870,1970,1000,NA,NA,NA,NA,730,NA
2003-03-01,62210,3000,3060,3180,3650,4050,4710,4840,4190,3930,4020,5140,4390,3930,3520,2880,1990,1010,NA,NA,NA,NA,740,NA
2003-04-01,62290,3000,3060,3170,3640,4060,4710,4850,4200,3940,4020,5120,4410,3940,3520,2880,2000,1020,NA,NA,NA,NA,740,NA
2003-05-01,62300,3000,3060,3170,3630,4070,4690,4850,4200,3940,4010,5100,4430,3950,3530,2890,2010,1020,NA,NA,NA,NA,740,NA
2003-06-01,62330,3000,3060,3160,3620,4060,4690,4870,4220,3950,4010,5080,4460,3960,3530,2890,2020,1020,NA,NA,NA,NA,740,NA
2003-07-01,62310,2990,3060,3160,3620,4050,4670,4870,4230,3940,4000,5060,4480,3970,3520,2890,2030,1030,NA,NA,NA,NA,740,NA
2003-08-01,62270,2990,3060,3150,3600,4040,4660,4880,4240,3940,3990,5030,4490,3990,3520,2900,2040,1030,NA,NA,NA,NA,740,NA
2003-09-01,62280,2980,3060,3140,3590,4020,4640,4890,4250,3950,3980,5010,4510,4010,3520,2900,2050,1030,NA,NA,NA,NA,750,NA
2003-10-01,62300,2980,3060,3140,3590,4020,4630,4900,4260,3950,3980,4990,4520,4030,3510,2900,2060,1040,NA,NA,NA,NA,750,NA
2003-11-01,62290,2970,3070,3130,3580,4020,4620,4900,4270,3950,3970,4950,4530,4050,3510,2900,2070,1050,NA,NA,NA,NA,750,NA
2003-12-01,62320,2970,3070,3120,3580,4020,4610,4910,4280,3950,3980,4920,4560,4060,3500,2910,2080,1060,NA,NA,NA,NA,750,NA
2004-01-01,62260,2970,3060,3110,3570,4010,4580,4910,4290,3940,3970,4900,4570,4070,3490,2910,2090,1060,NA,NA,NA,NA,750,NA
2004-02-01,62300,2960,3060,3110,3560,4000,4580,4920,4300,3940,3960,4860,4600,4090,3500,2920,2100,1080,NA,NA,NA,NA,760,NA
2004-03-01,62260,2960,3060,3110,3540,3980,4560,4920,4300,3940,3950,4830,4610,4110,3500,2920,2110,1090,NA,NA,NA,NA,760,NA
2004-04-01,62280,2960,3060,3100,3530,3990,4550,4920,4310,3940,3950,4800,4630,4130,3490,2930,2120,1100,NA,NA,NA,NA,770,NA
2004-05-01,62230,2960,3060,3110,3530,3990,4520,4910,4310,3930,3950,4770,4640,4140,3490,2930,2130,1100,NA,NA,NA,NA,770,NA
2004-06-01,62290,2960,3060,3110,3520,3980,4520,4930,4330,3950,3960,4740,4660,4160,3480,2930,2140,1110,NA,NA,NA,NA,770,NA
2004-07-01,62270,2950,3050,3110,3510,3980,4510,4930,4330,3950,3950,4710,4680,4170,3480,2940,2150,1110,NA,NA,NA,NA,770,NA
2004-08-01,62270,2950,3040,3100,3490,3970,4490,4940,4350,3960,3950,4690,4710,4180,3480,2940,2160,1120,NA,NA,NA,NA,770,NA
2004-09-01,62260,2940,3040,3100,3480,3950,4470,4950,4350,3960,3940,4660,4730,4190,3480,2950,2160,1120,NA,NA,NA,NA,770,NA
2004-10-01,62295,2943,3040,3105,3466,3955,4461,4960,4359,3976,3936,4633,4762,4193,3484,2951,2168,1130,NA,NA,NA,NA,772,NA
2004-11-01,62301,2942,3034,3105,3456,3949,4453,4971,4364,3983,3930,4602,4786,4196,3489,2954,2174,1139,NA,NA,NA,NA,776,NA
2004-12-01,62294,2941,3031,3104,3446,3942,4442,4975,4367,3987,3922,4574,4813,4190,3494,2958,2180,1147,NA,NA,NA,NA,781,NA
2005-01-01,62268,2936,3023,3097,3440,3936,4427,4970,4371,3995,3918,4551,4845,4188,3496,2960,2183,1151,NA,NA,NA,NA,781,NA
2005-02-01,62270,2933,3024,3100,3434,3924,4420,4971,4375,3997,3903,4528,4888,4154,3500,2972,2193,1164,NA,NA,NA,NA,790,NA
2005-03-01,62226,2927,3026,3098,3424,3897,4402,4968,4376,4001,3896,4503,4906,4150,3501,2983,2202,1173,NA,NA,NA,NA,795,NA
2005-04-01,62260,2923,3023,3090,3413,3909,4399,4970,4383,4008,3895,4485,4929,4144,3501,2990,2211,1183,NA,NA,NA,NA,803,NA
2005-05-01,62185,2917,3022,3091,3411,3904,4376,4951,4378,4007,3889,4464,4935,4137,3502,2995,2216,1188,NA,NA,NA,NA,803,NA
2005-06-01,62243,2913,3024,3090,3403,3900,4375,4961,4396,4020,3893,4455,4957,4138,3503,2999,2219,1192,NA,NA,NA,NA,805,NA
2005-07-01,62231,2909,3022,3090,3395,3894,4365,4958,4402,4028,3890,4438,4978,4126,3508,3002,2224,1197,NA,NA,NA,NA,806,NA
2005-08-01,62229,2902,3011,3078,3377,3885,4355,4960,4415,4042,3888,4420,5008,4121,3518,3008,2230,1202,NA,NA,NA,NA,809,NA
2005-09-01,62213,2897,3014,3084,3371,3865,4342,4955,4415,4054,3881,4400,5028,4114,3520,3014,2238,1209,NA,NA,NA,NA,812,NA
2005-10-01,62341,2897,3022,3089,3369,3874,4341,4963,4424,4080,3887,4390,5062,4108,3523,3026,2247,1221,NA,NA,NA,NA,819,NA
2005-11-01,62354,2892,3024,3084,3359,3872,4335,4966,4422,4097,3884,4370,5087,4094,3525,3036,2253,1232,NA,NA,NA,NA,822,NA
2005-12-01,62331,2886,3026,3083,3350,3867,4327,4961,4422,4103,3877,4348,5118,4067,3522,3047,2262,1240,NA,NA,NA,NA,825,NA
