１－１－１－１図　刑法犯 認知件数・検挙人員・検挙率の推移,,,,,
年次,発生率:刑法犯・危険運転致死傷・過失運転致死傷等,発生率:過失運転致死傷等,発生率:刑法犯,発生率:窃盗,発生率:窃盗を除く刑法犯
1946/1/1,1831.128713,3.772937294,1827.355776,1525.269967,302.0858086
1947/1/1,1774.640025,4.878269069,1769.761756,1461.296383,308.465373
1948/1/1,2004.019401,4.121122812,1999.898278,1558.008166,441.8901122
1949/1/1,1960.373226,6.306514046,1954.066712,1425.422591,528.6441208
1950/1/1,1766.42838,10.35821827,1756.070162,1180.703469,575.366693
1951/1/1,1655.029421,14.07004008,1640.959381,1177.697249,463.2621318
1952/1/1,1625.949966,20.88846749,1605.061498,1150.225723,454.8357746
1953/1/1,1545.710952,31.43313421,1514.277818,1071.252389,443.0254295
1954/1/1,1541.727022,40.87986822,1500.847153,1075.019726,425.8274275
1955/1/1,1655.775123,47.66143699,1608.113686,1183.945939,424.167747
1956/1/1,1564.17377,62.47973933,1501.694031,1117.478955,384.2150754
1957/1/1,1568.301156,78.74339357,1489.557763,1105.377984,384.1797792
1958/1/1,1569.472425,94.07404152,1475.398383,1079.474263,395.92412
1959/1/1,1601.076721,108.446254,1492.630467,1109.647857,382.9826103
1960/1/1,1601.275961,125.3188595,1475.957102,1111.576389,364.380713
1961/1/1,1623.20053,137.3988578,1485.801673,1115.610975,370.1906979
1962/1/1,1599.571005,144.6682577,1454.902747,1108.669085,346.2336621
1963/1/1,1620.081408,187.5361776,1432.54523,1108.66269,323.8825404
1964/1/1,1656.424799,230.8902895,1425.534509,1088.200259,337.3342497
1965/1/1,1630.557757,263.3478532,1367.209904,1045.508428,321.7014759
1966/1/1,1606.163776,299.6929199,1306.470856,1011.15917,295.3116865
1967/1/1,1600.337475,382.8813031,1217.456172,952.6836074,264.7725647
1968/1/1,1719.593226,501.6052214,1217.988005,962.5367619,255.4512428
1969/1/1,1803.014137,580.0787448,1222.935392,983.0812821,239.8541103
1970/1/1,1863.092829,629.2071177,1233.885711,1001.84863,232.0370814
1971/1/1,1783.610056,600.3261314,1183.283924,975.8815007,207.4024235
1972/1/1,1689.747111,552.5726075,1137.174503,935.6126726,201.5618307
1973/1/1,1584.494775,493.2852359,1091.209539,892.6157439,198.5937954
1974/1/1,1512.095963,416.8841782,1095.211785,916.2778892,178.9338954
1975/1/1,1495.229889,392.5758455,1102.654044,927.2336164,175.4204272
1976/1/1,1495.431756,392.2534402,1103.178316,928.2065217,174.9717943
1977/1/1,1493.479664,382.4317844,1111.047879,940.2103515,170.8375277
1978/1/1,1542.529526,381.9083236,1160.621202,986.7574684,173.8637337
1979/1/1,1496.667917,386.5934971,1110.07442,953.448985,156.6254351
1980/1/1,1548.600604,388.9761316,1159.624473,995.7330061,163.8914668
1981/1/1,1633.421974,392.3667813,1241.055193,1066.440576,174.614617
1982/1/1,1688.996762,401.3698154,1287.626946,1106.644147,180.9827993
1983/1/1,1705.935283,417.0220369,1288.913246,1117.032993,171.8802522
1984/1/1,1729.205333,408.652511,1320.552822,1135.200817,185.3520048
1985/1/1,1752.550909,424.412698,1328.138211,1141.056827,187.0813836
1986/1/1,1746.079579,446.2133411,1299.866238,1130.282301,169.5839367
1987/1/1,1744.635787,453.7546683,1290.881118,1116.502374,174.3787445
1988/1/1,1798.343147,461.174834,1337.168313,1158.786601,178.3817121
1989/1/1,1835.219053,477.0987092,1358.120344,1204.166793,153.9535511
1990/1/1,1793.979503,469.9664392,1324.013064,1168.233449,155.779615
1991/1/1,1840.755864,464.5593894,1376.196475,1212.120768,164.075707
1992/1/1,1890.948802,492.2142212,1398.734581,1224.930551,173.8040303
1993/1/1,1950.772523,509.1350026,1441.63752,1267.825412,173.8121084
1994/1/1,1937.247089,512.7223251,1424.524764,1243.553331,180.9714334
1995/1/1,1939.936472,520.0587088,1419.877763,1250.688001,169.1897617
1996/1/1,1958.933728,519.1378614,1439.795866,1262.279582,177.5162847
1997/1/1,1995.991362,490.271778,1505.719584,1320.21912,185.5004636
1998/1/1,2127.16642,519.2625335,1607.903886,1414.582625,193.3212607
1999/1/1,2292.667727,582.966059,1709.701668,1508.202293,201.4993752
2000/1/1,2565.363304,640.2470772,1925.116227,1679.062317,246.0539104
2001/1/1,2813.094812,664.4166596,2148.678152,1838.347269,310.3308827
2002/1/1,2897.520613,658.7924682,2238.728145,1864.903833,373.8243114
2003/1/1,2855.4553,670.2015314,2185.253768,1750.935165,434.318603
2004/1/1,2682.280922,676.5704502,2005.710472,1550.68527,455.0252018
2005/1/1,2446.008505,669.6857117,1776.322793,1350.159728,426.1630655
2006/1/1,2249.425657,645.6565089,1603.769148,1199.782503,403.9866454
2007/1/1,2101.714715,610.4789929,1491.235722,1116.867425,374.3682973
2008/1/1,1984.501416,558.2096306,1426.291785,1077.224658,349.0671275
2009/1/1,1882.731778,543.8762522,1338.855526,1021.918713,316.9368129
2010/1/1,1787.848932,535.010282,1252.83865,959.7723058,293.0663442
2011/1/1,1691.653305,515.3628162,1176.290489,901.8025723,274.4879166
2012/1/1,1596.981434,496.2995255,1100.681909,830.5923972,270.0895117
2013/1/1,1506.648754,474.043181,1032.605573,770.8176251,261.787948
2014/1/1,1387.215057,432.991654,954.2234029,706.0427264,248.1806766
2015/1/1,1271.687515,406.6100228,864.5810715,635.3237353,229.2573362
