品目,ウエイト
非耐久財:飲食料品,46.7
非耐久財:燃料,7.36
非耐久財:新聞,2.33
非耐久財:書籍・雑誌,1.09
非耐久財:電気代,7.7
非耐久財:ガス代,2.55
非耐久財:水道代,3.79
非耐久財:衣料品,11.14
非耐久財:自動車整備費,1.16
非耐久財:ゲームソフト,0.15
非耐久財:その他非耐久財,16.03
耐久財:家電,61.36
耐久財:自動車,38.64
サービス＋:外食代,22.62
サービス＋:パック旅行代,6.9
サービス＋:宿泊代,2.63
サービス＋:固定電話代,4.61
サービス＋:インターネット通信料,3.08
サービス＋:携帯電話代,11.93
サービス＋:電車代,5.54
サービス＋:バス代,0.99
サービス＋:タクシー代,1.04
サービス＋:飛行機代,0.94
サービス＋:郵便代,0.65
サービス＋:医療費,10.37
サービス＋:介護費,0.59
サービス＋:娯楽費,4.69
サービス＋:学習塾代,3.43
サービス＋:冠婚葬祭費,2.99
サービス＋:公共放送受信料,1.95
サービス＋:貸金・クレジットカード,1.06
サービス＋:生命保険料,7.52
サービス＋:損害保険料,1.86
サービス＋:駐車場代,3.25
サービス＋:コンテンツ配信料,1.37
