第30表　平成29年度一般会計歳出予算所管別使途別分類,,,,,,,,,
１．当初予算である。,,,,,,,,,
２．使途別分類は、第27、28表の目別分類の項目を次のようにとりまとめたものである。職員給与(02、03、04目の合計)、その他の給与(01、05目の合計)、旅費(08目)、物件費(09、10、11、12、13目の合計)、施設費(15目)、補助費・委託費(14、16目合計)、他会計へ繰入(22目)、その他(残余の目区分の合計)。,,,,,,,,,
単位：千円,,,,,,,,,
使途別所管別,人件費:職員給与,人件費:その他の給与,旅費,物件費,施設費,補助費・委託費,他会計へ繰入,その他,合計
皇室費,-,-,-,3287114,2068750,-,-,861773,6217637
国会,32818144,38687000,9485367,32549395,18894521,7484787,-,532087,140451301
裁判所,200814336,25162887,4673277,23870984,15216171,40996328,-,6968827,317702810
会計検査院,10452694,1637340,579665,2384988,97366,2110179,-,9183,17271415
内閣,16924666,2960026,1295538,26464696,4432340,53965545,-,3160562,109203373
内閣府,116734360,20034369,15330847,112277621,65567926,1284977447,1354102995,57119575,3026145140
総務省,38624097,8390035,1464284,79120288,6073238,196251739,15567103800,280181590,16177209071
法務省,376415057,43277490,6268794,158616008,23542027,124531919,-,17737022,750388317
外務省,73787363,28883844,9050974,66995854,6560094,485460928,-,21878448,692617505
財務省,525515215,74057106,10587302,214238841,10902207,229894094,24098503714,566704648,25730403127
文部科学省,18845828,4962597,4860890,59838402,6267454,4989952416,107499000,117471112,5309697699
厚生労働省,162811443,26606267,2505951,101105511,4552989,18678836180,11560733580,150133168,30687285089
農林水産省,159415432,30293209,5570955,56718269,175258125,1426050862,269327961,13285958,2135920771
経済産業省,41006233,10368904,2829806,14934810,1381801,270184662,636917278,1243201,978866695
国土交通省,374704606,53035214,11275731,164478593,2503271848,2739015225,43306490,34414507,5923502214
環境省,13572530,1988741,905517,24995921,7011927,107005449,168122278,3076515,326678878
防衛省,1542178823,314932434,13348999,1854121512,784621473,513366131,-,102578996,5125148368
合計,3704620827,685277463,100033897,2995998807,3635720257,31150083891,53805617096,1377357172,97454709410
