第28表平成29年度一般会計歳出予算所管別目別分類,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
当初予算である。,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
単位：千円,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
区　　　　分,01議員歳費,02職員基本給,03職員諸手当,04超過勤務手当,02～04　目計,05常勤職員給与,05諸手当,05目計,06雑給与,07報償費,08旅費,09庁費,10原材料費,11立法事務費,12 議員調査研究費,13渡切費,14委託費,15施設費,16補助金,16交付金,16補給金,16援助金援助費,16分担金,16負担金,16目計,17交際費,18 賠償償還及払戻金,19保証金,20補償金,21年金及恩給,22他会計へ繰入,23貸付金,24出資金,25供託金利子,その他,予備費,合計
皇室費,-,-,-,-,-,-,-,-,25756,238514,-,3287114,-,-,-,-,-,2068750,-,-,-,-,-,-,-,58783,-,-,-,-,-,-,-,-,538720,-,6217637
国会,15544799,19820647,9963545,3033952,32818144,-,23142201,23142201,35812,-,9485367,26956795,-,5592600,-,-,-,18894521,-,860297,-,-,125643,6498847,7484787,89156,4871,-,390248,-,-,-,-,-,12000,-,140451301
裁判所,-,132379444,64185454,4249438,200814336,-,25162887,25162887,3441970,-,4673277,23870984,-,-,-,-,200023,15216171,-,163410,-,-,274,40632621,40796305,4767,319390,10000,312080,-,-,2872620,-,-,8000,-,317702810
会計検査院,-,6247280,3228150,977264,10452694,-,1637340,1637340,8368,-,579665,2384988,-,-,-,-,-,97366,-,292,-,-,7796,2102091,2110179,805,10,-,-,-,-,-,-,-,-,-,17271415
内閣,-,10240040,5275525,1409101,16924666,-,2960026,2960026,1685765,1461652,1295538,26464696,-,-,-,-,50671261,4432340,-,9938,-,-,58,3284288,3294284,12925,220,-,-,-,-,-,-,-,-,-,109203373
内閣府,-,71246477,36388799,9099084,116734360,-,20034369,20034369,5266913,115318,15330847,112277621,-,-,-,-,61128847,65567926,121497793,282988901,2014862,-,1948555,815398489,1223848600,15290,10340,-,-,-,1354102995,150000,-,-,51561714,-,3026145140
総務省,-,23679727,12231140,2713230,38624097,-,8390035,8390035,323289,195116,1464284,79120288,-,-,-,-,33985966,6073238,42967756,108468255,-,-,2051739,8778023,162265773,1918,314562,-,79997,279266708,15567103800,-,-,-,-,-,16177209071
法務省,-,236355152,111802502,28257403,376415057,-,43277490,43277490,5172957,35026,6268794,158412554,203454,-,-,-,29699861,23542027,464127,15047035,-,-,160666,79160230,94832058,9324,11795456,600200,1682,-,-,7200,-,115177,-,-,750388317
外務省,-,28247995,43213364,2326004,73787363,-,28883844,28883844,18986805,2551912,9050974,66995854,-,-,-,-,6740486,6560094,2927225,163042740,-,163214000,139362912,10173565,478720442,246996,70108,-,-,-,-,22627,-,-,-,-,692617505
財務省,-,333849398,162325504,29340313,525515215,-,74057106,74057106,611645,35905,10587302,214238841,-,-,-,-,-,10902207,2584257,9231166,14404940,-,30502143,173171588,229894094,6079,115971503,133,24476,-,24098503714,-,100054907,-,-,350000000,25730403127
文部科学省,-,11129000,6088691,1628137,18845828,-,4962597,4962597,28085105,11806,4860890,59838402,-,-,-,-,59163431,6267454,1229867530,2035251676,1001419,-,6345136,1658323224,4930788985,3176,29507,-,100,882000,107499000,88459418,-,-,-,-,5309697699
厚生労働省,-,102076005,52094575,8640863,162811443,-,26606267,26606267,10405826,150167,2505951,101054776,50735,-,-,-,31175295,4552989,2098226433,3220477689,6672510,-,14309519,13307974734,18647660885,700,2535428,127,8833,133430135,11560733580,3601952,-,-,-,-,30687285089
農林水産省,-,99153369,50655227,9606836,159415432,600264,29692945,30293209,499847,9306,5570955,56718269,-,-,-,-,19027064,175258125,349551737,836710242,17227301,-,2470156,201064362,1407023798,2058,845383,-,486364,-,269327961,-,11443000,-,-,-,2135920771
経済産業省,-,24799335,12613810,3593088,41006233,-,10368904,10368904,490934,9000,2829806,14934810,-,-,-,-,38486130,1381801,61803831,134948446,21259895,-,2563452,11122908,231698532,3000,540267,-,-,-,636917278,-,200000,-,-,-,978866695
国土交通省,-,226152388,116639652,31912566,374704606,51252,52983962,53035214,640735,22736,11275731,164478593,-,-,-,-,2638907,2503271848,563936467,2082768719,91000,-,2033496,87546636,2736376318,5396,1220893,-,7547,-,43306490,16903200,15614000,-,-,-,5923502214
環境省,-,8158802,4226730,1186998,13572530,-,1988741,1988741,74145,-,905517,24995921,-,-,-,-,7944815,7011927,20750204,73061756,-,-,2295818,2952856,99060634,637,1113,-,620,-,168122278,-,3000000,-,-,-,326678878
防衛省,-,1031191174,504159520,6828129,1542178823,-,314932434,314932434,92837550,94996,13348999,1854121512,-,-,-,-,15138202,784621473,90923005,38522409,-,-,59766572,309015943,498227929,5681,1657454,-,7971003,-,-,12312,-,-,-,-,5125148368
合計,15544799,2364726233,1195092188,144802406,3704620827,651516,669081148,669732664,168593422,4931454,100033897,2990152018,254189,5592600,-,-,356000288,3635720257,4585500365,9001552971,62671927,163214000,263943935,16717200405,30794083603,466691,135316505,610460,9282950,413578843,53805617096,112029329,130311907,115177,52120434,350000000,97454709410
