"Index","Unit"
"Consumer Price Index for All Urban Consumers: All Items ","Index 1982-1984=100,Not Seasonally Adjusted"
"Civilian Unemployment Rate ","Percent,Seasonally Adjusted"
"All Employees: Total Nonfarm Payrolls ","Thousands of Persons,Seasonally Adjusted"
"Real Gross Domestic Product ","Billions of Chained 2009 Dollars,Seasonally Adjusted Annual Rate"
"Gross Domestic Product ","Billions of Dollars,Seasonally Adjusted Annual Rate"
"M2 Money Stock ","Billions of Dollars,Seasonally Adjusted"
"10-Year Breakeven Inflation Rate ","Percent,Not Seasonally Adjusted"
"Commercial and Industrial Loans, All Commercial Banks ","Billions of U.S. Dollars,Seasonally Adjusted"
"S&P/Case-Shiller U.S. National Home Price Index ","Index Jan 2000=100,Seasonally Adjusted"
"Personal Consumption Expenditures ","Billions of Dollars,Seasonally Adjusted Annual Rate"
"Civilian Labor Force Participation Rate ","Percent,Seasonally Adjusted"
"Dow Jones Industrial Average ","Index,Not Seasonally Adjusted"
"S&P 500 ","Index,Not Seasonally Adjusted"
"NASDAQ Composite Index ","Index Feb 5, 1971=100,Not Seasonally Adjusted"
"CBOE Volatility Index: VIX ","Index,Not Seasonally Adjusted"
