"Date","Long-AUSTRALIAN DOLLAR","Short-AUSTRALIAN DOLLAR","Net-AUSTRALIAN DOLLAR","Names","Unit"
2014-01-07,14213,71065,-56852,"AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF AUD 100,000) "
2014-01-14,10376,62364,-51988,"AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF AUD 100,000) "
2014-01-21,15645,80299,-64654,"AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF AUD 100,000) "
2014-01-28,13997,79720,-65723,"AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF AUD 100,000) "
2014-02-04,11696,67219,-55523,"AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF AUD 100,000) "
2014-02-11,10202,57605,-47403,"AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF AUD 100,000) "
2014-02-18,9439,53837,-44398,"AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF AUD 100,000) "
2014-02-25,10299,49290,-38991,"AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF AUD 100,000) "
2014-03-04,12262,53370,-41108,"AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF AUD 100,000) "
2014-03-11,8627,49477,-40850,"AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF AUD 100,000) "
2014-03-18,21577,46040,-24463,"AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF AUD 100,000) "
2014-03-25,24387,44914,-20527,"AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF AUD 100,000) "
2014-04-01,35398,40278,-4880,"AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF AUD 100,000) "
2014-04-08,37630,34320,3310,"AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF AUD 100,000) "
2014-04-15,40463,32366,8097,"AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF AUD 100,000) "
2014-04-22,49540,33170,16370,"AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF AUD 100,000) "
2014-04-29,50019,39313,10706,"AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF AUD 100,000) "
2014-05-06,44805,36168,8637,"AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF AUD 100,000) "
2014-05-13,50147,33020,17127,"AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF AUD 100,000) "
2014-05-20,50130,30668,19462,"AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF AUD 100,000) "
2014-05-27,52071,36223,15848,"AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF AUD 100,000) "
2014-06-03,56811,35284,21527,"AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF AUD 100,000) "
2014-06-10,62141,33894,28247,"AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF AUD 100,000) "
2014-06-17,61078,34049,27029,"AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF AUD 100,000) "
2014-06-24,65612,32149,33463,"AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF AUD 100,000) "
2014-07-01,76598,37719,38879,"AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF AUD 100,000) "
2014-07-08,66705,30102,36603,"AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF AUD 100,000) "
2014-07-15,70881,31138,39743,"AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF AUD 100,000) "
2014-07-22,72170,33377,38793,"AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF AUD 100,000) "
2014-07-29,69348,29742,39606,"AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF AUD 100,000) "
2014-08-05,60860,27560,33300,"AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF AUD 100,000) "
2014-08-12,54691,25145,29546,"AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF AUD 100,000) "
2014-08-19,65747,29173,36574,"AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF AUD 100,000) "
2014-08-26,71658,29720,41938,"AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF AUD 100,000) "
