"Date","Period","日本","中国","韓国","台湾","インド","イラン","サウジアラビア","EU27カ国:計","EU27カ国:オーストリア","EU27カ国:ベルギー","EU27カ国:チェコ","EU27カ国:フィンランド","EU27カ国:フランス","EU27カ国:ドイツ","EU27カ国:ハンガリー","EU27カ国:イタリア","EU27カ国:ルクセンブルク","EU27カ国:オランダ","EU27カ国:ポーランド","EU27カ国:ルーマニア","EU27カ国:スロバキア","EU27カ国:スペイン","EU27カ国:スウェーデン","EU27カ国:英国","トルコ","CIS:計","CIS:ロシア","CIS:ウクライナ","CIS:カザフスタン","米国:(NT)","米国:(MT)","カナダ","メキシコ","ベネズエラ","ブラジル","アルゼンチン","エジプト","南アフリカ","オーストラリア","世界計"
"2013-01-01","Yearly",110595,815410,66061,22282,81299,15422,5471,166311,7953,7093,5171,3517,15685,42645,883,24093,2090,6713,7950,2985,4511,14252,4404,11858,34654,108408,69008,32771,3275,95766,86878,12417,18242,2139,34163,5186,6754,7162,4688,1650354
"2014-01-01","Yearly",110666,823004,71543,23121,87292,16331,6291,169301,7876,7331,5360,3807,16143,42943,1152,23714,2193,6964,8558,3158,4705,14249,4539,12120,34035,106079,71461,27170,3681,97195,88174,12730,18930,1485,33897,5488,6485,6412,4607,1669894
"2015-01-01","Yearly",105134,803825,69670,21392,89026,16146,5229,166173,7687,7257,5262,3988,14984,42676,1675,22018,2127,6917,9198,3352,4562,14845,4374,10964,31517,101374,70900,22968,3910,86912,78845,12473,18225,1345,33256,5028,5506,6417,4925,1592473
"2016-01-01","Yearly",104775,808370,68576,21751,95618,17895,5461,162032,7438,7687,5305,4101,14413,42080,1274,23373,2175,6917,9001,3313,4808,13624,4617,7635,33163,102230,70808,24218,4236,86504,78475,12646,18809,553,30212,4126,5036,6141,5259,1609703
"2016-1~3","Quaterly",25839,191719,16502,5255,23269,4061,1250,40935,1928,1951,1312,1042,3778,10781,237,5805,564,1796,2306,746,1119,3547,1154,1845,7697,24955,17243,6114,969,21661,19650,3329,4172,86,7436,986,1156,1543,1176,388390
"2016-4~6","Quaterly",26209,209391,16945,5512,23719,4688,1411,41787,1829,1945,1383,1038,3447,11077,279,6349,588,1641,2098,832,1228,3674,1227,2008,8660,26023,17807,6300,1083,22492,20405,3266,4850,55,7436,1071,1115,1666,1290,412454
"2016-7~9","Quaterly",26334,203550,17605,5385,24266,4460,1420,38743,1763,1818,1342,998,3395,10152,382,5182,511,1773,2173,787,1241,3221,1110,1907,8081,25363,17664,5843,1110,21530,19532,3094,4932,178,8050,1021,1355,1482,1406,403545
"2016-10~12","Quaterly",26393,202020,17523,5598,24364,4685,1379,40679,1917,1973,1268,1024,3793,10069,376,6037,512,1706,2424,911,1221,3182,1125,1999,8725,25889,18094,5961,1074,20800,18870,2957,4855,233,7928,1049,1409,1451,1388,404664
"2017-1~3","Quaterly",26230,201099,16959,5740,25094,4634,1339,42604,2040,2000,1294,1031,3903,10975,432,6176,568,1671,2502,872,1227,3578,1235,1908,8840,25230,17872,5596,1055,22369,20292,3464,5031,112,8248,989,1531,1574,1258,408844
"2017-4~6","Quaterly",26095,218267,17427,5825,24388,5313,1180,43526,2079,2019,1216,1054,4014,11247,480,6182,492,1771,2609,940,1258,3687,1172,2075,9375,24474,17468,4908,1215,22375,20299,3017,5004,154,8475,1134,1579,1505,1292,426466
"2016-01-01","Monthly",8768,62552,5680,1790,7501,1365,416,13494,664,639,413,342,1332,3604,74,1818,185,584,709,249,375,1214,376,621,2598,8022,5540,1938,348,7117,6456,1138,1393,55,2497,329,387,526,418,128221
"2016-02-01","Monthly",8345,58517,5089,1658,7451,1360,402,13357,642,638,432,334,1317,3367,76,1949,185,589,803,228,328,1139,385,591,2370,8067,5603,1971,285,7081,6424,1069,1430,22,2433,339,346,479,316,121609
"2016-03-01","Monthly",8726,70722,5734,1807,8316,1336,432,14085,622,674,468,366,1128,3811,87,2038,195,623,795,269,415,1194,393,633,2729,8866,6100,2205,336,7463,6770,1121,1349,10,2506,318,424,538,442,138560
"2016-04-01","Monthly",8500,69421,5643,1808,7694,1509,427,13472,537,606,440,329,966,3555,92,2101,197,503,747,300,399,1228,410,694,2842,8717,5958,2201,334,7277,6601,1093,1536,13,2300,319,352,541,369,135339
