"Date","CHILE:EPU","CHILE:EPUC"
1993-01-01,"53.09","43.93"
1993-02-01,"32.66","31.91"
1993-03-01,"68.95","58.02"
1993-04-01,"62.09","62.88"
1993-05-01,"94.28","71.27"
1993-06-01,"65.25","61.52"
1993-07-01,"57.47","53.89"
1993-08-01,"53.18","48.60"
1993-09-01,"75.98","86.03"
1993-10-01,"48.85","47.49"
1993-11-01,"77.72","66.42"
1993-12-01,"93.59","81.60"
1994-01-01,"84.07","54.27"
1994-02-01,"41.65","25.97"
1994-03-01,"84.90","69.89"
1994-04-01,"61.83","46.89"
1994-05-01,"82.81","76.86"
1994-06-01,"39.78","39.39"
1994-07-01,"74.14","60.30"
1994-08-01,"62.38","65.78"
1994-09-01,"59.28","52.45"
1994-10-01,"48.44","40.23"
1994-11-01,"45.13","35.26"
1994-12-01,"106.25","70.49"
1995-01-01,"86.13","69.35"
1995-02-01,"92.81","91.95"
1995-03-01,"79.90","80.58"
1995-04-01,"58.98","46.17"
1995-05-01,"64.18","51.61"
1995-06-01,"65.64","71.15"
1995-07-01,"57.96","57.08"
1995-08-01,"61.97","56.90"
1995-09-01,"96.60","89.52"
1995-10-01,"67.57","64.59"
1995-11-01,"90.70","63.26"
1995-12-01,"128.81","113.43"
1996-01-01,"76.62","62.83"
1996-02-01,"75.28","58.64"
1996-03-01,"92.33","74.89"
1996-04-01,"63.84","68.53"
1996-05-01,"33.79","32.36"
1996-06-01,"58.98","44.74"
1996-07-01,"99.29","84.62"
1996-08-01,"66.09","35.61"
1996-09-01,"57.72","51.62"
1996-10-01,"75.93","78.01"
1996-11-01,"50.14","53.39"
1996-12-01,"75.32","81.92"
1997-01-01,"112.51","95.56"
1997-02-01,"58.93","30.23"
1997-03-01,"70.89","77.33"
1997-04-01,"64.56","61.57"
1997-05-01,"81.91","72.97"
1997-06-01,"58.27","47.58"
1997-07-01,"98.57","104.10"
1997-08-01,"100.57","114.95"
1997-09-01,"73.98","50.58"
1997-10-01,"98.37","87.65"
1997-11-01,"100.29","94.26"
1997-12-01,"194.50","208.91"
1998-01-01,"156.59","194.93"
1998-02-01,"159.12","164.41"
1998-03-01,"116.58","135.69"
1998-04-01,"88.54","87.59"
1998-05-01,"82.46","89.77"
1998-06-01,"131.42","135.69"
1998-07-01,"139.09","129.90"
1998-08-01,"164.71","195.09"
1998-09-01,"248.49","270.14"
1998-10-01,"145.48","154.07"
1998-11-01,"94.47","104.34"
1998-12-01,"154.26","163.24"
1999-01-01,"154.74","179.25"
1999-02-01,"129.02","143.05"
1999-03-01,"111.19","99.78"
1999-04-01,"108.01","112.12"
1999-05-01,"114.59","136.17"
1999-06-01,"165.13","159.69"
1999-07-01,"92.84","88.48"
1999-08-01,"89.27","85.15"
1999-09-01,"149.79","151.81"
1999-10-01,"95.46","104.77"
1999-11-01,"127.07","118.15"
1999-12-01,"98.33","114.50"
2000-01-01,"104.18","112.91"
2000-02-01,"76.44","72.82"
2000-03-01,"78.60","84.10"
2000-04-01,"63.73","54.93"
2000-05-01,"120.89","122.22"
2000-06-01,"156.83","149.80"
2000-07-01,"112.73","115.92"
2000-08-01,"90.84","75.86"
2000-09-01,"200.57","200.25"
2000-10-01,"117.72","120.35"
2000-11-01,"183.35","170.21"
2000-12-01,"136.36","132.32"
