"Date","SWEDEN:Swedish News-Based EPU Index"
1976-01-01,141.8282287
1976-02-01,113.7734883
1976-03-01,130.4017963
1976-04-01,107.9133823
1976-05-01,105.9651146
1976-06-01,115.0832387
1976-07-01,160.2679013
1976-08-01,140.0188744
1976-09-01,137.4826083
1976-10-01,113.7407562
1976-11-01,119.3748615
1976-12-01,130.9340917
1976-01-01,141.8282287
1976-02-01,113.7734883
1976-03-01,130.4017963
1976-04-01,107.9133823
1976-05-01,105.9651146
1976-06-01,115.0832387
1976-07-01,160.2679013
1976-08-01,140.0188744
1976-09-01,137.4826083
1976-10-01,113.7407562
1976-11-01,119.3748615
1976-12-01,130.9340917
1977-01-01,136.4929838
1977-02-01,119.2271527
1977-03-01,118.1841973
1977-04-01,114.9216389
1977-05-01,126.9464378
1977-06-01,138.5777695
1977-07-01,166.3152787
1977-08-01,129.1792063
1977-09-01,126.8525743
1977-10-01,119.7719983
1977-11-01,105.8811039
1977-12-01,124.9049888
1978-01-01,126.5929493
1978-02-01,106.8763706
1978-03-01,117.2835773
1978-04-01,99.11680468
1978-05-01,103.4338017
1978-06-01,104.4023486
1978-07-01,120.3670044
1978-08-01,137.316256
1978-09-01,111.3664812
1978-10-01,100.7539439
1978-11-01,110.7659942
1978-12-01,113.3278346
1979-01-01,130.5764227
1979-02-01,144.6634016
1979-03-01,118.5781677
1979-04-01,117.7781915
1979-05-01,121.7364258
1979-06-01,116.8074527
1979-07-01,118.9232701
1979-08-01,147.7470543
1979-09-01,136.1563496
1979-10-01,109.7546135
1979-11-01,118.5998094
1979-12-01,106.3255799
1980-01-01,143.5662637
1980-02-01,139.869832
1980-03-01,122.0259951
1980-04-01,107.0654318
1980-05-01,128.1493129
1980-06-01,105.0010936
1980-07-01,149.7439523
1980-08-01,130.6941836
1980-09-01,108.2526779
1980-10-01,106.4211151
1980-11-01,121.921121
1980-12-01,111.3771366
1981-01-01,116.0598112
1981-02-01,112.7498119
1981-03-01,97.04995059
1981-04-01,112.8836048
1981-05-01,111.6815353
1981-06-01,130.9771327
1981-07-01,151.0495874
1981-08-01,123.8840535
1981-09-01,114.2430679
1981-10-01,119.8380206
1981-11-01,93.03671586
1981-12-01,124.05324
1982-01-01,114.8417412
1982-02-01,114.7289472
1982-03-01,113.7794633
1982-04-01,101.4860224
1982-05-01,103.7095241
1982-06-01,127.3767481
1982-07-01,145.1139666
1982-08-01,150.4098299
1982-09-01,119.3571797
1982-10-01,103.8940944
1982-11-01,120.5355552
1982-12-01,125.6535475
1983-01-01,141.2927739
1983-02-01,125.9377969
1983-03-01,125.4239658
1983-04-01,91.25329466
1983-05-01,112.690485
1983-06-01,122.6950389
1983-07-01,170.8191398
1983-08-01,121.9931142
1983-09-01,105.9454916
1983-10-01,116.6728727
1983-11-01,111.460979
1983-12-01,129.5095222
1984-01-01,118.60262
1984-02-01,106.774879
1984-03-01,95.76389794
1984-04-01,118.6605117
1984-05-01,106.9068154
1984-06-01,122.4616091
1984-07-01,120.7100139
1984-08-01,122.7070911
1984-09-01,110.6771931
1984-10-01,106.276334
1984-11-01,100.4123898
1984-12-01,107.6446999
1985-01-01,126.4307365
1985-02-01,98.60890444
1985-03-01,112.8506256
1985-04-01,111.1405983
1985-05-01,130.9460701
1985-06-01,103.2694615
1985-07-01,141.3506939
1985-08-01,139.7367665
1985-09-01,123.322968
1985-10-01,103.2457678
1985-11-01,115.4347259
1985-12-01,105.0577358
1986-01-01,110.8499388
1986-02-01,116.8797744
1986-03-01,101.0462956
1986-04-01,109.6209319
1986-05-01,104.091582
1986-06-01,143.1792856
1986-07-01,157.5901109
1986-08-01,128.8229636
1986-09-01,97.67646122
1986-10-01,94.72961374
1986-11-01,103.2240438
1986-12-01,129.7491722
1987-01-01,118.9743565
1987-02-01,79.89761095
1987-03-01,97.2852674
1987-04-01,97.04760533
1987-05-01,93.81301261
1987-06-01,97.48987556
1987-07-01,93.98064302
1987-08-01,109.7893555
1987-09-01,102.8173115
1987-10-01,113.2178683
1987-11-01,111.7313667
1987-12-01,107.4404814
1988-01-01,120.0014694
1988-02-01,104.0493849
1988-03-01,108.6720271
1988-04-01,89.69081053
1988-05-01,94.48304585
1988-06-01,98.48838138
1988-07-01,113.0656146
1988-08-01,136.8236886
1988-09-01,118.3289293
1988-10-01,91.93493505
1988-11-01,113.7354389
1988-12-01,90.05173152
1989-01-01,99.70188221
1989-02-01,94.05184008
1989-03-01,110.4618337
