"約定日","指数連動型上場投資信託受益権:(1)企業支援ETF以外(億円)","指数連動型上場投資信託受益権:(2)設備投資および人材投資に積極的に取り組んでいる企業を支援するためのETF(億円)","不動産投資法人投資口(億円)"
2017-01-01,,,
2017-01-02,,,
2017-01-03,,,
2017-01-04,,12,13
2017-01-05,,12,
2017-01-06,703,12,
2017-01-07,,,
2017-01-08,,,
2017-01-09,,,
2017-01-10,,12,
2017-01-11,,12,
2017-01-12,703,12,12
2017-01-13,,12,
2017-01-14,,,
2017-01-15,,,
2017-01-16,703,12,12
2017-01-17,703,12,
2017-01-18,703,12,
2017-01-19,,12,
2017-01-20,,12,
2017-01-21,,,
2017-01-22,,,
2017-01-23,703,12,
2017-01-24,,12,
2017-01-25,,12,
2017-01-26,,12,
2017-01-27,,12,
2017-01-28,,,
2017-01-29,,,
2017-01-30,703,12,
2017-01-31,703,12,
2017-02-01,703,12,
2017-02-02,,12,12
2017-02-03,,12,12
2017-02-04,,,
2017-02-05,,,
2017-02-06,,12,12
2017-02-07,704,12,
2017-02-08,,12,
2017-02-09,,12,
2017-02-10,,12,
2017-02-11,,,
2017-02-12,,,
2017-02-13,,12,
2017-02-14,,12,
2017-02-15,,12,
2017-02-16,704,12,12
2017-02-17,704,12,
2017-02-18,,,
2017-02-19,,,
2017-02-20,704,12,
2017-02-21,,12,
2017-02-22,,12,
2017-02-23,704,12,
2017-02-24,,12,
2017-02-25,,,
2017-02-26,,,
2017-02-27,704,12,12
2017-02-28,,12,
2017-03-01,,12,12
2017-03-02,,12,12
2017-03-03,,12,12
2017-03-04,,,
2017-03-05,,,
2017-03-06,,12,
2017-03-07,,12,
2017-03-08,724,12,
2017-03-09,,12,12
2017-03-10,,12,12
2017-03-11,,,
2017-03-12,,,
2017-03-13,,12,
2017-03-14,,12,12
2017-03-15,724,12,
2017-03-16,724,12,
2017-03-17,724,12,
2017-03-18,,,
2017-03-19,,,
2017-03-20,,,
2017-03-21,,12,
2017-03-22,724,12,
2017-03-23,724,12,12
2017-03-24,,12,
2017-03-25,,,
2017-03-26,,,
2017-03-27,724,12,12
2017-03-28,,12,
2017-03-29,,12,12
2017-03-30,,12,
2017-03-31,,12,12
2017-04-01,,,
2017-04-02,,,
2017-04-03,,12,12
2017-04-04,725,12,
2017-04-05,,12,
2017-04-06,725,12,12
2017-04-07,,12,12
2017-04-08,,,
2017-04-09,,,
2017-04-10,,12,12
2017-04-11,725,12,
2017-04-12,725,12,
2017-04-13,725,12,
2017-04-14,725,12,12
2017-04-15,,,
2017-04-16,,,
2017-04-17,725,12,
2017-04-18,,12,
2017-04-19,,12,
2017-04-20,,12,
2017-04-21,,12,12
2017-04-22,,,
2017-04-23,,,
2017-04-24,,12,
2017-04-25,,12,12
2017-04-26,,12,
2017-04-27,,12,
2017-04-28,,12,12
2017-04-29,,,
2017-04-30,,,
2017-05-01,,12,
2017-05-02,,12,
2017-05-03,,,
2017-05-04,,,
2017-05-05,,,
2017-05-06,,,
2017-05-07,,,
2017-05-08,,12,
2017-05-09,,12,
2017-05-10,,12,
2017-05-11,,12,
2017-05-12,727,12,
2017-05-13,,,
2017-05-14,,,
2017-05-15,,12,
2017-05-16,,12,12
2017-05-17,727,12,
2017-05-18,727,12,
2017-05-19,727,12,12
2017-05-20,,,
2017-05-21,,,
2017-05-22,,12,12
2017-05-23,,12,
2017-05-24,,12,12
2017-05-25,,12,
2017-05-26,,12,
2017-05-27,,,
2017-05-28,,,
2017-05-29,,12,
2017-05-30,727,12,
2017-05-31,,12,12
2017-06-01,,12,
2017-06-02,,12,
2017-06-03,,,
2017-06-04,,,
2017-06-05,,12,
2017-06-06,728,12,
2017-06-07,728,12,
2017-06-08,,12,
2017-06-09,,12,
2017-06-10,,,
2017-06-11,,,
2017-06-12,,12,
2017-06-13,,12,
2017-06-14,,12,
2017-06-15,728,12,
2017-06-16,,12,
2017-06-17,,,
2017-06-18,,,
2017-06-19,,12,12
2017-06-20,,12,12
2017-06-21,,12,
2017-06-22,,12,12
2017-06-23,728,12,12
2017-06-24,,,
2017-06-25,,,
2017-06-26,,12,12
2017-06-27,,12,12
2017-06-28,,12,12
2017-06-29,,12,
2017-06-30,728,12,12
2017-07-01,,,
2017-07-02,,,
2017-07-03,,12,
2017-07-04,,12,
2017-07-05,707,12,12
2017-07-06,,12,
2017-07-07,,12,12
2017-07-08,,,
2017-07-09,,,
2017-07-10,,12,
2017-07-11,,12,12
2017-07-12,707,12,12
2017-07-13,,12,
2017-07-14,,12,12
2017-07-15,,,
2017-07-16,,,
2017-07-17,,,
2017-07-18,707,12,
2017-07-19,,12,
2017-07-20,,12,
2017-07-21,707,12,12
2017-07-22,,,
2017-07-23,,,
2017-07-24,707,12,
2017-07-25,707,12,
2017-07-26,,12,
2017-07-27,,12,
2017-07-28,,12,
2017-07-29,,,
2017-07-30,,,
2017-07-31,,12,
2017-08-01,,12,
2017-08-02,,12,
2017-08-03,733,12,
2017-08-04,733,12,
2017-08-05,,,
2017-08-06,,,
2017-08-07,,12,
2017-08-08,733,12,
2017-08-09,733,12,12
2017-08-10,733,12,12
2017-08-11,,,
2017-08-12,,,
2017-08-13,,,
2017-08-14,733,12,12
2017-08-15,,12,12
2017-08-16,,12,
2017-08-17,,12,
2017-08-18,733,12,
2017-08-19,,,
2017-08-20,,,
2017-08-21,733,12,12
2017-08-22,,12,
2017-08-23,,12,
2017-08-24,,12,
2017-08-25,,12,12
2017-08-26,,,
2017-08-27,,,
2017-08-28,,12,
2017-08-29,733,12,12
2017-08-30,,12,
2017-08-31,,12,
2017-09-01,,12,
2017-09-02,,,
2017-09-03,,,
2017-09-04,739,12,12
2017-09-05,739,12,12
2017-09-06,739,12,12
2017-09-07,,12,
2017-09-08,,12,
2017-09-09,,,
2017-09-10,,,
2017-09-11,,12,12
2017-09-12,,12,
2017-09-13,,12,12
2017-09-14,,12,
2017-09-15,,12,
2017-09-16,,,
2017-09-17,,,
2017-09-18,,,
2017-09-19,,12,
