Date,源泉所得税課税状況:本税:利子所得等(百万円),源泉所得税課税状況:本税:配当所得(百万円),源泉所得税課税状況:本税:上場株式等の譲渡所得等(百万円),源泉所得税課税状況:本税:給与所得(百万円),源泉所得税課税状況:本税:退職所得(百万円),源泉所得税課税状況:本税:報酬・料金等所得(百万円),源泉所得税課税状況:本税:非居住者等所得(百万円),源泉所得税課税状況:本税:計(百万円),源泉所得税課税状況:不納付加算税(百万円),源泉所得税課税状況:重加算税(百万円),源泉所得税課税状況:合計(百万円)
1948/1/1,775,165,－ ,74460,617,406,－ ,76423,1058,－ ,77482
1949/1/1,1594,613,－ ,137127,3393,856,－ ,143583,2481,－ ,146064
1950/1/1,1789,194,－ ,121267,2774,1121,－ ,127145,3597,34,130776
1951/1/1,2232,472,－ ,142222,2702,1650,－ ,149278,3123,44,152446
1952/1/1,3686,11555,－ ,160660,3076,4004,955,183936,2732,28,186697
1953/1/1,3737,15542,－ ,187144,3007,6365,1450,217245,2728,26,220000
1954/1/1,5022,12808,－ ,192563,3288,7858,1738,223277,2825,22,226124
1955/1/1,2423,11815,－ ,188045,3877,8154,1951,216264,2302,65,218632
1956/1/1,31,12820,－ ,206778,4572,8601,2740,235542,1773,78,237393
1957/1/1,3741,16302,－ ,152360,4290,9489,2747,188929,1556,90,190576
1958/1/1,5408,18120,－ ,158389,4823,10341,2843,199924,1405,80,201409
1959/1/1,6769,24320,－ ,167528,4234,12752,3677,219279,1523,84,220886
1960/1/1,15570,36058,－ ,225011,4990,15513,5546,302688,1838,80,304606
1961/1/1,25260,45163,－ ,279836,5687,17774,6825,380545,2908,89,383542
1962/1/1,30635,50717,－ ,318174,7853,22467,8294,438139,3090,124,441354
1963/1/1,28037,33899,－ ,401178,11018,28171,11629,513933,2105,165,516203
1964/1/1,35103,32071,－ ,491953,10477,33385,13248,616237,2538,219,618994
1965/1/1,65789,60863,－ ,540752,13683,41117,15886,738090,2799,261,741150
1966/1/1,94250,69437,－ ,578016,17756,44497,14840,818795,2683,218,821696
1967/1/1,134757,93611,－ ,636917,10551,51864,19052,946752,2691,263,949706
1968/1/1,188434,130681,－ ,776541,11742,62259,22869,1192527,3224,463,1196213
1969/1/1,215124,166089,－ ,982040,15803,76777,27203,1483037,3669,256,1486962
1970/1/1,252827,182087,－ ,1205471,19303,97133,33982,1790804,4469,243,1795519
1971/1/1,329615,201417,－ ,1381512,25714,110256,40177,2088691,5600,224,2094515
1972/1/1,409190,225218,－ ,1826333,31898,134518,35984,2663141,6344,354,2669839
1973/1/1,535049,261306,－ ,2604644,31091,165495,43432,3641017,7736,329,3649082
1974/1/1,702148,291510,－ ,2620796,32745,213686,45005,3905890,9483,308,3915681
1975/1/1,802820,271349,－ ,2726130,35530,248703,47192,4131724,9830,253,4141807
1976/1/1,867936,289955,－ ,3361769,45086,277744,50937,4893427,9903,301,4903631
1977/1/1,910962,305095,－ ,3504250,61499,314720,55234,5151760,9543,355,5161657
1978/1/1,1001881,404039,－ ,4085824,71136,356242,60836,5979958,10490,416,5990864
1979/1/1,995385,449107,－ ,5053010,98383,400558,66053,7062497,11791,523,7074811
1980/1/1,1373714,483559,－ ,5944295,104568,438890,74555,8419580,14281,463,8434324
1981/1/1,1686406,545308,－ ,6726925,141235,458094,81594,9639564,16356,737,9656656
1982/1/1,1662156,539813,－ ,7551636,158400,491467,98247,10501718,19244,1031,10521993
1983/1/1,1653207,561184,－ ,8057098,182628,513021,99665,11066803,19464,1118,11087385
1984/1/1,1790209,608213,－ ,8351165,182480,533859,118230,11584155,19534,1284,11604973
1985/1/1,1884205,628803,－ ,8988140,209554,673152,124118,12507972,20835,1731,12530538
1986/1/1,2040882,688689,－ ,9683175,238347,717874,128806,13497771,22069,2257,13522097
1987/1/1,1869092,825332,－ ,9565066,285138,768253,135188,13448069,26630,2700,13477399
1988/1/1,1965266,911373,－ ,9312187,238371,976752,143935,13547884,19563,2149,13569596
1989/1/1,2475613,1129375,604428,9827689,157972,1006726,162728,15364531,17745,1880,15384156
1990/1/1,4891551,1108886,466229,11281937,161924,1072361,200185,19183073,19769,1936,19204778
1991/1/1,5405690,979842,258502,12817878,199074,1080977,208136,20950098,24288,1690,20976076
1992/1/1,3800262,935219,112181,13719038,189664,1107063,199904,20063332,28796,1710,20093838
1993/1/1,3477665,879429,193486,14023243,211996,1121812,191632,20099265,30815,1672,20131752
1994/1/1,3853260,815206,174171,12056141,218747,1106023,200223,18423770,28030,1687,18453487
1995/1/1,3078229,773382,167762,11487067,241535,1134325,227038,17109340,26149,1752,17137241
1996/1/1,1773507,860266,202002,11836771,223670,1143187,266711,16306114,24862,2461,16333437
1997/1/1,1322436,848165,127012,13153888,257671,1159264,294191,17162627,26501,2788,17191916
1998/1/1,1094877,848072,101260,10783223,275545,1029676,301198,14433851,25713,2394,14461958
1999/1/1,924959,917115,416534,10319434,315900,1096231,302620,14292793,21811,2069,14316673
2000/1/1,3161555,1018800,385460,10176191,294155,1101342,335842,16473344,21867,1990,16497201
2001/1/1,3986258,942989,180810,10137116,321573,1114021,401261,17084029,23920,1786,17109735
2002/1/1,1258008,1053721,196831,9703525,380695,1100616,391049,14084444,22122,1686,14108252
2003/1/1,837337,1001784,55178,9423929,331809,1043950,366955,13060942,21088,2008,13084038
2004/1/1,761205,1167203,95756,9817204,337706,1039768,320910,13539752,18443,1322,13559517
2005/1/1,615073,2406981,254672,10132835,294970,1315150,291262,15310944,18041,1875,15330860
2006/1/1,483788,2348728,223942,11362529,286390,1363280,358611,16427267,17797,1476,16446540
2007/1/1,632489,2445815,210356,9870157,268510,1195908,394846,15018081,16911,1547,15036539
2008/1/1,819520,2044204,49652,9727330,260635,1170087,360578,14432008,14751,1714,14448473
2009/1/1,661963,1584196,50449,8626931,261987,1149864,257249,12592639,13206,1446,12607291
2010/1/1,548231,1641050,46817,8501306,229569,1150780,285492,12403245,11646,1541,12416432
2011/1/1,467925,1670059,38895,9006411,228655,1151126,284675,12847745,10090,1193,12859027
2012/1/1,431845,1827282,43371,8980062,242755,1154831,262869,12943014,9692,1416,12954121
2013/1/1,439088,2576926,516579,9352973,234564,1173663,332231,14626023,8128,1018,14635169
2014/1/1,480674,3821381,433386,9781145,221593,1169810,499056,16407044,8948,811,16416803
2015/1/1,430169,4591692,577913,10173573,225429,1186446,639035,17824258,8940,1160,17834358
