Date,法人税課税状況:現事業年度:税額合計(百万円)
1948/1/1,21152
1949/1/1,47104
1950/1/1,48837
1951/1/1,169306
1952/1/1,166514
1953/1/1,191405
1954/1/1,189325
1955/1/1,179101
1956/1/1,245540
1957/1/1,332827
1958/1/1,279364
1959/1/1,378295
1960/1/1,546696
1961/1/1,684089
1962/1/1,735132
1963/1/1,817048
1964/1/1,907181
1965/1/1,874196
1966/1/1,995678
1967/1/1,1215601
1968/1/1,1533955
1969/1/1,1904019
1970/1/1,2434597
1971/1/1,2429975
1972/1/1,2951903
1973/1/1,4347755
1974/1/1,5375782
1975/1/1,3784219
1976/1/1,4519113
1977/1/1,5286436
1978/1/1,5604045
1979/1/1,6697586
1980/1/1,7750583
1981/1/1,8367837
1982/1/1,8741136
1983/1/1,8991041
1984/1/1,10254492
1985/1/1,11572580
1986/1/1,11761449
1987/1/1,13909197
1988/1/1,16091543
1989/1/1,18210152
1990/1/1,18585847
1991/1/1,17264676
1992/1/1,14807194
1993/1/1,12918732
1994/1/1,11593073
1995/1/1,11683422
1996/1/1,13957481
1997/1/1,13500429
1998/1/1,12021002
1999/1/1,10653826
2000/1/1,10970415
2001/1/1,11526760
2002/1/1,9635550
2003/1/1,9795119
2004/1/1,10748464
2005/1/1,11931728
2006/1/1,13899839
2007/1/1,14321561
2008/1/1,9490526
2009/1/1,8561108
2010/1/1,9246509
2011/1/1,9403193
2012/1/1,9893347
2013/1/1,10824968
2014/1/1,11034455
2015/1/1,11264908
