"Date","Long-JAPANESE YEN","Short-JAPANESE YEN","Net-JAPANESE YEN","Names","Unit"
2014-01-07,11340,140208,-128868,"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF JPY 12,500,000) "
2014-01-14,10754,128820,-118066,"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF JPY 12,500,000) "
2014-01-21,13128,128089,-114961,"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF JPY 12,500,000) "
2014-01-28,15977,102169,-86192,"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF JPY 12,500,000) "
2014-02-04,15896,92725,-76829,"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF JPY 12,500,000) "
2014-02-11,13686,92472,-78786,"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF JPY 12,500,000) "
2014-02-18,16736,96520,-79784,"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF JPY 12,500,000) "
2014-02-25,14727,99817,-85090,"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF JPY 12,500,000) "
2014-03-04,20407,100116,-79709,"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF JPY 12,500,000) "
2014-03-11,15726,115082,-99356,"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF JPY 12,500,000) "
2014-03-18,24144,85243,-61099,"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF JPY 12,500,000) "
2014-03-25,17600,86487,-68887,"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF JPY 12,500,000) "
2014-04-01,22162,110800,-88638,"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF JPY 12,500,000) "
2014-04-08,13340,100802,-87462,"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF JPY 12,500,000) "
2014-04-15,14351,83067,-68716,"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF JPY 12,500,000) "
2014-04-22,16564,83807,-67243,"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF JPY 12,500,000) "
2014-04-29,13846,84198,-70352,"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF JPY 12,500,000) "
2014-05-06,20381,81109,-60728,"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF JPY 12,500,000) "
2014-05-13,17471,82178,-64707,"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF JPY 12,500,000) "
2014-05-20,18681,72468,-53787,"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF JPY 12,500,000) "
2014-05-27,16999,76035,-59036,"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF JPY 12,500,000) "
2014-06-03,12578,86796,-74218,"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF JPY 12,500,000) "
2014-06-10,11893,94055,-82162,"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF JPY 12,500,000) "
2014-06-17,17832,85870,-68038,"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF JPY 12,500,000) "
2014-06-24,10325,81548,-71223,"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF JPY 12,500,000) "
2014-07-01,18739,77425,-58686,"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF JPY 12,500,000) "
2014-07-08,11174,77549,-66375,"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF JPY 12,500,000) "
2014-07-15,8385,71333,-62948,"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF JPY 12,500,000) "
2014-07-22,11979,65895,-53916,"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF JPY 12,500,000) "
2014-07-29,7828,80897,-73069,"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF JPY 12,500,000) "
2014-08-05,9896,105295,-95399,"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF JPY 12,500,000) "
2014-08-12,12518,93615,-81097,"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF JPY 12,500,000) "
2014-08-19,17976,105247,-87271,"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF JPY 12,500,000) "
2014-08-26,19512,122403,-102891,"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF JPY 12,500,000) "
2014-09-02,15485,132793,-117308,"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF JPY 12,500,000) "
2014-09-09,17280,117953,-100673,"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF JPY 12,500,000) "
2014-09-16,37617,120799,-83182,"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF JPY 12,500,000) "
2014-09-23,28391,133813,-105422,"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF JPY 12,500,000) "
2014-09-30,29910,150788,-120878,"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF JPY 12,500,000) "
2014-10-07,24837,137388,-112551,"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF JPY 12,500,000) "
2014-10-14,22839,123986,-101147,"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF JPY 12,500,000) "
2014-10-21,26634,98372,-71738,"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF JPY 12,500,000) "
2014-10-28,23883,91282,-67399,"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF JPY 12,500,000) "
2014-11-04,37917,109568,-71651,"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF JPY 12,500,000) "
2014-11-11,47271,129834,-82563,"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF JPY 12,500,000) "
2014-11-18,46612,139066,-92454,"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF JPY 12,500,000) "
2014-11-25,46304,150684,-104380,"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF JPY 12,500,000) "
2014-12-02,41530,152690,-111160,"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF JPY 12,500,000) "
2014-12-09,38067,142203,-104136,"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF JPY 12,500,000) "
2014-12-16,45652,132579,-86927,"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF JPY 12,500,000) "
2014-12-23,29021,122763,-93742,"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF JPY 12,500,000) "
2014-12-30,28836,125155,-96319,"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF JPY 12,500,000) "
2015-01-06,33160,123243,-90083,"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF JPY 12,500,000)"
2015-01-13,25872,120497,-94625,"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF JPY 12,500,000)"
