"Date","Long-MEXICAN PESO","Short-MEXICAN PESO","Net-MEXICAN PESO","Names","Unit"
2014-01-07,38449,20842,17607,"MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF MXN 500,000) "
2014-01-14,32495,18778,13717,"MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF MXN 500,000) "
2014-01-21,26739,30367,-3628,"MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF MXN 500,000) "
2014-01-28,20730,56046,-35316,"MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF MXN 500,000) "
2014-02-04,13694,48209,-34515,"MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF MXN 500,000) "
2014-02-11,9682,43622,-33940,"MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF MXN 500,000) "
2014-02-18,8094,31406,-23312,"MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF MXN 500,000) "
2014-02-25,9971,31540,-21569,"MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF MXN 500,000) "
2014-03-04,8230,28980,-20750,"MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF MXN 500,000) "
2014-03-11,12739,20986,-8247,"MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF MXN 500,000) "
2014-03-18,19320,20590,-1270,"MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF MXN 500,000) "
2014-03-25,22769,24423,-1654,"MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF MXN 500,000) "
2014-04-01,49893,28109,21784,"MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF MXN 500,000) "
2014-04-08,70371,13870,56501,"MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF MXN 500,000) "
2014-04-15,71038,16801,54237,"MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF MXN 500,000) "
2014-04-22,68329,14818,53511,"MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF MXN 500,000) "
2014-04-29,68073,18455,49618,"MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF MXN 500,000) "
2014-05-06,67663,19779,47884,"MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF MXN 500,000) "
2014-05-13,86137,17515,68622,"MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF MXN 500,000) "
2014-05-20,92730,15464,77266,"MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF MXN 500,000) "
2014-05-27,101808,18507,83301,"MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF MXN 500,000) "
2014-06-03,105666,19650,86016,"MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF MXN 500,000) "
2014-06-10,106566,16363,90203,"MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF MXN 500,000) "
2014-06-17,91227,22152,69075,"MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF MXN 500,000) "
2014-06-24,84943,15974,68969,"MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF MXN 500,000) "
2014-07-01,85387,15825,69562,"MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF MXN 500,000) "
2014-07-08,82777,13966,68811,"MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF MXN 500,000) "
2014-07-15,86707,17070,69637,"MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF MXN 500,000) "
2014-07-22,98823,19689,79134,"MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF MXN 500,000) "
