Date,総数:自殺者数:自殺統計,男:自殺者数:自殺統計,女:自殺者数:自殺統計
1978/1/1,20788,12859,7929
1979/1/1,21503,13386,8117
1980/1/1,21048,13155,7893
1981/1/1,20434,12942,7492
1982/1/1,21228,13654,7574
1983/1/1,25202,17116,8086
1984/1/1,24596,16508,8088
1985/1/1,23599,15624,7975
1986/1/1,25524,16497,9027
1987/1/1,24460,15802,8658
1988/1/1,23742,14934,8808
1989/1/1,22436,13818,8618
1990/1/1,21346,13102,8244
1991/1/1,21084,13242,7842
1992/1/1,22104,14296,7808
1993/1/1,21851,14468,7383
1994/1/1,21679,14560,7119
1995/1/1,22445,14874,7571
1996/1/1,23104,15393,7711
1997/1/1,24391,16416,7975
1998/1/1,32863,23013,9850
1999/1/1,33048,23512,9536
2000/1/1,31957,22727,9230
2001/1/1,31042,22144,8898
2002/1/1,32143,23080,9063
2003/1/1,34427,24963,9464
2004/1/1,32325,23272,9053
2005/1/1,32552,23540,9012
2006/1/1,32155,22813,9342
2007/1/1,33093,23478,9615
2008/1/1,32249,22831,9418
2009/1/1,32845,23472,9373
2010/1/1,31690,22283,9407
2011/1/1,30651,20955,9696
2012/1/1,27858,19273,8585
2013/1/1,27283,18787,8496
2014/1/1,25427,17386,8041
2015/1/1,24025,16681,7344
2016/1/1,21897,15121,6776
