Date,5～14歳:男:自殺者数,15～24歳:男:自殺者数,25～34歳:男:自殺者数,35～44歳:男:自殺者数,45～54歳:男:自殺者数,55～64歳:男:自殺者数,65～74歳:男:自殺者数,75歳～:男:自殺者数,不詳:男:自殺者数,5～14歳:女:自殺者数,15～24歳:女:自殺者数,25～34歳:女:自殺者数,35～44歳:女:自殺者数,45～54歳:女:自殺者数,55～64歳:女:自殺者数,65～74歳:女:自殺者数,75歳～:女:自殺者数,不詳:女:自殺者数
1947/1/1,73,1062,996,813,1176,1302,1199,431,56,23,1118,832,522,533,678,886,530,32
1948/1/1,28,1298,991,835,1186,1310,1151,462,70,7,1190,936,594,588,651,955,472,29
1949/1/1,33,1826,1240,941,1255,1384,1192,477,43,10,1360,1066,658,616,701,894,488,17
1950/1/1,0,2479,1592,1067,1339,1524,1246,494,79,2,1635,1091,714,715,729,965,609,31
1951/1/1,43,2520,1535,969,1154,1273,1045,485,11,12,1768,1121,704,654,686,866,566,3
1952/1/1,42,2813,1591,892,1088,1186,1051,478,30,11,1843,1234,737,694,692,814,574,6
1953/1/1,39,3533,2033,950,1107,1259,986,525,18,24,2236,1340,814,671,705,866,620,5
1954/1/1,44,4543,2658,1143,1217,1409,1085,523,19,32,2714,1529,777,766,737,838,596,5
1955/1/1,58,5143,2915,1117,1411,1447,1138,594,13,33,3088,1672,834,726,751,882,653,2
1956/1/1,52,4693,2746,1100,1284,1509,1188,636,14,22,3063,1686,790,776,879,942,724,3
1957/1/1,54,4625,2882,1057,1362,1526,1161,600,9,24,3088,1670,832,814,815,923,692,2
1958/1/1,57,4833,3121,1067,1313,1585,1237,669,13,39,3479,1926,863,839,893,1017,685,5
1959/1/1,47,3793,2808,1011,1221,1507,1147,636,9,24,2944,1730,826,814,904,936,730,3
1960/1/1,40,3604,2662,937,1174,1418,1123,538,10,23,2882,1678,778,837,820,929,689,1
1961/1/1,65,2972,2334,898,1015,1342,1118,574,15,22,2466,1652,810,752,766,935,706,4
1962/1/1,64,2417,2281,904,946,1218,1109,598,4,36,1964,1435,717,700,767,850,713,1
