Date,総数:自殺死亡率:自殺統計,男:自殺死亡率:自殺統計,女:自殺死亡率:自殺統計
1978/1/1,18,22.7,13.6
1979/1/1,18.5,23.4,13.8
1980/1/1,18,22.8,13.3
1981/1/1,17.3,22.3,12.5
1982/1/1,17.9,23.4,12.6
1983/1/1,21.1,29.1,13.3
1984/1/1,20.4,27.9,13.2
1985/1/1,19.5,26.3,13
1986/1/1,21,27.6,14.6
1987/1/1,20,26.3,13.9
1988/1/1,19.3,24.8,14.1
1989/1/1,18.2,22.8,13.7
1990/1/1,17.3,21.6,13.1
1991/1/1,17,21.7,12.4
1992/1/1,17.7,23.4,12.3
1993/1/1,17.5,23.6,11.6
1994/1/1,17.3,23.7,11.2
1995/1/1,17.9,24.2,11.8
1996/1/1,18.4,24.9,12
1997/1/1,19.3,26.6,12.4
1998/1/1,26,37.1,15.3
1999/1/1,26.1,37.9,14.8
2000/1/1,25.2,36.6,14.2
2001/1/1,24.4,35.6,13.7
2002/1/1,25.2,37,13.9
2003/1/1,27,40,14.5
2004/1/1,25.3,37.3,13.8
2005/1/1,25.5,37.8,13.8
2006/1/1,25.1,36.6,14.3
2007/1/1,25.8,37.6,14.7
2008/1/1,25.2,36.6,14.3
2009/1/1,25.7,37.6,14.3
2010/1/1,24.7,35.8,14.3
2011/1/1,24,33.7,14.8
2012/1/1,21.8,31.1,13.1
2013/1/1,21.4,30.3,13
2014/1/1,20,28.1,12.3
2015/1/1,18.9,27,11.2
2016/1/1,17.3,24.5,10.4
