Date,総数:自殺死亡率:人口動態統計,男:自殺死亡率:人口動態統計,女:自殺死亡率:人口動態統計
1947/1/1,15.7,18.6,12.9
1948/1/1,15.9,18.7,13.3
1949/1/1,17.4,20.9,13.9
1950/1/1,19.6,24.1,15.3
1951/1/1,18.2,21.8,14.8
1952/1/1,18.4,21.8,15.1
1953/1/1,20.4,24.4,16.4
1954/1/1,23.4,29.1,17.8
1955/1/1,25.2,31.5,19
1956/1/1,24.5,29.8,19.4
1957/1/1,24.3,29.7,19.1
1958/1/1,25.7,30.7,20.8
1959/1/1,22.7,26.6,18.9
1960/1/1,21.6,25.1,18.2
1961/1/1,19.6,22.3,16.9
1962/1/1,17.6,20.4,14.8
1963/1/1,16.1,18.9,13.4
1964/1/1,15.1,17.5,12.9
1965/1/1,14.7,17.3,12.2
1966/1/1,15.2,17.4,13.1
1967/1/1,14.2,16.2,12.2
1968/1/1,14.5,16.5,12.5
1969/1/1,14.5,16.4,12.7
1970/1/1,15.3,17.3,13.3
1971/1/1,15.6,17.9,13.3
1972/1/1,17,19.7,14.4
1973/1/1,17.4,20.2,14.8
1974/1/1,17.5,20,15
1975/1/1,18,21.5,14.6
1976/1/1,17.6,21.2,14.1
1977/1/1,17.9,22,13.8
1978/1/1,17.6,22,13.4
1979/1/1,18,22.6,13.6
1980/1/1,17.7,22.3,13.1
1981/1/1,17.1,22,12.4
1982/1/1,17.5,22.7,12.5
1983/1/1,21,28.9,13.4
1984/1/1,20.4,27.6,13.3
1985/1/1,19.4,26,13.1
1986/1/1,21.2,27.8,14.9
1987/1/1,19.6,25.6,13.8
1988/1/1,18.7,23.8,13.7
1989/1/1,17.3,21.5,13.1
1990/1/1,16.4,20.4,12.4
1991/1/1,16.1,20.6,11.8
1992/1/1,16.9,22.3,11.7
1993/1/1,16.6,22.3,11.1
1994/1/1,16.9,23.1,10.9
1995/1/1,17.2,23.4,11.3
1996/1/1,17.8,24.3,11.5
1997/1/1,18.8,26,11.9
1998/1/1,25.4,36.5,14.7
1999/1/1,25,36.5,14.1
2000/1/1,24.1,35.2,13.4
2001/1/1,23.3,34.2,12.9
2002/1/1,23.8,35.2,12.8
2003/1/1,25.5,38,13.5
2004/1/1,24,35.6,12.8
2005/1/1,24.2,36.1,12.9
2006/1/1,23.7,34.8,13.2
2007/1/1,24.4,35.8,13.7
2008/1/1,24,35.1,13.5
2009/1/1,24.4,36.2,13.2
2010/1/1,23.4,34.2,13.2
2011/1/1,22.9,32.4,13.9
2012/1/1,21,30.1,12.3
2013/1/1,20.7,29.7,12.3
2014/1/1,19.5,27.6,11.7
2015/1/1,18.5,26.6,10.8
