都道府県,H28,H27
北海道,18.8,21.3
青森,21.6,21.9
岩手,25.4,24.5
宮城,19,19.5
秋田,26,27.2
山形,20.7,21.7
福島,19.9,22.8
茨城,16.6,18.8
栃木,19.4,20.9
群馬,21.2,23.4
埼玉,17.2,17.9
千葉,16.6,18.9
東京,16.3,18.4
神奈川,13.3,15.1
新潟,23.8,25
富山,19.4,22
石川,16.2,20.2
福井,18.9,15.5
山梨,23.1,24.6
長野,18.8,19.8
岐阜,18.2,21.3
静岡,18.5,19.9
愛知,15.7,17.4
三重,16.7,19.8
滋賀,17.9,19.5
京都,15.3,16.2
大阪,14,14.7
兵庫,17.1,18.7
奈良,14.7,17.6
和歌山,24.8,21.3
鳥取,14.4,18.3
島根,19.4,25.2
岡山,16.5,20.3
広島,16,18.4
山口,15.7,20.4
徳島,18.8,17.2
香川,17.5,16.6
愛媛,19.5,20.9
高知,20.1,15.8
福岡,17,18.4
佐賀,17.8,18.8
長崎,17.8,19
熊本,18.9,21
大分,17.7,17.4
宮崎,20.1,24.7
鹿児島,17.9,20.3
沖縄,17.9,19.6
