"Date","Long-RUSSIAN RUBLE","Short-RUSSIAN RUBLE","Net-RUSSIAN RUBLE","Names","Unit"
2014-01-07,8225,5660,2565,"RUSSIAN RUBLE - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF RUB 2,500,000) "
2014-01-14,6636,5234,1402,"RUSSIAN RUBLE - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF RUB 2,500,000) "
2014-01-21,4217,4503,-286,"RUSSIAN RUBLE - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF RUB 2,500,000) "
2014-01-28,3457,4758,-1301,"RUSSIAN RUBLE - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF RUB 2,500,000) "
2014-02-04,2738,4830,-2092,"RUSSIAN RUBLE - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF RUB 2,500,000) "
2014-02-11,5757,7649,-1892,"RUSSIAN RUBLE - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF RUB 2,500,000) "
2014-02-18,4386,9317,-4931,"RUSSIAN RUBLE - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF RUB 2,500,000) "
2014-02-25,4028,8596,-4568,"RUSSIAN RUBLE - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF RUB 2,500,000) "
2014-03-04,5095,8877,-3782,"RUSSIAN RUBLE - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF RUB 2,500,000) "
2014-03-18,3732,7879,-4147,"RUSSIAN RUBLE - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF RUB 2,500,000) "
2014-04-01,3438,5672,-2234,"RUSSIAN RUBLE - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF RUB 2,500,000) "
2014-04-15,4219,6619,-2400,"RUSSIAN RUBLE - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF RUB 2,500,000) "
2014-04-22,4830,7220,-2390,"RUSSIAN RUBLE - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF RUB 2,500,000) "
2014-04-29,5549,8641,-3092,"RUSSIAN RUBLE - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF RUB 2,500,000) "
2014-05-06,5688,9142,-3454,"RUSSIAN RUBLE - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF RUB 2,500,000) "
2014-05-13,5932,8945,-3013,"RUSSIAN RUBLE - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF RUB 2,500,000) "
2014-05-20,6399,8200,-1801,"RUSSIAN RUBLE - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF RUB 2,500,000) "
2014-05-27,6531,7170,-639,"RUSSIAN RUBLE - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF RUB 2,500,000) "
2014-06-03,7409,7285,124,"RUSSIAN RUBLE - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF RUB 2,500,000) "
2014-06-10,7084,7213,-129,"RUSSIAN RUBLE - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF RUB 2,500,000) "
2014-06-17,7487,3661,3826,"RUSSIAN RUBLE - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF RUB 2,500,000) "
2014-06-24,7763,3661,4102,"RUSSIAN RUBLE - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF RUB 2,500,000) "
2014-07-01,7619,3663,3956,"RUSSIAN RUBLE - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF RUB 2,500,000) "
2014-07-08,6215,3663,2552,"RUSSIAN RUBLE - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF RUB 2,500,000) "
