データコード,BP01'BPBP6O3,BP01'BPBP6O3AS,BP01'BPBP6O3CN,BP01'BPBP6O3HK,BP01'BPBP6O3TW,BP01'BPBP6O3KR,BP01'BPBP6O3SG,BP01'BPBP6O3TH,BP01'BPBP6O3ID,BP01'BPBP6O3MY,BP01'BPBP6O3PH,BP01'BPBP6O3VN,BP01'BPBP6O3IN,BP01'BPBP6O3NA,BP01'BPBP6O3US,BP01'BPBP6O3CA,BP01'BPBP6O3CS,BP01'BPBP6O3MX,BP01'BPBP6O3BR,BP01'BPBP6O3CI,BP01'BPBP6O3OC,BP01'BPBP6O3AU,BP01'BPBP6O3NZ,BP01'BPBP6O3EP,BP01'BPBP6O3DE,BP01'BPBP6O3GB,BP01'BPBP6O3FR,BP01'BPBP6O3NL,BP01'BPBP6O3IT,BP01'BPBP6O3BE,BP01'BPBP6O3LX,BP01'BPBP6O3CH,BP01'BPBP6O3SE,BP01'BPBP6O3ES,BP01'BPBP6O3SU,BP01'BPBP6O3ME,BP01'BPBP6O3SA,BP01'BPBP6O3AE,BP01'BPBP6O3IR,BP01'BPBP6O3AF,BP01'BPBP6O3ZA,BP01'BPBP6O3II,BP01'BPBP6O3OE,BP01'BPBP6O3AA,BP01'BPBP6O3EU,BP01'BPBP6O3EE
系列名称,証券投資等残高地域別（負債）/証券投資/債券/合計,証券投資等残高地域別（負債）/証券投資/債券/アジア,証券投資等残高地域別（負債）/証券投資/債券/アジア/中華人民共和国,証券投資等残高地域別（負債）/証券投資/債券/アジア/香港,証券投資等残高地域別（負債）/証券投資/債券/アジア/台湾,証券投資等残高地域別（負債）/証券投資/債券/アジア/大韓民国,証券投資等残高地域別（負債）/証券投資/債券/アジア/シンガポール,証券投資等残高地域別（負債）/証券投資/債券/アジア/タイ,証券投資等残高地域別（負債）/証券投資/債券/アジア/インドネシア,証券投資等残高地域別（負債）/証券投資/債券/アジア/マレーシア,証券投資等残高地域別（負債）/証券投資/債券/アジア/フィリピン,証券投資等残高地域別（負債）/証券投資/債券/アジア/ベトナム,証券投資等残高地域別（負債）/証券投資/債券/アジア/インド,証券投資等残高地域別（負債）/証券投資/債券/北米,証券投資等残高地域別（負債）/証券投資/債券/北米/アメリカ合衆国,証券投資等残高地域別（負債）/証券投資/債券/北米/カナダ,証券投資等残高地域別（負債）/証券投資/債券/中南米,証券投資等残高地域別（負債）/証券投資/債券/中南米/メキシコ,証券投資等残高地域別（負債）/証券投資/債券/中南米/ブラジル,証券投資等残高地域別（負債）/証券投資/債券/中南米/ケイマン諸島,証券投資等残高地域別（負債）/証券投資/債券/大洋州,証券投資等残高地域別（負債）/証券投資/債券/大洋州/オーストラリア,証券投資等残高地域別（負債）/証券投資/債券/大洋州/ニュージーランド,証券投資等残高地域別（負債）/証券投資/債券/欧州,証券投資等残高地域別（負債）/証券投資/債券/欧州/ドイツ,証券投資等残高地域別（負債）/証券投資/債券/欧州/英国,証券投資等残高地域別（負債）/証券投資/債券/欧州/フランス,証券投資等残高地域別（負債）/証券投資/債券/欧州/オランダ,証券投資等残高地域別（負債）/証券投資/債券/欧州/イタリア,証券投資等残高地域別（負債）/証券投資/債券/欧州/ベルギー,証券投資等残高地域別（負債）/証券投資/債券/欧州/ルクセンブルク,証券投資等残高地域別（負債）/証券投資/債券/欧州/スイス,証券投資等残高地域別（負債）/証券投資/債券/欧州/スウェーデン,証券投資等残高地域別（負債）/証券投資/債券/欧州/スペイン,証券投資等残高地域別（負債）/証券投資/債券/欧州/ロシア,証券投資等残高地域別（負債）/証券投資/債券/中東,証券投資等残高地域別（負債）/証券投資/債券/中東/サウジアラビア,証券投資等残高地域別（負債）/証券投資/債券/中東/アラブ首長国連邦,証券投資等残高地域別（負債）/証券投資/債券/中東/イラン,証券投資等残高地域別（負債）/証券投資/債券/アフリカ,証券投資等残高地域別（負債）/証券投資/債券/アフリカ/南アフリカ共和国,証券投資等残高地域別（負債）/証券投資/債券/国際機関,証券投資等残高地域別（負債）/証券投資/債券/ＯＥＣＤ諸国,証券投資等残高地域別（負債）/証券投資/債券/ＡＳＥＡＮ,証券投資等残高地域別（負債）/証券投資/債券/ＥＵ,証券投資等残高地域別（負債）/証券投資/債券/東欧・ロシア等
系列名称（英字）,Regional Portfolio Investment and Financial Derivatives Position (Liabilities)/Portfolio investment/Debt securities/Total,Regional Portfolio Investment and Financial Derivatives Position (Liabilities)/Portfolio investment/Debt securities/Asia,Regional Portfolio Investment and Financial Derivatives Position (Liabilities)/Portfolio investment/Debt securities/Asia/P.R.China,Regional Portfolio Investment and Financial Derivatives Position (Liabilities)/Portfolio investment/Debt securities/Asia/Hong Kong,Regional Portfolio Investment and Financial Derivatives Position (Liabilities)/Portfolio investment/Debt securities/Asia/Taiwan,Regional Portfolio Investment and Financial Derivatives Position (Liabilities)/Portfolio investment/Debt securities/Asia/R.Korea,Regional Portfolio Investment and Financial Derivatives Position (Liabilities)/Portfolio investment/Debt securities/Asia/Singapore,Regional Portfolio Investment and Financial Derivatives Position (Liabilities)/Portfolio investment/Debt securities/Asia/Thailand,Regional Portfolio Investment and Financial Derivatives Position (Liabilities)/Portfolio investment/Debt securities/Asia/Indonesia,Regional Portfolio Investment and Financial Derivatives Position (Liabilities)/Portfolio investment/Debt securities/Asia/Malaysia,Regional Portfolio Investment and Financial Derivatives Position (Liabilities)/Portfolio investment/Debt securities/Asia/Philippines,Regional Portfolio Investment and Financial Derivatives Position (Liabilities)/Portfolio investment/Debt securities/Asia/Viet Nam,Regional Portfolio Investment and Financial Derivatives Position (Liabilities)/Portfolio investment/Debt securities/Asia/India,Regional Portfolio Investment and Financial Derivatives Position (Liabilities)/Portfolio investment/Debt securities/North America,Regional Portfolio Investment and Financial Derivatives Position (Liabilities)/Portfolio investment/Debt securities/North America/U.S.A.,Regional Portfolio Investment and Financial Derivatives Position (Liabilities)/Portfolio investment/Debt securities/North America/Canada,Regional Portfolio Investment and Financial Derivatives Position (Liabilities)/Portfolio investment/Debt securities/Central and South America,Regional Portfolio Investment and Financial Derivatives Position (Liabilities)/Portfolio investment/Debt securities/Central and South America/Mexico,Regional Portfolio Investment and Financial Derivatives Position (Liabilities)/Portfolio investment/Debt securities/Central and South America/Brazil,Regional Portfolio Investment and Financial Derivatives Position (Liabilities)/Portfolio investment/Debt securities/Central and South America/Cayman Isl.,Regional Portfolio Investment and Financial Derivatives Position (Liabilities)/Portfolio investment/Debt securities/Oceania,Regional Portfolio Investment and Financial Derivatives Position (Liabilities)/Portfolio investment/Debt securities/Oceania/Australia,Regional Portfolio Investment and Financial Derivatives Position (Liabilities)/Portfolio investment/Debt securities/Oceania/New Zealand,Regional Portfolio Investment and Financial Derivatives Position (Liabilities)/Portfolio investment/Debt securities/Europe,Regional Portfolio Investment and Financial Derivatives Position (Liabilities)/Portfolio investment/Debt securities/Europe/Germany,Regional Portfolio Investment and Financial Derivatives Position (Liabilities)/Portfolio investment/Debt securities/Europe/U.K.,Regional Portfolio Investment and Financial Derivatives Position (Liabilities)/Portfolio investment/Debt securities/Europe/France,Regional Portfolio Investment and Financial Derivatives Position (Liabilities)/Portfolio investment/Debt securities/Europe/Netherlands,Regional Portfolio Investment and Financial Derivatives Position (Liabilities)/Portfolio investment/Debt securities/Europe/Italy,Regional Portfolio Investment and Financial Derivatives Position (Liabilities)/Portfolio investment/Debt securities/Europe/Belgium,Regional Portfolio Investment and Financial Derivatives Position (Liabilities)/Portfolio investment/Debt securities/Europe/Luxembourg,Regional Portfolio Investment and Financial Derivatives Position (Liabilities)/Portfolio investment/Debt securities/Europe/Switzerland,Regional Portfolio Investment and Financial Derivatives Position (Liabilities)/Portfolio investment/Debt securities/Europe/Sweden,Regional Portfolio Investment and Financial Derivatives Position (Liabilities)/Portfolio investment/Debt securities/Europe/Spain,Regional Portfolio Investment and Financial Derivatives Position (Liabilities)/Portfolio investment/Debt securities/Europe/Russia,Regional Portfolio Investment and Financial Derivatives Position (Liabilities)/Portfolio investment/Debt securities/Middle East,Regional Portfolio Investment and Financial Derivatives Position (Liabilities)/Portfolio investment/Debt securities/Middle East/Saudi Arabia,Regional Portfolio Investment and Financial Derivatives Position (Liabilities)/Portfolio investment/Debt securities/Middle East/U.A.E.,Regional Portfolio Investment and Financial Derivatives Position (Liabilities)/Portfolio investment/Debt securities/Middle East/Iran,Regional Portfolio Investment and Financial Derivatives Position (Liabilities)/Portfolio investment/Debt securities/Africa,Regional Portfolio Investment and Financial Derivatives Position (Liabilities)/Portfolio investment/Debt securities/Africa/R.South Africa,Regional Portfolio Investment and Financial Derivatives Position (Liabilities)/Portfolio investment/Debt securities/International Organization,Regional Portfolio Investment and Financial Derivatives Position (Liabilities)/Portfolio investment/Debt securities/OECD Countries,Regional Portfolio Investment and Financial Derivatives Position (Liabilities)/Portfolio investment/Debt securities/ASEAN,Regional Portfolio Investment and Financial Derivatives Position (Liabilities)/Portfolio investment/Debt securities/EU,"Regional Portfolio Investment and Financial Derivatives Position (Liabilities)/Portfolio investment/Debt securities/Eastern Europe, Russia, etc."
単位,億円,億円,億円,億円,億円,億円,億円,億円,億円,億円,億円,億円,億円,億円,億円,億円,億円,億円,億円,億円,億円,億円,億円,億円,億円,億円,億円,億円,億円,億円,億円,億円,億円,億円,億円,億円,億円,億円,億円,億円,億円,億円,億円,億円,億円,億円
単位（英字）,100 million Yen,100 million Yen,100 million Yen,100 million Yen,100 million Yen,100 million Yen,100 million Yen,100 million Yen,100 million Yen,100 million Yen,100 million Yen,100 million Yen,100 million Yen,100 million Yen,100 million Yen,100 million Yen,100 million Yen,100 million Yen,100 million Yen,100 million Yen,100 million Yen,100 million Yen,100 million Yen,100 million Yen,100 million Yen,100 million Yen,100 million Yen,100 million Yen,100 million Yen,100 million Yen,100 million Yen,100 million Yen,100 million Yen,100 million Yen,100 million Yen,100 million Yen,100 million Yen,100 million Yen,100 million Yen,100 million Yen,100 million Yen,100 million Yen,100 million Yen,100 million Yen,100 million Yen,100 million Yen
統計種別・カテゴリ,本邦対外資産負債残高（年次）（6版基準）,本邦対外資産負債残高（年次）（6版基準）,本邦対外資産負債残高（年次）（6版基準）,本邦対外資産負債残高（年次）（6版基準）,本邦対外資産負債残高（年次）（6版基準）,本邦対外資産負債残高（年次）（6版基準）,本邦対外資産負債残高（年次）（6版基準）,本邦対外資産負債残高（年次）（6版基準）,本邦対外資産負債残高（年次）（6版基準）,本邦対外資産負債残高（年次）（6版基準）,本邦対外資産負債残高（年次）（6版基準）,本邦対外資産負債残高（年次）（6版基準）,本邦対外資産負債残高（年次）（6版基準）,本邦対外資産負債残高（年次）（6版基準）,本邦対外資産負債残高（年次）（6版基準）,本邦対外資産負債残高（年次）（6版基準）,本邦対外資産負債残高（年次）（6版基準）,本邦対外資産負債残高（年次）（6版基準）,本邦対外資産負債残高（年次）（6版基準）,本邦対外資産負債残高（年次）（6版基準）,本邦対外資産負債残高（年次）（6版基準）,本邦対外資産負債残高（年次）（6版基準）,本邦対外資産負債残高（年次）（6版基準）,本邦対外資産負債残高（年次）（6版基準）,本邦対外資産負債残高（年次）（6版基準）,本邦対外資産負債残高（年次）（6版基準）,本邦対外資産負債残高（年次）（6版基準）,本邦対外資産負債残高（年次）（6版基準）,本邦対外資産負債残高（年次）（6版基準）,本邦対外資産負債残高（年次）（6版基準）,本邦対外資産負債残高（年次）（6版基準）,本邦対外資産負債残高（年次）（6版基準）,本邦対外資産負債残高（年次）（6版基準）,本邦対外資産負債残高（年次）（6版基準）,本邦対外資産負債残高（年次）（6版基準）,本邦対外資産負債残高（年次）（6版基準）,本邦対外資産負債残高（年次）（6版基準）,本邦対外資産負債残高（年次）（6版基準）,本邦対外資産負債残高（年次）（6版基準）,本邦対外資産負債残高（年次）（6版基準）,本邦対外資産負債残高（年次）（6版基準）,本邦対外資産負債残高（年次）（6版基準）,本邦対外資産負債残高（年次）（6版基準）,本邦対外資産負債残高（年次）（6版基準）,本邦対外資産負債残高（年次）（6版基準）,本邦対外資産負債残高（年次）（6版基準）
統計種別・カテゴリ(英字),International Investment Position (Calendar Year Data) (Data Based on the BPM6),International Investment Position (Calendar Year Data) (Data Based on the BPM6),International Investment Position (Calendar Year Data) (Data Based on the BPM6),International Investment Position (Calendar Year Data) (Data Based on the BPM6),International Investment Position (Calendar Year Data) (Data Based on the BPM6),International Investment Position (Calendar Year Data) (Data Based on the BPM6),International Investment Position (Calendar Year Data) (Data Based on the BPM6),International Investment Position (Calendar Year Data) (Data Based on the BPM6),International Investment Position (Calendar Year Data) (Data Based on the BPM6),International Investment Position (Calendar Year Data) (Data Based on the BPM6),International Investment Position (Calendar Year Data) (Data Based on the BPM6),International Investment Position (Calendar Year Data) (Data Based on the BPM6),International Investment Position (Calendar Year Data) (Data Based on the BPM6),International Investment Position (Calendar Year Data) (Data Based on the BPM6),International Investment Position (Calendar Year Data) (Data Based on the BPM6),International Investment Position (Calendar Year Data) (Data Based on the BPM6),International Investment Position (Calendar Year Data) (Data Based on the BPM6),International Investment Position (Calendar Year Data) (Data Based on the BPM6),International Investment Position (Calendar Year Data) (Data Based on the BPM6),International Investment Position (Calendar Year Data) (Data Based on the BPM6),International Investment Position (Calendar Year Data) (Data Based on the BPM6),International Investment Position (Calendar Year Data) (Data Based on the BPM6),International Investment Position (Calendar Year Data) (Data Based on the BPM6),International Investment Position (Calendar Year Data) (Data Based on the BPM6),International Investment Position (Calendar Year Data) (Data Based on the BPM6),International Investment Position (Calendar Year Data) (Data Based on the BPM6),International Investment Position (Calendar Year Data) (Data Based on the BPM6),International Investment Position (Calendar Year Data) (Data Based on the BPM6),International Investment Position (Calendar Year Data) (Data Based on the BPM6),International Investment Position (Calendar Year Data) (Data Based on the BPM6),International Investment Position (Calendar Year Data) (Data Based on the BPM6),International Investment Position (Calendar Year Data) (Data Based on the BPM6),International Investment Position (Calendar Year Data) (Data Based on the BPM6),International Investment Position (Calendar Year Data) (Data Based on the BPM6),International Investment Position (Calendar Year Data) (Data Based on the BPM6),International Investment Position (Calendar Year Data) (Data Based on the BPM6),International Investment Position (Calendar Year Data) (Data Based on the BPM6),International Investment Position (Calendar Year Data) (Data Based on the BPM6),International Investment Position (Calendar Year Data) (Data Based on the BPM6),International Investment Position (Calendar Year Data) (Data Based on the BPM6),International Investment Position (Calendar Year Data) (Data Based on the BPM6),International Investment Position (Calendar Year Data) (Data Based on the BPM6),International Investment Position (Calendar Year Data) (Data Based on the BPM6),International Investment Position (Calendar Year Data) (Data Based on the BPM6),International Investment Position (Calendar Year Data) (Data Based on the BPM6),International Investment Position (Calendar Year Data) (Data Based on the BPM6)
変換方法,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END
収録開始期,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014
収録終了期,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016
期種,暦年,暦年,暦年,暦年,暦年,暦年,暦年,暦年,暦年,暦年,暦年,暦年,暦年,暦年,暦年,暦年,暦年,暦年,暦年,暦年,暦年,暦年,暦年,暦年,暦年,暦年,暦年,暦年,暦年,暦年,暦年,暦年,暦年,暦年,暦年,暦年,暦年,暦年,暦年,暦年,暦年,暦年,暦年,暦年,暦年,暦年
