"Date","Long-SWISS FRANC","Short-SWISS FRANC","Net-SWISS FRANC","Names","Unit"
2014-01-07,18813,14086,4727,"SWISS FRANC - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF CHF 125,000) "
2014-01-14,12601,15542,-2941,"SWISS FRANC - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF CHF 125,000) "
2014-01-21,11645,13566,-1921,"SWISS FRANC - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF CHF 125,000) "
2014-01-28,11389,11830,-441,"SWISS FRANC - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF CHF 125,000) "
2014-02-04,13236,11016,2220,"SWISS FRANC - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF CHF 125,000) "
2014-02-11,12166,11611,555,"SWISS FRANC - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF CHF 125,000) "
2014-02-18,14188,17016,-2828,"SWISS FRANC - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF CHF 125,000) "
2014-02-25,19396,19038,358,"SWISS FRANC - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF CHF 125,000) "
2014-03-04,21818,19650,2168,"SWISS FRANC - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF CHF 125,000) "
2014-03-11,23097,14140,8957,"SWISS FRANC - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF CHF 125,000) "
2014-03-18,25311,10195,15116,"SWISS FRANC - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF CHF 125,000) "
2014-03-25,25037,10218,14819,"SWISS FRANC - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF CHF 125,000) "
2014-04-01,24800,10569,14231,"SWISS FRANC - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF CHF 125,000) "
2014-04-08,19275,7940,11335,"SWISS FRANC - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF CHF 125,000) "
2014-04-15,23905,9839,14066,"SWISS FRANC - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF CHF 125,000) "
2014-04-22,21732,7709,14023,"SWISS FRANC - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF CHF 125,000) "
2014-04-29,21960,8257,13703,"SWISS FRANC - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF CHF 125,000) "
2014-05-06,25102,11918,13184,"SWISS FRANC - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF CHF 125,000) "
2014-05-13,16951,10145,6806,"SWISS FRANC - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF CHF 125,000) "
2014-05-20,17387,12368,5019,"SWISS FRANC - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF CHF 125,000) "
2014-05-27,11559,15431,-3872,"SWISS FRANC - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF CHF 125,000) "
2014-06-03,11907,13919,-2012,"SWISS FRANC - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF CHF 125,000) "
