"Date","対個人サービス業(調査9業種)総合","対個人サービス業(調査9業種)総合:趣味・娯楽関連(調査5業種)","対個人サービス業(調査9業種)総合:趣味・娯楽関連(調査5業種)ゴルフ場","対個人サービス業(調査9業種)総合:趣味・娯楽関連(調査5業種)ゴルフ練習場","対個人サービス業(調査9業種)総合:趣味・娯楽関連(調査5業種)ボウリング場","対個人サービス業(調査9業種)総合:趣味・娯楽関連(調査5業種)遊園地・テーマパーク","対個人サービス業(調査9業種)総合:趣味・娯楽関連(調査5業種)パチンコホール","対個人サービス業(調査9業種)総合:教養・生活関連(調査4業種)","対個人サービス業(調査9業種)総合:教養・生活関連(調査4業種)葬儀業","対個人サービス業(調査9業種)総合:教養・生活関連(調査4業種)外国語会話教室","対個人サービス業(調査9業種)総合:教養・生活関連(調査4業種)フィットネスクラブ","対個人サービス業(調査9業種)総合:教養・生活関連(調査4業種)学習塾"
2009-01-01,108.1,100.7,58.3,96,138.1,62.3,116.3,114.9,112.4,130.1,97,115.5
2009-02-01,90.4,91.3,52.5,90.4,103.1,67.5,104.5,89.6,97.6,109,97.2,81.8
2009-03-01,101.3,106.1,79.8,102.2,123.9,120.1,111.5,96.9,103.3,109.4,99.5,91.6
2009-04-01,98.4,106.2,106.4,114.5,99.2,80.4,108.8,91.3,96.3,103.3,96.6,86.3
2009-05-01,98.9,116.2,136.3,128,109.6,88.1,113.4,83.1,98.9,92.6,96.5,73.2
2009-06-01,97.1,106.2,124,112.6,95.4,67.5,105.7,88.7,88.5,107.7,100.3,83.7
2009-07-01,105.6,108.9,116.5,106.9,97.9,82.6,110.4,102.6,89.9,105.1,100.4,107.4
2009-08-01,115.6,112.2,112.6,108.4,106.3,139.6,109.2,118.8,94.8,105.9,98.1,133.6
2009-09-01,100.1,106.2,128.2,115.9,90.7,111.3,99.2,94.6,90,98.9,99.2,94.9
2009-10-01,99.7,107.7,128.6,121.9,87.6,105.7,101.7,92.4,95.7,104.5,99.4,87.8
2009-11-01,98,99.7,112.9,113,89.2,96.8,95.7,96.5,101.2,113,99.5,91.2
2009-12-01,113.9,100.9,86.9,92.4,105.2,115.4,103.5,125.8,104.7,104.7,98.2,141.9
2010-01-01,105.7,96.7,61.6,96.2,127.4,61.7,109.7,113.9,111,120.8,97.4,116
2010-02-01,86.7,83.8,48.9,83.7,100.8,66.2,95,89.3,98.7,100.2,96.3,82.6
2010-03-01,96.7,98.7,73.1,97.8,120.2,119,102.9,94.8,105.5,105,101,87.9
2010-04-01,95.4,100.5,101.2,108.8,96.4,82.7,101.9,90.8,99.6,95,98.4,85.5
2010-05-01,96.8,110.6,133.8,123.3,105.4,105.3,104.2,84.2,97,88.6,99.7,76.2
2010-06-01,93.1,99.2,120.2,102.9,92.6,82.7,95.3,87.5,91.9,96.4,101.8,82.2
2010-07-01,105.1,104.3,117.7,95.5,94.5,87.6,103.5,105.9,95.4,98.9,102.3,111.8
2010-08-01,113.7,107.5,102.9,91.7,97.8,147,105.4,119.3,96.5,99.6,100.6,134.6
2010-09-01,98.5,100.6,116,97.8,88.4,97.3,97.2,96.6,92.6,94.5,101.9,97.8
2010-10-01,98.1,104.6,125.6,112.9,86.6,113.2,97.6,92.1,94.9,98.8,100.7,88.6
2010-11-01,97.1,95.7,113.2,104.3,85.8,111.8,88.6,98.4,105.8,103.4,100.6,94.2
2010-12-01,113.2,97.8,85.8,85.2,104.1,125.5,98.6,127.2,111.2,98.7,99.2,142.7
2011-01-01,103.6,91.3,56.4,83.6,114.1,67.7,103.6,114.8,116.4,107.1,98.4,117.9
2011-02-01,88.1,82.4,46.9,77.3,90.3,72.2,93.4,93.4,103.3,105.4,98,86.6
2011-03-01,86.7,78.1,62,75.8,109.9,59.6,84.1,94.6,107.6,85.7,96.5,90.8
2011-04-01,90.1,87.7,87.3,94.4,92.5,41.6,92.7,92.3,104.6,96.7,95.8,86.2
2011-05-01,93.2,100.9,114.6,109.4,103.7,76.1,99.4,86.1,102.7,90.6,96.8,77.3
2011-06-01,91.7,94.8,111.7,98.4,83.8,72.2,92.8,88.9,98.5,101.2,100,81.3
2011-07-01,104.3,102,120.2,96,86.8,89,99.4,106.5,98.2,106.1,100.7,110.7
2011-08-01,115.6,106.1,103.1,91.5,99.8,158.6,101.9,124.2,99.8,103.2,99.4,141.2
