Date,贈与税課税状況:本年分:取得財産価格:金額(百万円),贈与税課税状況:本年分:納付税額:金額(百万円)
1953/1/1,16756,2278
1954/1/1,22735,2439
1955/1/1,25644,2621
1956/1/1,30784,3187
1957/1/1,32741,3358
1958/1/1,26016,2160
1959/1/1,31121,2863
1960/1/1,38558,5054
1961/1/1,41805,5123
1962/1/1,44428,7198
1963/1/1,49198,7216
1964/1/1,42369,5380
1965/1/1,57256,7624
1966/1/1,73503,7677
1967/1/1,91330,10140
1968/1/1,113657,13858
1969/1/1,141557,18804
1970/1/1,163295,23641
1971/1/1,208304,32413
1972/1/1,266673,47528
1973/1/1,276500,55827
1974/1/1,184864,31773
1975/1/1,240790,30705
1976/1/1,315526,32456
1977/1/1,376495,36031
1978/1/1,419433,40628
1979/1/1,479535,50379
1980/1/1,553990,59091
1981/1/1,651817,72254
1982/1/1,642496,68630
1983/1/1,664857,70344
1984/1/1,811075,77561
1985/1/1,868532,78773
1986/1/1,960600,106541
1987/1/1,1418543,180875
1988/1/1,1109786,128514
1989/1/1,2142054,292620
1990/1/1,2568416,343013
1991/1/1,2059311,239204
1992/1/1,1647113,161881
1993/1/1,1748448,159768
1994/1/1,1526558,131233
1995/1/1,1457034,124143
1996/1/1,1458634,133454
1997/1/1,1412911,129939
1998/1/1,1300966,116582
1999/1/1,1294240,114277
2000/1/1,1197366,95456
2001/1/1,1345709,81083
2002/1/1,1268514,69178
2003/1/1,2308082,87725
2004/1/1,2310064,96551
2005/1/1,2375984,115857
2006/1/1,2028827,118313
2007/1/1,2053834,107362
2008/1/1,1758082,103949
2009/1/1,1629939,101762
2010/1/1,1529126,129201
2011/1/1,1624845,136223
2012/1/1,1579791,128789
2013/1/1,1859171,168991
2014/1/1,2160357,278436
2015/1/1,2147610,215573
