time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-05-22T11:00:57.130Z,43.8569,147.7403,48.86,5.4,mww,,60,3.724,0.82,us,us10008u48,2017-05-22T18:00:54.040Z,"82km E of Shikotan, Russia",earthquake,7.3,5.9,,,reviewed,us,us
2017-05-15T23:12:54.110Z,23.2632,121.4513,20.38,5.3,mww,,34,0.191,0.94,us,us10008sm6,2017-05-19T03:24:18.239Z,"63km NNE of Taitung, Taiwan",earthquake,5.4,3.4,0.059,28,reviewed,us,us
2017-05-15T07:05:36.060Z,27.2168,130.153,10,5.5,mww,,40,1.69,1.14,us,us10008si3,2017-05-16T23:03:23.040Z,"143km SSE of Naze, Japan",earthquake,5.7,1.8,,,reviewed,us,us
2017-05-09T19:15:49.680Z,25.7373,125.1348,115.04,5.1,mww,,27,2.303,1.05,us,us10008qyg,2017-05-10T17:30:43.346Z,"104km N of Hirara, Japan",earthquake,5.9,3,0.075,17,reviewed,us,us
2017-05-09T01:54:14.490Z,24.4289,126.3222,10,6,mww,,42,2.973,0.7,us,us10008qnw,2017-05-11T22:38:48.709Z,"112km ESE of Hirara, Japan",earthquake,7.1,1.8,0.039,62,reviewed,us,us
2017-04-30T14:42:35.380Z,42.3072,142.9956,57.99,5.3,mww,,72,0.315,0.6,us,us10008m7z,2017-05-14T15:01:29.234Z,"51km E of Shizunai, Japan",earthquake,7.4,4.5,0.056,31,reviewed,us,us
2017-04-30T01:57:22.130Z,21.2956,121.804,104.73,5.2,mww,,52,1.657,0.89,us,us10008m4p,2017-05-14T04:11:05.037Z,"56km N of Itbayat, Philippines",earthquake,7.9,4.2,0.078,16,reviewed,us,us
2017-04-29T20:22:57.480Z,30.7744,131.4095,10.02,5.1,mb,,73,1.099,0.66,us,us10008m2m,2017-05-12T02:50:30.040Z,"39km E of Nishinoomote, Japan",earthquake,3.9,4.3,0.044,169,reviewed,us,us
2017-04-29T12:32:33.560Z,30.8067,131.4199,27,5.7,mww,,28,1.085,0.81,us,us10008m0g,2017-05-06T12:39:57.580Z,"41km ENE of Nishinoomote, Japan",earthquake,5.5,1.7,0.036,75,reviewed,us,us
2017-04-23T06:37:08.520Z,46.1977,142.1588,10,5.1,mb,,89,0.867,0.71,us,us10008jyr,2017-04-23T23:21:01.800Z,"34km SE of Shebunino, Russia",earthquake,4.8,1.6,0.028,416,reviewed,us,us
2017-04-20T15:20:43.170Z,49.272,156.0701,38.63,5.1,mb,,82,3.975,0.74,us,us10008j9d,2017-05-10T21:59:24.040Z,"156km S of Severo-Kuril'sk, Russia",earthquake,9.1,5.8,0.031,344,reviewed,us,us
2017-04-20T11:41:26.350Z,44.4281,148.7312,60.83,5.5,mb,,116,4.419,0.81,us,us10008j80,2017-04-26T22:13:18.040Z,"111km SE of Kuril'sk, Russia",earthquake,8,5.4,0.022,739,reviewed,us,us
2017-04-19T17:15:34.560Z,37.3094,141.8,38.46,5,mb,,123,0.977,0.65,us,us10008j1y,2017-05-11T20:04:55.040Z,"73km ESE of Namie, Japan",earthquake,7.3,6.7,0.032,318,reviewed,us,us
2017-04-01T08:13:36.110Z,45.4502,150.828,55.08,5.1,mb,,87,5.799,0.84,us,us10008dry,2017-04-19T06:27:55.040Z,"232km E of Kuril'sk, Russia",earthquake,8.5,6.3,0.043,179,reviewed,us,us
2017-03-27T22:31:21.050Z,42.0424,138.5495,5.19,5.1,mww,,34,2.268,0.79,us,us20008v4y,2017-05-07T21:11:58.868Z,"176km W of Kamiiso, Japan",earthquake,6.3,3.1,0.06,27,reviewed,us,us
2017-03-24T16:43:27.060Z,26.8934,127.2226,77.39,5.1,mww,,33,0.939,1.01,us,us20008uci,2017-04-09T16:22:39.519Z,"79km NW of Ishikawa, Japan",earthquake,6.9,4.3,0.065,23,reviewed,us,us
2017-03-11T19:57:48.100Z,37.529,141.5136,43.92,5.3,mww,,37,0.667,0.72,us,us100088fi,2017-03-24T21:56:19.351Z,"45km E of Namie, Japan",earthquake,5.8,4,0.059,28,reviewed,us,us
2017-03-11T18:48:41.030Z,30.9973,130.3866,138.29,5.3,mww,,28,0.513,0.93,us,us100088fc,2017-03-22T19:33:26.144Z,"30km SSE of Makurazaki, Japan",earthquake,5.8,3.5,0.055,32,reviewed,us,us
2017-03-10T15:53:52.900Z,29.6888,140.9677,109.67,5,mb,,101,2.797,1.2,us,us1000887f,2017-04-01T20:52:48.040Z,"Izu Islands, Japan region",earthquake,8.6,5.8,0.061,86,reviewed,us,us
2017-03-07T16:08:19.040Z,41.5149,141.9022,56,5.7,mww,,108,0.961,0.56,us,us100087h5,2017-03-26T15:01:28.268Z,"62km ENE of Mutsu, Japan",earthquake,6.8,1.9,,,reviewed,us,us
2017-03-03T08:27:34.530Z,43.1132,145.6678,66.27,5.1,mww,,121,2.155,1.34,us,us100086pe,2017-05-24T02:48:14.040Z,"24km SSE of Nemuro, Japan",earthquake,7.6,5.6,0.117,7,reviewed,us,us
2017-03-02T14:53:42.590Z,32.6336,132.1018,44.42,5.3,mww,,61,1.141,1.19,us,us100086hr,2017-05-24T02:48:13.040Z,"39km SSE of Saiki, Japan",earthquake,2.1,4.9,0.066,22,reviewed,us,us
2017-03-01T06:43:05.520Z,37.5691,141.411,53.9,5,mb,,99,0.576,1.01,us,us100085wr,2017-05-24T02:48:12.040Z,"37km ENE of Namie, Japan",earthquake,7.2,5.8,0.04,195,reviewed,us,us
2017-03-01T06:08:53.620Z,21.6397,143.1862,293.73,5.1,mb,,40,5.508,0.84,us,us100085wp,2017-05-24T02:48:12.040Z,"215km NW of Farallon de Pajaros, Northern Mariana Islands",earthquake,8.5,5.5,0.029,383,reviewed,us,us
2017-02-28T07:49:02.860Z,37.5666,141.3347,47,5.7,mww,,52,0.527,1.03,us,us20008mw4,2017-05-24T02:48:10.040Z,"30km ENE of Namie, Japan",earthquake,6.8,1.8,0.049,40,reviewed,us,us
2017-02-26T23:17:08.070Z,26.9085,144.0535,14.59,5.2,mb,,23,1.677,0.72,us,us20008mka,2017-05-24T02:48:09.040Z,"183km E of Chichi-shima, Japan",earthquake,7,2.4,0.03,362,reviewed,us,us
