"Date","完全失業率(%):前年比(%ポイント)"
1954-01-01,0.4
1955-01-01,0.2
1956-01-01,-0.2
1957-01-01,-0.4
1958-01-01,0.2
1959-01-01,0.1
1960-01-01,-0.5
1961-01-01,-0.3
1962-01-01,-0.1
1963-01-01,0
1964-01-01,-0.2
1965-01-01,0.1
1966-01-01,0.1
1967-01-01,0
1968-01-01,-0.1
1969-01-01,-0.1
1970-01-01,0
1971-01-01,0.1
1972-01-01,0.2
1973-01-01,-0.2
1973-01-01,0.1
1974-01-01,0.1
1975-01-01,0.5
1976-01-01,0.1
1977-01-01,0
1978-01-01,0.2
1979-01-01,-0.1
1980-01-01,-0.1
1981-01-01,0.2
1982-01-01,0.2
1983-01-01,0.2
1984-01-01,0.1
1985-01-01,-0.1
1986-01-01,0.2
1987-01-01,0
1988-01-01,-0.3
1989-01-01,-0.2
1990-01-01,-0.2
1991-01-01,0
1992-01-01,0.1
1993-01-01,0.3
1994-01-01,0.4
1995-01-01,0.3
1996-01-01,0.2
1997-01-01,0
1998-01-01,0.7
1999-01-01,0.6
2000-01-01,0
2001-01-01,0.3
2002-01-01,0.4
2003-01-01,-0.1
2004-01-01,-0.6
2005-01-01,-0.3
2006-01-01,-0.3
2007-01-01,-0.2
2008-01-01,0.1
2009-01-01,1.1
2010-01-01,0
2011-01-01,-0.5
2012-01-01,-0.3
2013-01-01,-0.3
2014-01-01,-0.4
2015-01-01,-0.2
2016-01-01,-0.3
