"Date","Emerging markets (aggregate) - Non financial sector - All sectors - Market value - Percentage of GDP - Adjusted for breaks:Per Cent (Units)","All reporting countries (aggregate) - Non financial sector - All sectors - Market value - Percentage of GDP - Adjusted for breaks:Per Cent (Units)","Advanced economies (aggregate) - Non financial sector - All sectors - Market value - Percentage of GDP - Adjusted for breaks:Per Cent (Units)","Argentina - Non financial sector - All sectors - Market value - Percentage of GDP - Adjusted for breaks:Per Cent (Units)","Austria - Non financial sector - All sectors - Market value - Percentage of GDP - Adjusted for breaks:Per Cent (Units)","Australia - Non financial sector - All sectors - Market value - Percentage of GDP - Adjusted for breaks:Per Cent (Units)","Belgium - Non financial sector - All sectors - Market value - Percentage of GDP - Adjusted for breaks:Per Cent (Units)","Brazil - Non financial sector - All sectors - Market value - Percentage of GDP - Adjusted for breaks:Per Cent (Units)","Canada - Non financial sector - All sectors - Market value - Percentage of GDP - Adjusted for breaks:Per Cent (Units)","Chile - Non financial sector - All sectors - Market value - Percentage of GDP - Adjusted for breaks:Per Cent (Units)","China - Non financial sector - All sectors - Market value - Percentage of GDP - Adjusted for breaks:Per Cent (Units)","Colombia - Non financial sector - All sectors - Market value - Percentage of GDP - Adjusted for breaks:Per Cent (Units)","Czech Republic - Non financial sector - All sectors - Market value - Percentage of GDP - Adjusted for breaks:Per Cent (Units)","Germany - Non financial sector - All sectors - Market value - Percentage of GDP - Adjusted for breaks:Per Cent (Units)","Denmark - Non financial sector - All sectors - Market value - Percentage of GDP - Adjusted for breaks:Per Cent (Units)","Spain - Non financial sector - All sectors - Market value - Percentage of GDP - Adjusted for breaks:Per Cent (Units)","Finland - Non financial sector - All sectors - Market value - Percentage of GDP - Adjusted for breaks:Per Cent (Units)","France - Non financial sector - All sectors - Market value - Percentage of GDP - Adjusted for breaks:Per Cent (Units)","G20 (aggregate) - Non financial sector - All sectors - Market value - Percentage of GDP - Adjusted for breaks:Per Cent (Units)","Greece - Non financial sector - All sectors - Market value - Percentage of GDP - Adjusted for breaks:Per Cent (Units)","Hong Kong SAR - Non financial sector - All sectors - Market value - Percentage of GDP - Adjusted for breaks:Per Cent (Units)","Hungary - Non financial sector - All sectors - Market value - Percentage of GDP - Adjusted for breaks:Per Cent (Units)","Indonesia - Non financial sector - All sectors - Market value - Percentage of GDP - Adjusted for breaks:Per Cent (Units)","Ireland - Non financial sector - All sectors - Market value - Percentage of GDP - Adjusted for breaks:Per Cent (Units)","Israel - Non financial sector - All sectors - Market value - Percentage of GDP - Adjusted for breaks:Per Cent (Units)","India - Non financial sector - All sectors - Market value - Percentage of GDP - Adjusted for breaks:Per Cent (Units)","Italy - Non financial sector - All sectors - Market value - Percentage of GDP - Adjusted for breaks:Per Cent (Units)","Japan - Non financial sector - All sectors - Market value - Percentage of GDP - Adjusted for breaks:Per Cent (Units)","Korea - Non financial sector - All sectors - Market value - Percentage of GDP - Adjusted for breaks:Per Cent (Units)","Luxembourg - Non financial sector - All sectors - Market value - Percentage of GDP - Adjusted for breaks:Per Cent (Units)","Mexico - Non financial sector - All sectors - Market value - Percentage of GDP - Adjusted for breaks:Per Cent (Units)","Malaysia - Non financial sector - All sectors - Market value - Percentage of GDP - Adjusted for breaks:Per Cent (Units)","Netherlands - Non financial sector - All sectors - Market value - Percentage of GDP - Adjusted for breaks:Per Cent (Units)","Norway - Non financial sector - All sectors - Market value - Percentage of GDP - Adjusted for breaks:Per Cent (Units)","New Zealand - Non financial sector - All sectors - Market value - Percentage of GDP - Adjusted for breaks:Per Cent (Units)","Poland - Non financial sector - All sectors - Market value - Percentage of GDP - Adjusted for breaks:Per Cent (Units)","Portugal - Non financial sector - All sectors - Market value - Percentage of GDP - Adjusted for breaks:Per Cent (Units)","Russia - Non financial sector - All sectors - Market value - Percentage of GDP - Adjusted for breaks:Per Cent (Units)","Saudi Arabia - Non financial sector - All sectors - Market value - Percentage of GDP - Adjusted for breaks:Per Cent (Units)","Singapore - Non financial sector - All sectors - Market value - Percentage of GDP - Adjusted for breaks:Per Cent (Units)","Euro area - Non financial sector - All sectors - Market value - Percentage of GDP - Adjusted for breaks:Per Cent (Units)","South Africa - Non financial sector - All sectors - Market value - Percentage of GDP - Adjusted for breaks:Per Cent (Units)","Switzerland - Non financial sector - All sectors - Market value - Percentage of GDP - Adjusted for breaks:Per Cent (Units)","United Kingdom - Non financial sector - All sectors - Market value - Percentage of GDP - Adjusted for breaks:Per Cent (Units)","Sweden - Non financial sector - All sectors - Market value - Percentage of GDP - Adjusted for breaks:Per Cent (Units)","Thailand - Non financial sector - All sectors - Market value - Percentage of GDP - Adjusted for breaks:Per Cent (Units)","Turkey - Non financial sector - All sectors - Market value - Percentage of GDP - Adjusted for breaks:Per Cent (Units)","United States - Non financial sector - All sectors - Market value - Percentage of GDP - Adjusted for breaks:Per Cent (Units)"
1940-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1945-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1945-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1945-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1945-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1946-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1946-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1946-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1946-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1951-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
