"Date","全産業活動指数(100):原数値","建設業活動指数(5.77):原数値","民間・建築・土木活動指数(3.54):原数値","民間・建築活動指数(2.86):原数値","民間・建築住宅活動(1.89):原数値","民間・建築非住宅活動(0.97):原数値","民間・土木活動(0.68):原数値","公共・建築・土木活動指数(2.23):原数値","公共・建築活動(0.33):原数値","公共・土木活動(1.9):原数値","鉱工業生産指数(20.78):原数値","第3次産業活動指数(73.45):原数値","鉱工業及び第3次産業の統合指数(94.23):原数値","建設・民間企業設備(非住宅+土木)(1.65):原数値","建設・民間住宅(再掲)(1.89):原数値","建設・公共(再掲)(2.23):原数値","<参考系列>全産業活動指数(直接調整法)(100):原数値"
2008-01-01,101.4,102.6,101.6,100.6,102.7,96.4,106,104.1,78.3,108.6,108.5,99.3,101.3,100.4,102.7,104.1,101.4
2008-02-01,104.3,109.6,110.8,109.5,110.4,107.6,116.7,107.6,86,111.3,117,100.3,104,111.4,110.4,107.6,104.3
2008-03-01,118.4,120.7,121.8,115.2,114.9,115.7,149.7,119,83.9,125.1,125.3,116.3,118.3,129.7,114.9,119,118.4
2008-04-01,104.5,101.5,110.6,109.4,109,110.3,115.6,87,74.6,89.1,111,102.9,104.7,112.5,109,87,104.5
2008-05-01,102.7,89.4,107.1,108.2,107.8,108.9,102.4,61.3,68.3,60.1,108.7,102.1,103.6,106.2,107.8,61.3,102.7
2008-06-01,105.5,92.8,110.3,111.3,111.9,110,106.1,65.2,71.2,64.1,115.9,103.6,106.3,108.4,111.9,65.2,105.5
2008-07-01,107,97.4,114.6,117.1,117.3,116.7,104.2,70.1,75,69.3,117.9,104.7,107.6,111.5,117.3,70.1,107
2008-08-01,101.4,104.4,119,122.4,122.5,122.1,104.9,81.2,79.5,81.5,101.2,101.2,101.2,115,122.5,81.2,101.4
2008-09-01,107.9,111.7,124.1,126.8,126.3,127.8,112.8,91.9,82.7,93.5,116.9,105,107.6,121.6,126.3,91.9,107.9
2008-10-01,105.4,119.2,126.6,130.2,129.4,131.7,111.4,107.6,90.8,110.5,111.7,102.5,104.5,123.3,129.4,107.6,105.4
2008-11-01,101.3,122.4,125.8,129,126.9,133,112.7,116.9,91.5,121.3,100.6,99.9,100.1,124.6,126.9,116.9,101.3
2008-12-01,106.5,128.9,128.6,129.8,126.3,136.5,123.6,129.3,95.6,135.2,93.7,108.3,105.1,131.2,126.3,129.3,106.5
2009-01-01,91.9,101.6,100.7,101.4,97.6,108.9,97.8,102.9,76.6,107.5,76.6,95.4,91.3,104.3,97.6,102.9,91.9
2009-02-01,89.9,108.9,108.7,108.5,103.8,117.8,109.3,109.2,85.6,113.3,73.5,93.1,88.8,114.3,103.8,109.2,89.9
2009-03-01,103.8,120.1,116.7,112.8,107.2,123.8,133.1,125.4,95.4,130.6,84.3,108.1,102.9,127.6,107.2,125.4,103.8
2009-04-01,93.3,102.6,105.3,105.3,99.7,116.3,105.2,98.2,87.2,100.1,77.7,97,92.7,111.7,99.7,98.2,93.3
2009-05-01,91.6,90.7,101.9,102.2,97.6,111.2,100.6,72.8,86,70.5,77.3,95.7,91.6,106.8,97.6,72.8,91.6
2009-06-01,96.6,91.5,102.6,103,100.5,107.9,100.9,73.9,86.7,71.7,89.3,99.1,96.9,105,100.5,73.9,96.6
2009-07-01,97.5,94.8,103.6,105.1,104.9,105.4,97.3,80.8,92.3,78.8,91.3,99.5,97.7,102.1,104.9,80.8,97.5
2009-08-01,94.4,97.9,103.5,105.5,106.3,103.9,95.4,88.8,93.1,88.1,82.3,97.6,94.2,100.4,106.3,88.8,94.4
2009-09-01,99.6,102.5,102.2,103.4,104.4,101.5,97.3,102.8,97.2,103.8,96.1,100.4,99.5,99.8,104.4,102.8,99.6
2009-10-01,98.3,107.6,100.8,102.1,103.2,99.9,95.4,118.3,102.9,121,95.7,98.3,97.7,98,103.2,118.3,98.3
2009-11-01,97.8,111.3,101.2,102.9,104.9,99,94.2,127.2,105.7,130.9,96.6,97.1,97,97,104.9,127.2,97.8
2009-12-01,104.4,116.7,103.1,104.8,107.6,99.3,96,138.3,107.1,143.7,97.6,105.3,103.6,97.9,107.6,138.3,104.4
2010-01-01,94.3,108.9,96.4,99.3,102.4,93.3,84.3,128.7,95.8,134.4,88.8,94.7,93.4,89.6,102.4,128.7,94.3
2010-02-01,94.5,111.1,97.3,97.5,99.2,94.1,96.8,133,97,139.3,94.7,93.1,93.5,95.2,99.2,133,94.5
2010-03-01,109.8,111.2,97,93.2,93.1,93.3,112.9,133.8,96.5,140.3,108.9,109.9,109.7,101.4,93.1,133.8,109.8
2010-04-01,97.3,85.2,87.4,88.4,88.3,88.7,83.2,81.6,88.3,80.4,96.2,98.6,98.1,86.4,88.3,81.6,97.3
2010-05-01,94.8,83.5,91.2,89.5,89.3,89.8,98.4,71.4,88.1,68.5,92.1,96.5,95.5,93.3,89.3,71.4,94.8
2010-06-01,99.8,84.6,92.7,93.5,93.9,92.6,89.6,71.7,89.7,68.6,103.9,99.9,100.8,91.4,93.9,71.7,99.8
2010-07-01,101,89.3,98.7,98.7,98.9,98.2,99.1,74.3,95.3,70.7,104.8,100.9,101.8,98.6,98.9,74.3,101
2010-08-01,98.8,96.4,103.1,103.1,103.5,102.4,102.8,85.9,100.3,83.4,95.7,99.8,98.9,102.6,103.5,85.9,98.8
2010-09-01,103,99.5,103.8,106.5,105.9,107.6,92.6,92.6,107.3,90,108.4,101.7,103.2,101.4,105.9,92.6,103
2010-10-01,99.5,105.9,108.6,109.2,107.7,112,106.1,101.8,113.1,99.8,100.3,98.7,99.1,109.6,107.7,101.8,99.5
2010-11-01,100.8,109.6,109.9,110.7,108.9,114.1,106.5,109.3,113.3,108.6,103.2,99.4,100.2,111,108.9,109.3,100.8
2010-12-01,106.6,114.6,113.9,110.6,108.9,114,127.6,115.7,115.3,115.8,102.9,107,106.1,119.6,108.9,115.7,106.6
2011-01-01,96,108.7,107.8,106.8,104.9,110.4,111.9,110.1,105.6,110.9,92.7,95.9,95.2,111,104.9,110.1,96
2011-02-01,96.6,109.3,106.8,102.1,99.9,106.5,126.5,113.2,98.9,115.7,98.5,95.1,95.8,114.7,99.9,113.2,96.6
