"Date","全産業活動指数(100):季節調整値","建設業活動指数(5.77):季節調整値","民間・建築・土木活動指数(3.54):季節調整値","民間・建築活動指数(2.86):季節調整値","民間・建築住宅活動(1.89):季節調整値","民間・建築非住宅活動(0.97):季節調整値","民間・土木活動(0.68):季節調整値","公共・建築・土木活動指数(2.23):季節調整値","公共・建築活動(0.33):季節調整値","公共・土木活動(1.9):季節調整値","鉱工業生産指数(20.78):季節調整値","第3次産業活動指数(73.45):季節調整値","鉱工業及び第3次産業の統合指数(94.23):季節調整値","建設・民間企業設備(非住宅+土木)(1.65):季節調整値","建設・民間住宅(再掲)(1.89):季節調整値","建設・公共(再掲)(2.23):季節調整値","<参考系列>全産業活動指数(直接調整法)(100):季節調整値"
2008-01-01,106.6,97.4,104.2,100.4,100.3,96.3,117.9,91.9,74.9,95.3,117,104.4,107.2,104.7,100.3,91.9,107
2008-02-01,107.6,101.8,108.1,105.7,108.9,103.1,115.1,92.5,84.4,94.2,117.3,105.3,107.9,114,108.9,92.5,107.5
2008-03-01,108.7,106.3,114.2,115.6,117.1,113.2,119.9,95.5,84.1,96.5,116.2,106.7,108.8,116.7,117.1,95.5,108
2008-04-01,107.5,112.1,115.9,113.1,117.5,112.1,122.2,96.9,82.4,103.8,115.5,104.9,107.2,122.7,117.5,96.9,108.1
2008-05-01,107.2,106.6,115,114.8,118.2,114.9,113.5,89.2,79.7,93.7,116.1,104.7,107.2,114.6,118.2,89.2,106.8
2008-06-01,106,108,115.1,115.6,118.1,115.3,113.2,92.6,80.7,95.6,112.9,103.9,105.9,113.8,118.1,92.6,105.6
2008-07-01,105.8,108.5,116.4,117.5,118,120.2,109.2,92.7,80.6,95.4,112.7,103.7,105.7,114.4,118,92.7,106
2008-08-01,104.3,110.2,118.4,120.9,120.2,122.1,110.1,95.1,81.3,97.3,108.7,102.6,103.9,115.8,120.2,95.1,104.4
2008-09-01,105.1,112.3,122.7,125.4,122.3,127.2,111.4,95,80.4,96.9,110,103.1,104.6,118.4,122.3,95,105.3
2008-10-01,104.3,113,124,128.1,124.2,130.6,110.5,97.4,82.8,99,107.4,102.7,103.7,119.9,124.2,97.4,104.6
