"Date","名目原系列:国内総生産(支出側)","名目原系列:民間最終消費支出","名目原系列:民間最終消費支出:家計最終消費支出","名目原系列:民間最終消費支出:家計最終消費支出:除く持ち家の帰属家賃","名目原系列:民間住宅","名目原系列:民間企業設備","名目原系列:民間在庫変動","名目原系列:政府最終消費支出","名目原系列:公的固定資本形成","名目原系列:公的在庫変動","名目原系列:財貨・サービス:純輸出","名目原系列:財貨・サービス:輸出","名目原系列:財貨・サービス:輸入"
1994-03-01,120801.2,64684.3,64070.9,55472.9,5984.4,20462.5,-2480.9,17358.4,12191.5,-113.7,2714.8,11249.3,8534.5
1994-06-01,122065.7,65352,64086.3,55385.5,6320.7,17401.7,820.6,20182,9672.2,31.8,2284.6,10981.7,8697.1
1994-09-01,123390.1,67993.1,66852.7,58039,7386.7,18895.6,-430.3,16696.6,10588.9,114.1,2145.5,11235.3,9089.8
1994-12-01,135280.7,70412.2,68775.9,59841.9,6956.1,18777.9,1902.1,21137.1,13371.5,325.1,2398.6,11690.6,9292
1995-03-01,121646.2,65922.5,65274.8,56270.3,6275.5,20914.1,-2881.2,18337.4,11246.8,-46.4,1877.6,11245.4,9367.8
1995-06-01,125158.7,66960.8,65619.8,56519.7,6094.1,18523.2,1844.4,21010.4,9077.8,-31.6,1679.5,10665,8985.6
1995-09-01,126265.9,69112.2,67924.1,58712.5,6386.1,20610.1,67.1,17411.5,11130.4,-9,1557.5,11667.4,10110
1995-12-01,139471,72169.5,70475.2,61173,6438.6,20402.5,2601.3,21976.2,14321.3,197,1364.5,12406.3,11041.9
1996-03-01,125811,67613.2,66904.8,57529.6,6306.6,21947.7,-3136.3,18850.9,13261.1,117.8,850,12130.7,11280.8
1996-06-01,128901.9,68534.8,67159.7,57661.2,6693.2,19186,2507.8,21742.3,10060.2,-39.6,217.3,11897.1,11679.8
1996-09-01,128498.4,70211.8,69001.4,59383.9,7528.4,21440,-124.2,17993.4,11036.8,-8.8,421.1,12390.4,11969.3
