"Date","名目季節調整系列(年率):国内総生産(支出側)","名目季節調整系列(年率):民間最終消費支出","名目季節調整系列(年率):民間最終消費支出:家計最終消費支出","名目季節調整系列(年率):民間最終消費支出:家計最終消費支出:除く持ち家の帰属家賃","名目季節調整系列(年率):民間住宅","名目季節調整系列(年率):民間企業設備","名目季節調整系列(年率):民間在庫変動","名目季節調整系列(年率):政府最終消費支出","名目季節調整系列(年率):公的固定資本形成","名目季節調整系列(年率):公的在庫変動","名目季節調整系列(年率):財貨・サービス:純輸出","名目季節調整系列(年率):財貨・サービス:輸出","名目季節調整系列(年率):財貨・サービス:輸入"
1994-06-01,-2,0.8,0.7,0.2,20.9,-4,,8.7,9,,,4.5,19.3
1994-09-01,4.8,5.5,5.5,5.7,40.8,-2.7,,4.2,-14.7,,,-3.8,11.1
1994-12-01,-1.7,-0.7,-0.8,-1.8,-17.6,5.9,,4.4,-7.1,,,0.5,0.3
1995-03-01,2.2,1.9,1.9,1.5,-13.9,10.1,,5.3,-16.4,,,-0.3,9.2
1995-06-01,4.3,3.4,3.3,3.3,-13.6,14,,2.5,16.5,,,-8.5,-6.6
1995-09-01,5,2.3,2.3,1.9,-9.1,6,,5.1,34.1,,,27.2,49.1
1995-12-01,0.9,2.4,2.4,2.1,9.5,4.9,,3,1.1,,,9.5,31.5
1996-03-01,2.8,1.7,1.7,1.3,18.7,-5,,0.7,21.5,,,7.9,15.4
1996-06-01,3.7,3,3,2.7,22.3,10.8,,5.1,-6.4,,,0.9,25.2
1996-09-01,-0.6,-0.4,-0.5,-1.3,20.8,4.9,,4.5,-16.2,,,5.8,3.4
1996-12-01,4.1,4.5,4.6,4.6,14.1,0.3,,2,-7.8,,,20.4,15.1
1997-03-01,1.8,8.3,8.5,9.1,-14.2,4.3,,3,-5.9,,,26.1,25
1997-06-01,-0.1,-7.6,-7.6,-9.4,-32.6,1.9,,2.9,5.1,,,13.3,-12
1997-09-01,1.5,3.1,3.2,3.1,-27.5,1,,-1.6,1,,,-10.8,-8.7
1997-12-01,1.2,-0.4,-0.5,-1.2,-19.7,10.7,,3.8,-19.6,,,24.7,-0.5
1998-03-01,-5.6,-2.6,-3,-4.2,-4.1,-7.8,,-0.2,-22,,,-10.2,-11.2
1998-06-01,-2.2,-0.9,-1.3,-1.8,-10.7,-4.5,,-0.5,-6.1,,,-1.3,-13.8
1998-09-01,-0.6,2,1.8,1.5,-11.1,-4.2,,0.6,18.3,,,3.1,6.2
1998-12-01,4.9,2.8,2.7,3,-14.3,-14.8,,8.9,44.6,,,-30.5,-36.8
1999-03-01,-8,-2,-2.1,-2.7,-4.2,-11.6,,-0.6,-0.7,,,-10.7,-4.9
1999-06-01,0.5,1.2,1,0.8,32.6,0,,2.5,-8.7,,,8.2,20.6
1999-09-01,-0.8,1.2,1,0.7,6.8,-2.8,,-1.4,-12.1,,,3.8,10
1999-12-01,-0.7,-0.9,-0.9,-1.4,-18.1,5,,1.8,-2.3,,,4.7,3.2
2000-03-01,6.4,3.4,3.9,4.2,2.6,16.8,,6.9,-18.8,,,14.9,10.1
2000-06-01,-0.5,-2.7,-2.2,-3,6.4,-8.7,,4.2,-3.3,,,6.3,9
2000-09-01,-0.8,-0.1,0.3,0,-7.4,11.9,,4.7,-7.3,,,7.9,18
2000-12-01,2.6,3.4,3.6,3.8,8.4,12.2,,0.1,-14,,,7.5,24
2001-03-01,3.2,2.9,2.7,3,-3.2,-2.4,,6.1,17.9,,,-9.7,3.7
2001-06-01,-5.2,0.5,0.3,-0.2,-23.3,-13.5,,2.5,-21.6,,,-14.7,-5.3
2001-09-01,-5.7,-2.7,-2.9,-3.8,-6,-8.2,,2.3,-3.2,,,-11.3,-14.6
2001-12-01,-1.8,-1.3,-1.3,-1.8,0.2,-19.8,,2.8,-10.9,,,-3,-17.5
2002-03-01,0.6,-0.2,0,-0.3,-5.1,-3.8,,9.9,3.2,,,23.4,11.1
2002-06-01,-0.8,2.1,2.5,2.9,0.2,-8.2,,-8.1,-11.4,,,19.6,8.5
2002-09-01,0.2,0.1,0.4,0.2,-2.3,3.5,,2.5,-2.5,,,-8.9,2.1
2002-12-01,0.5,-1.5,-1.5,-2,-7.3,-0.1,,-1.2,-6.3,,,28.5,20.5
2003-03-01,-3.8,-1.4,-1.7,-2.2,-3.9,-3.4,,-0.5,-12.3,,,-6,3.9
2003-06-01,3.8,-0.4,-0.7,-1.1,2,5.1,,7.5,0.2,,,1.8,-17.3
2003-09-01,0.3,-0.5,-0.7,-1.1,12,-7.7,,-2,-10.4,,,11.6,9.4
2003-12-01,1.4,4.1,4.2,4.8,-9.4,17,,-5,-8.9,,,9.2,-0.3
2004-03-01,2.7,0.5,0.6,0.2,3.9,-2.5,,2.9,-16.2,,,20.5,21.7
2004-06-01,-1.4,-0.4,-0.3,-0.7,8.2,-1.8,,1.3,-2.5,,,16.1,19.3
2004-09-01,1.5,1.1,1.1,1,1.2,4.4,,1.8,-7,,,8.6,16
2004-12-01,-1,-2.3,-2.4,-3.2,-1.8,6.1,,2.2,-3.4,,,4.9,11.1
2005-03-01,0.3,0.6,0.5,0.3,-3.4,13.3,,-1.1,-8.4,,,-7.1,0.3
2005-06-01,1.9,3.1,3,3.3,-5,14.2,,0.9,-21.4,,,20.6,25.7
2005-09-01,2.3,2.9,2.9,3.1,8.6,7.3,,0.3,7.5,,,17.5,28.9
2005-12-01,0,0.5,0.4,0,6.5,-6.4,,1.3,-7.1,,,29.9,22
2006-03-01,-0.7,1.5,1.5,1.5,-1.2,-1.3,,-1.9,13.9,,,7.6,19.6
2006-06-01,0.8,0.4,0.3,0.1,-0.8,8.5,,-0.2,-13.6,,,5.2,5.3
2006-09-01,-1.4,-2.4,-2.5,-3.2,4.6,-0.1,,-0.9,-19.4,,,15.3,13.4
2006-12-01,4.8,3.1,3.2,3.5,4.8,8.9,,-0.7,6.6,,,8.2,0
2007-03-01,2.4,0.6,0.7,0.4,-2,0.8,,0.5,-2.1,,,14.7,11.2
2007-06-01,-0.2,1.7,1.8,1.8,-5.1,-5,,5.3,-7.6,,,17,17.7
2007-09-01,-3.1,-2.5,-2.5,-3.4,-30.9,-5.8,,-2.4,-4.8,,,4.2,-1.7
2007-12-01,0.1,1.9,2,2.1,-42.4,1.6,,5.1,12.2,,,4.5,19.3
2008-03-01,0.6,3.8,3.9,4.2,17,5.2,,0.4,-7.6,,,-1.1,7.1
2008-06-01,-3.3,-5.2,-5.3,-6.6,28.7,-6,,-3.4,-9.4,,,1.3,10.2
2008-09-01,-7.6,0.2,0.3,-0.1,20.6,-4.6,,-2.8,4.4,,,13,36.6
2008-12-01,-3.7,-7,-7.1,-8.5,-2.8,-18.6,,3.6,-4.6,,,-65,-57.2
2009-03-01,-17.7,-6.6,-6.8,-8.2,-32.1,-24.8,,-2.7,6.6,,,-75.3,-72.6
2009-06-01,4.7,2,2,2.3,-38.6,-16.4,,2.7,24.4,,,49.9,-11.2
2009-09-01,-3.4,-0.5,-0.5,-0.6,-26.9,-14.1,,4.5,-7.1,,,44.7,40.4
2009-12-01,3.1,1.5,1.5,1.7,-13.7,-3.9,,1.7,5,,,26.2,14.1
2010-03-01,4.2,1.7,1.6,1.9,13.2,3.4,,-2,0.9,,,29.1,20
2010-06-01,2.3,0.7,0.6,0.7,5.3,6,,4.7,-19,,,20.1,24.8
2010-09-01,4.8,2.3,2.3,2.6,3.8,2.9,,1.4,-0.6,,,-1.1,-1.7
2010-12-01,-4,-3.9,-4.1,-5,12.1,-4,,-1,-10.5,,,-1.5,6.4
2011-03-01,-6.5,-7.1,-7.5,-9,5.2,7.1,,4.4,-9.5,,,-1.8,21.2
2011-06-01,-5.2,3.3,3.1,4,-5.8,-8.4,,1.2,13.5,,,-26.9,12.5
2011-09-01,8.2,4.6,4.4,5.3,22.8,11.1,,0.9,-9.3,,,39.7,15.4
2011-12-01,-0.5,2.5,2.4,2.8,-9.6,21.3,,0.4,-17.3,,,-17.5,1.1
2012-03-01,4.9,1.6,1.5,1.6,-11.2,-1.1,,5.3,40.7,,,11.5,6.6
2012-06-01,-4.1,0.8,0.7,0.7,15.9,0.9,,-4.7,-6.5,,,-5.1,8.1
2012-09-01,-2.2,-3.6,-3.9,-4.7,7.7,-3.8,,2.3,-12.5,,,-13.3,-8.9
2012-12-01,0.3,1.9,1.8,2.1,9.3,-1.1,,1.9,1.1,,,-7.8,-0.1
2013-03-01,4.5,5.6,5.8,7,5.9,0.1,,1.4,22.8,,,45.2,37.6
2013-06-01,3.5,3.2,3.3,3.9,9.3,19,,2.3,5.9,,,25.4,21.6
2013-09-01,3.4,1.8,1.8,2,18.9,9.3,,1.1,22.5,,,6.3,16.2
2013-12-01,-0.5,0.9,1,1.2,19.2,7,,-1.1,8.3,,,-1.5,20.2
2014-03-01,5.2,11.3,11.8,14.2,7.8,11.8,,2.9,-0.1,,,27.1,31.8
