"Date","名目季節調整系列:国内総生産(支出側)","名目季節調整系列:民間最終消費支出","名目季節調整系列:民間最終消費支出:家計最終消費支出","名目季節調整系列:民間最終消費支出:家計最終消費支出:除く持ち家の帰属家賃","名目季節調整系列:民間住宅","名目季節調整系列:民間企業設備","名目季節調整系列:民間在庫変動","名目季節調整系列:政府最終消費支出","名目季節調整系列:公的固定資本形成","名目季節調整系列:公的在庫変動","名目季節調整系列:財貨・サービス:純輸出","名目季節調整系列:財貨・サービス:輸出","名目季節調整系列:財貨・サービス:輸入"
1994-03-01,500940.1,266327.4,261777.7,227334.3,24875.9,76097.8,3177.8,73581.4,46322.3,-442.8,11000.3,44990.7,33990.4
1994-06-01,498475.8,266880.3,262260.7,227445.4,26083.5,75329.9,-2760.5,75125.1,47330.5,522.3,9964.8,45487.7,35522.9
1994-09-01,504388.9,270473.4,265818.9,230596.3,28413.2,74808.8,64.3,75907.3,45489.2,653.4,8579.2,45045.2,36466.1
1994-12-01,502223.8,269977.3,265268.2,229564.3,27067.4,75883,-1406.9,76730.3,44663.9,702.7,8606.2,45098.2,36492
1995-03-01,504972.7,271266.4,266489.3,230417.5,26075.5,77722.1,1899.6,77721.1,42705.2,-174,7756.7,45059,37302.3
1995-06-01,510323.7,273535.9,268684,232272.3,25136.2,80315.5,1130.1,78203.9,44363.6,244.5,7394.1,44066.3,36672.2
1995-09-01,516623,275116,270194.2,233382.3,24544.2,81502.9,2090.5,79185.4,47736.8,175.4,6271.9,46797.9,40526.1
1995-12-01,517840.2,276745.1,271779.4,234600.2,25106.5,82476.5,1180.5,79766.3,47873.2,215.5,4476.6,47873.8,43397.2
1996-03-01,521415.6,277884.8,272896.5,235340.9,26205.8,81422.1,1445.6,79906.4,50261.9,474.4,3814.5,48791.1,44976.6
1996-06-01,526225.3,279924.5,274899,236897,27557.3,83545.7,3353.7,80911.9,49432.9,168.4,1330.9,48905,47574.1
1996-09-01,525384.3,279639.8,274572,236140.1,28889.1,84545.1,1389.8,81808.6,47299.8,182.4,1629.7,49604.3,47974.6
1996-12-01,530706.8,282771.5,277689.7,238811,29856.5,84612.6,2397,82222.8,46352.9,228.8,2264.6,51956.4,49691.7
1997-03-01,533107.7,288444.4,283376.3,244074.5,28734.7,85500.3,-697.7,82832.9,45649,131.6,2512.5,55053.2,52540.6
1997-06-01,532959.2,282818.6,277827.9,238091.1,26034.6,85894,2587.4,83421.3,46217.3,71.6,5914.3,56796.5,50882.2
1997-09-01,534954.4,284966.6,280033.4,239918.2,24021.1,86115,4831.5,83095.2,46333.8,133.9,5457.3,55192,49734.7
1997-12-01,536607.8,284695.2,279666.5,239213.3,22741,88325.6,4060.5,83869.8,43868.9,401,8645.8,58321.1,49675.3
1998-03-01,528873.9,282801.7,277530.1,236683.3,22503.3,86548.6,3188,83824.9,41224.6,226.2,8556.7,56778.8,48222.1
1998-06-01,525895.9,282187.5,276639.5,235628.6,21877.7,85568.3,1683,83721.7,40584.2,149.1,10124.5,56590,46465.5
1998-09-01,525138.3,283615.9,277849.2,236537.6,21242.6,84657.2,-341,83851.2,42321.9,-71.9,9862.2,57027.2,47165
1998-12-01,531484.6,285597.2,279693.5,238286,20439.9,81329.5,2569.2,85659.7,46407.1,-548.7,10030.7,52076.6,42045.9
1999-03-01,520491.6,284159.6,278207.1,236645.3,20219.7,78859.2,-3639.9,85539.5,46331,-79.3,9101.9,50620,41518.1
1999-06-01,521131.8,284980.1,278880.4,237125.1,21695.7,78867.3,-3883.4,86063.6,45283.1,5.2,8120.2,51624.7,43504.5
1999-09-01,520065.6,285824,279545.1,237544.6,22056.5,78315.1,-3302.4,85765.6,43845.6,-0.4,7561.7,52111.7,44550
1999-12-01,519206.9,285147.4,278907.1,236686.4,20983.9,79283.1,-3422.1,86143.2,43593.3,-340.5,7818.6,52716,44897.4
2000-03-01,527302.7,287547.8,281571.4,239125,21117.6,82424,-1504.2,87583.5,41382.8,151.9,8599.4,54584.5,45985.1
2000-06-01,526648.6,285618.9,279987,237306.6,21448.6,80560.6,1017.3,88481.5,41034,45.6,8442.1,55424.7,46982.5
2000-09-01,525563.9,285571.4,280194.9,237323.5,21042.8,82850.6,-1147,89498.5,40259,-38.7,7527.2,56491.7,48964.5
2000-12-01,528897.1,287979.1,282653.3,239541.6,21472.3,85273.7,119.8,89511.4,38770,-73,5843.7,57517.1,51673.4
2001-03-01,533029.9,290019,284534.9,241303.8,21296.3,84750.2,1779.5,90838.6,40395.6,22.1,3928.7,56071.7,52143
2001-06-01,525900.2,290417.1,284719,241161.9,19930.1,81728.7,2131.2,91400.4,38016.8,-169.2,2445.1,53888.2,51443.1
2001-09-01,518262.4,288441.3,282624.3,238866.7,19625.9,79989.3,-2061.3,91932,37704.6,-215.7,2846.4,52297.7,49451.3
2001-12-01,515904.5,287528.3,281713.4,237759.6,19638.1,75685.3,-902,92579.3,36633.8,-35.2,4776.9,51900.8,47123.9
2002-03-01,516630.5,287368.8,281680.9,237594.5,19383.7,74959.5,-3028.4,94790.4,36922.7,-88.8,6322.5,54700,48377.4
2002-06-01,515542.6,288898.7,283407.8,239296.8,19395.5,73367.9,-2543.4,92797.1,35826.8,-23.9,7824.1,57199.9,49375.7
2002-09-01,515789.5,289004.5,283656.9,239408.9,19282.4,74000.9,-1658.9,93371.9,35598.6,-54.2,6244.4,55876.6,49632.2
2002-12-01,516432.2,287937.8,282586.2,238218.2,18921.9,73990.4,129.7,93093.2,35021.2,-163.1,7501.1,59497.5,51996.4
2003-03-01,511387.9,286888.6,281383.9,236870.4,18737.1,73347.4,-461.8,92965.8,33887.7,-61.7,6084.9,58580.9,52496.1
2003-06-01,516168.6,286605.4,280914,236211.5,18831.6,74270.9,-935.7,94665.2,33907.2,39.6,8784.4,58838.9,50054.4
2003-09-01,516560,286261.4,280451.3,235552.7,19374.1,72803,1779.9,94191.6,32984.5,-112.4,9278,60473.6,51195.6
2003-12-01,518399.7,289180.4,283332,238321.1,18900.5,75711.7,-926.4,93000.4,32223.9,-348.1,10657.3,61816.1,51158.8
2004-03-01,521846,289568,283767.1,238454.7,19082.2,75243.2,2760.4,93669.2,30828,-338,11033,64765.7,53732.7
2004-06-01,520000,289281.8,283552.1,238035.1,19460.1,74908,681.2,93971.4,30631.4,-3,11069.1,67221.3,56152.2
2004-09-01,521913,290041.4,284347.7,238639.9,19517.2,75712.3,1840.1,94386.1,30081.5,-8.3,10342.8,68615.7,58272.9
2004-12-01,520541.7,288353.6,282645,236719.8,19430.7,76849.2,1487.6,94899.8,29824.3,88.3,9608.3,69445.3,59837
2005-03-01,520906.8,288793.6,283026.9,236892.2,19263.2,79294.3,1360.7,94642.2,29174.5,76.2,8302.2,68183.8,59881.6
2005-06-01,523393.9,290992.2,285143,238797.5,19019.6,81968.5,1064,94850.3,27471.3,-10.6,8038.7,71439.2,63400.5
2005-09-01,526425.5,293094,287180.9,240604.3,19416.1,83420.8,730.3,94924.4,27975.8,25.3,6838.8,74382,67543.2
2005-12-01,526478,293453.3,287499.9,240631.1,19725.1,82060,82.8,95220.5,27464.2,45.1,8427.2,79417.3,70990.2
2006-03-01,525527.2,294565.9,288601.4,241553.5,19665.4,81801.8,-296.6,94754.7,28369.7,31,6635.3,80894.9,74259.6
2006-06-01,526524.4,294825.6,288824.1,241582.1,19623.1,83484.4,-104.4,94715.5,27354.8,-70.4,6695.7,81913.6,75217.9
2006-09-01,524676.5,293014.6,286969.6,239599.1,19846.6,83454.6,630.5,94495.2,25918.1,15,7302,84876.4,77574.5
2006-12-01,530795.6,295277.6,289230.6,241678.4,20082,85256.1,605.7,94322.7,26332.6,-35.6,8954.5,86576.8,77622.3
2007-03-01,533921.6,295708.4,289704.6,241915.5,19983.1,85421.4,2340.3,94448.2,26195,-48.4,9873.6,89609.5,79735.9
2007-06-01,533647.8,296937.2,290980.8,243004.5,19721.7,84324.1,1097.9,95672.5,25684.9,106.7,10102.8,93160.7,83057.9
2007-09-01,529539.6,295030.9,289107.6,240921.4,17983.1,83084.2,1462.2,95089,25372.6,14.1,11503.5,94098.1,82594.6
2007-12-01,529598.7,296444,290545.2,242174.7,15670.5,83420.3,2875.6,96269.4,26113.2,40.8,8764.8,95178.6,86413.7
2008-03-01,530468.3,299190.6,293305.7,244695.1,16296.6,84483.7,1300.6,96375,25603.8,208.1,7009.7,94936.2,87926.5
2008-06-01,525969.8,295203.8,289352.8,240580.5,17354.9,83185.4,4653.1,95536.3,24982.5,-39.6,5093.4,95193.6,90100.2
2008-09-01,515782.2,295358.8,289542.8,240524.8,18184.1,82206.9,-893.2,94867.2,25252.7,-84.7,890.6,98123.9,97233.3
2008-12-01,510817.2,290085.1,284272.8,235236.4,18055.5,78090.2,7090.6,95704.3,24956.8,102.1,-3267.5,75483,78750.5
2009-03-01,486502.9,285152.9,279312.9,230250.4,16394.7,72717.9,-4349,95042.2,25362,-81.3,-3736.6,53229.1,56965.6
2009-06-01,492066.8,286561.7,280713.1,231582.7,14512.1,69537.5,-4594.7,95675.2,26786.3,9,3579.7,58872.8,55293
2009-09-01,487910.8,286229.3,280385.6,231216.3,13418.4,66940.4,-6211.6,96729.8,26293.1,44,4467.3,64551.1,60083.8
2009-12-01,491592.9,287291.6,281404.6,232204.3,12934,66271.2,-4918,97133,26614.2,32.3,6234.7,68434.7,62200
2010-03-01,496749.3,288516.1,282535.8,233309.9,13346.4,66824.2,-3159.1,96634,26668,73.2,7846.4,72965.5,65119
2010-06-01,499543.7,288988.7,282941.4,233684.3,13513.5,67799.8,-1303.9,97759.4,25317.9,-44.9,7513.1,76347.5,68834.4
2010-09-01,505499.3,290616.8,284526,235203,13637.8,68292.7,2034.2,98093.6,25262.7,-149.9,7711.5,76125.1,68413.6
2010-12-01,500231.9,287752.4,281555.6,232177.1,14034.4,67606.9,2218.2,97838.4,24577.3,-61.2,6265.5,75853.6,69588
2011-03-01,491888.3,282527.9,276162.7,226803.1,14223.3,68772.8,984,98906.5,23966.3,15.4,2492.1,75535.6,73043.5
2011-06-01,485380.7,284803.9,278257.7,229037.3,14003.8,67281.1,674.7,99195.8,24769,20.1,-5367.6,69837,75204.6
2011-09-01,495007.8,287996.8,281296.8,232032.5,14740.6,69066.4,1487.2,99412.3,24147.1,82.5,-1925.1,75927.9,77853.1
2011-12-01,494334.1,289773,282944.6,233650.9,14376.3,72475.8,913.3,99519.9,23031,11.3,-5766.5,72358.1,78124.6
2012-03-01,500265,290908.7,283983.2,234625.2,13969.2,72274.3,2333.1,100808.7,25064.2,-7.6,-5085.7,74375.6,79461.2
2012-06-01,495270,291487.6,284441.4,235036.9,14479.4,72435.8,51.2,99597.6,24706.8,85.1,-7573.6,73402.4,80976
2012-09-01,492448.4,288826.6,281642,232218.4,14746.4,71741.3,1230.9,100167.7,23845.8,94.9,-8205.1,70841.1,79046.3
2012-12-01,492785.4,290142.3,282890.1,233411.5,15082,71545.3,1110.4,100641.3,23912.5,32,-9680.5,69373,79053.5
2013-03-01,498151.8,294172.1,286927.5,237396.9,15316.9,71564.3,651.2,101000.8,25149,-141.6,-9560.9,76180.5,85741.4
2013-06-01,502707.3,296507.2,289237.3,239657.6,15641.3,74742.4,-2065.2,101580.6,25597.5,45.8,-9342.2,80593.8,89936
2013-09-01,506867.4,297852.8,290522.3,240881.2,16324.9,76422.7,-962.2,101870.8,26866.9,-79.6,-11428.9,81922.6,93351.6
2013-12-01,506114.4,298529.4,291227.7,241562.3,17065.3,77737.7,-41.4,101582.5,27390.8,79.3,-16229.2,81505.3,97734.5
2014-03-01,512353.9,306675.1,299497.3,249746.1,17419.8,79942.3,-3077.5,102310.4,27342.9,98.6,-18357.6,86600.1,104957.7
2014-06-01,512709.7,296369.5,289415.5,239662.1,16256.1,78814.7,2523.9,103497.1,26639,47.2,-11437.8,87320.3,98758.1
2014-09-01,512266.6,297626.8,290843.2,241054.2,15117.7,79809.7,-24.1,104182.9,27109.9,185.3,-11741.6,90710.7,102452.2
2014-12-01,517067.7,299263.3,292450.7,242641.6,15145.8,80374.4,-589.3,104342.5,27498.3,19.2,-8986.6,95678.6,104665.2
2015-03-01,527925.1,300132.3,293091.3,243271.2,15626,81662.3,1265.7,104907.1,27156.7,51.4,-2876.2,95180.3,98056.5
2015-06-01,529604,299511.6,292205.9,242369.5,15757.1,80946.6,3782.9,104894.8,27484.9,-3.4,-2770.5,92807.9,95578.4
2015-09-01,531951.7,301338.5,293847.8,243994.9,16050.8,81439.6,2406.8,105358.3,27040.6,-5.8,-1677.2,95252.5,96929.8
2015-12-01,530503.7,299365.3,291778.2,241880.6,15927.9,81215.2,2682.6,106242.9,26538.2,18.2,-1486.7,91042.4,92529
2016-03-01,535306.6,299107.3,291510.4,241615.4,15994.8,80953.4,1221.8,107479.6,26218.5,64.3,4266.9,87566.9,83300
2016-06-01,536613,299281.3,291684.3,241772.2,16397.6,81664,2247.5,105812.7,26393.7,36.7,4779.5,84633.1,79853.6
2016-09-01,536957.7,300097.2,292463.9,242563.6,16874,81276.6,855.7,106025.8,26080.3,11,5736.9,84917.8,79180.8
2016-12-01,539179.6,301446.1,293763.4,243872.7,17077.7,82967,-217.7,106395.1,25463.7,12.4,6035.3,89747.8,83712.5
2017-03-01,539016,302013.7,294286.8,244372.8,17316.4,83527.3,182,106506.4,25536.6,3,3930.6,94256.3,90325.7
