"Date","合計","衣料品","衣料品:紳士服・洋品","衣料品:婦人･子供服・洋品","衣料品:その他の衣料品","衣料品:身の回り品","飲食料品","その他","その他:家具","その他:家庭用電気機械器具","その他:家庭用品","その他:その他の商品","その他:食堂･喫茶"
1980-01-01,4367.02,1581.15,383.65,707.65,272.49,217.36,1756.74,1029.13,97.23,172.19,255.59,474.02,30.1
1980-02-01,3786.2,1144.19,247.98,509.53,232.75,153.93,1775.52,866.48,107.25,130.24,226.99,375.92,26.08
1980-03-01,4520.44,1526.46,291.2,744.42,256.51,234.33,1934.91,1059.06,144.85,168.36,274.6,442.12,29.13
1980-04-01,4565.74,1509.68,311.39,723.59,242.27,232.43,1926.18,1129.89,142.79,174.34,300.92,480.95,30.89
1980-05-01,4417.27,1488.6,306.7,734.52,225.9,221.48,1919.54,1009.14,110.56,161.69,272.97,433.26,30.66
1980-06-01,4560.98,1600.1,384.95,746.4,246.7,222.05,1887.06,1073.83,120.85,207.17,279.74,435.38,30.69
1980-07-01,4917.98,1703.48,357.71,827.05,272.29,246.43,2030.8,1183.7,129.27,222.79,296.55,501.93,33.16
1980-08-01,4689.56,1434.75,275.64,703.9,250.25,204.96,2142.48,1112.32,115.66,177.49,286.77,496.13,36.27
1980-09-01,4151.44,1214.35,234.26,589.76,213.85,176.48,1958.73,978.36,111.47,151.44,261.08,424.77,29.6
1980-10-01,4643.16,1592.28,353.58,764.97,274.06,199.67,1996.85,1054.04,128.28,175.18,271.47,448.83,30.28
1980-11-01,4921.7,1780.38,418.8,839.8,318.86,202.92,2014.22,1127.11,144.28,213.24,277.56,460.13,31.9
1980-12-01,7298.5,2756.86,711.67,1244.46,476.55,324.18,2822.48,1719.17,206.54,350.85,404.85,717.61,39.32
1981-01-01,4879.24,1690.13,413.44,772.04,283.76,220.89,2030.25,1158.85,104.29,196.42,271.23,554.38,32.53
1981-02-01,4072.9,1193.06,251.35,548.38,239.88,153.45,1970.74,909.11,109.76,137.31,229.6,405.49,26.95
1981-03-01,4954.6,1624.02,322.83,804.1,256.23,240.86,2148.56,1182.02,162.21,187.35,280.99,518.6,32.87
1981-04-01,5040.14,1630.77,345.16,795.95,244.28,245.38,2173.18,1236.19,153.11,191.02,312.12,544.91,35.03
1981-05-01,4918.24,1579.09,331.7,787.97,230.49,228.93,2220.45,1118.71,120.57,170.67,289.73,503.27,34.47
1981-06-01,4736.06,1517.82,364.9,705.5,235.41,212.01,2110.23,1108,122.1,193.76,276.59,482.7,32.85
1981-07-01,5599.64,1895.8,419.39,931.96,290.48,253.97,2284.17,1419.67,145.64,335.88,312.98,585.14,40.03
1981-08-01,5181.78,1488.29,288.69,729.83,256.57,213.2,2416.55,1276.94,124.97,209.37,317.39,582.35,42.86
1981-09-01,4622.24,1328.11,263.53,653.77,224.26,186.55,2194.75,1099.38,122.47,168.91,285.99,489.48,32.54
1981-10-01,5055.94,1686.08,377.54,821.51,284.98,202.05,2209.35,1160.51,139.5,190.87,294.08,504.31,31.75
1981-11-01,5435.29,1953.25,466.74,923,342.3,221.2,2225.53,1256.51,149.89,252.49,301.39,519.16,33.57
1981-12-01,7848.51,2849.11,743.2,1317.71,464.29,323.91,3126.56,1872.83,202.79,365.84,437.38,824.92,41.9
1982-01-01,5231.77,1750.69,427,824,279.41,220.29,2222.25,1258.84,106.21,205.18,289.65,621.45,36.35
1982-02-01,4445.81,1279.52,276.01,603.26,239.1,161.15,2148.82,1017.47,114.02,160.36,247.06,466.94,29.08
1982-03-01,5164.98,1653.79,329.64,831.83,250.85,241.47,2283.09,1228.1,165.9,195.49,297.25,534,35.47
1982-04-01,5471.65,1723.89,369.73,847.14,254.22,252.8,2384.05,1363.72,159.32,214.81,340.42,609.93,39.23
1982-05-01,5420.42,1749.05,372.05,884.16,250.68,242.16,2400.87,1270.5,130.66,207.83,318.45,573.02,40.55
1982-06-01,5145.66,1620.13,391.65,758.48,237.04,232.96,2290.12,1235.41,124.05,220.25,301.33,551.31,38.48
1982-07-01,5620.15,1813.97,380.02,907.34,278.31,248.29,2431.57,1374.62,134.55,248.25,325.99,624.48,41.35
1982-08-01,5463.64,1536.46,296.96,765.8,256.78,216.92,2575.85,1351.33,125.48,222.1,333.87,622.69,47.19
1982-09-01,4878.75,1355.94,264,683.7,214.25,193.99,2360.12,1162.7,118.39,182.06,295.76,531.8,34.69
1982-10-01,5470.4,1775.39,397.49,880.35,283.63,213.92,2406.29,1288.72,146.19,212.27,309.3,584.08,36.87
1982-11-01,5382.07,1815.1,415.02,883.21,306,210.87,2281,1285.97,145.25,242.52,304.8,556.48,36.92
1982-12-01,8106.34,2866.73,733.47,1354.88,462.57,315.81,3250.62,1989,212.16,394.62,451.16,884.97,46.09
1983-01-01,5498.04,1826.59,438.13,872.81,291.65,224,2319.38,1352.07,109.43,223.61,300.46,678,40.57
1983-02-01,4667.87,1309.29,281.55,627.86,235.12,164.76,2264.74,1093.84,116.49,168.24,260.99,516.12,32
1983-03-01,5410,1671.49,330.75,848.59,247.77,244.37,2429.4,1309.11,164.42,207.25,306.58,592.72,38.14
1983-04-01,5632.54,1772.17,377.87,893.86,246.82,253.62,2453.69,1406.68,157.69,217.09,341.79,649.3,40.8
1983-05-01,5556.29,1730.91,365.09,895.46,234.3,236.06,2521.2,1304.17,127.49,201.25,323.01,610.75,41.69
1983-06-01,5186.37,1580.51,387.12,753.38,221.19,218.81,2375.13,1230.73,115.42,204.56,300.09,572.29,38.37
1983-07-01,5979.71,1911.75,410.3,972.96,276.71,251.78,2578.18,1489.78,139.78,300.46,334.12,671.05,44.36
1983-08-01,5708.72,1584.34,318.66,812.31,242.65,210.72,2694.77,1429.61,120.32,280.58,334.25,644.21,50.26
1983-09-01,4960.03,1308.5,248.52,662.39,203.77,193.82,2428.03,1223.49,116.54,198.19,301.49,569.61,37.67
