"Date","合計","衣料品","衣料品:紳士服・洋品","衣料品:婦人･子供服・洋品","衣料品:その他の衣料品","衣料品:身の回り品","飲食料品","その他","その他:家具","その他:家庭用電気機械器具","その他:家庭用品","その他:その他の商品","その他:食堂･喫茶"
1980-01-01,8705.83,3911.53,869.59,1765.74,726.41,549.79,2464.77,2329.52,296.84,229.18,465.38,1186.14,151.98
1980-02-01,7875.95,3165.3,637.92,1415.04,674.18,438.16,2475.94,2234.71,398.99,183.05,433.4,1089.41,129.86
1980-03-01,10085.72,4471.06,847.68,2146.44,763.13,713.81,2790.66,2823.99,472.3,240.41,569.43,1370.23,171.62
1980-04-01,9465.97,3934.69,830.53,1809.1,686.05,609.01,2707.56,2823.73,453.63,245.1,611.65,1357.49,155.86
1980-05-01,9192.78,3914.09,843.02,1817.37,638.65,615.05,2676.16,2602.53,398.57,233.81,546.18,1261.46,162.51
1980-06-01,9506.35,4124.28,1007.31,1833.55,655.7,627.72,2775.04,2607.05,405.21,292.05,522.07,1223.74,163.98
1980-07-01,11455.44,4443.66,926.06,2028.23,797.1,692.27,4000.12,3011.66,443.9,312.08,574.7,1491.21,189.78
1980-08-01,9126.41,3324.54,605.12,1578.15,610.69,530.57,3207.81,2594.06,442.12,235.55,496.11,1222.24,198.05
1980-09-01,8644.62,3488.53,640.64,1606.14,669.95,571.8,2676.89,2479.2,417.96,215.52,505.12,1192.87,147.74
1980-10-01,9967.51,4459.03,978.42,2044.52,822,614.1,2798.42,2710.06,464.37,255.46,558.42,1281.24,150.56
1980-11-01,10421.8,4734.73,1111.7,2156.41,885.95,580.67,2957.04,2730.02,455.19,307.86,566.12,1239.27,161.59
1980-12-01,17404.14,7238.06,1887.32,3144.94,1294.05,911.75,5975.26,4190.82,610.34,472.56,816.97,2091.7,199.25
1981-01-01,9538.33,4167.82,921.01,1930.73,756.1,559.98,2813.11,2557.4,315.33,258.24,488.96,1332.03,162.84
1981-02-01,8377.52,3280.18,649.66,1499.49,691.33,439.7,2730.09,2367.25,412.76,196.92,445.42,1176.67,135.49
