"Date","四半期デフレーター季節調整系列:国内総生産(支出側)","四半期デフレーター季節調整系列:民間最終消費支出","四半期デフレーター季節調整系列:民間最終消費支出:家計最終消費支出","四半期デフレーター季節調整系列:民間最終消費支出:家計最終消費支出:除く持ち家の帰属家賃","四半期デフレーター季節調整系列:民間住宅","四半期デフレーター季節調整系列:民間企業設備","四半期デフレーター季節調整系列:民間在庫変動","四半期デフレーター季節調整系列:政府最終消費支出","四半期デフレーター季節調整系列:公的固定資本形成","四半期デフレーター季節調整系列:公的在庫変動","四半期デフレーター季節調整系列:財貨・サービス:純輸出","四半期デフレーター季節調整系列:財貨・サービス:輸出","四半期デフレーター季節調整系列:財貨・サービス:輸入"
1994-03-01,117.7,109.5,109.5,112.3,100.1,126.5,,104.2,104.3,,,132.6,78.9
1994-06-01,118.2,110,109.9,112.7,100.2,126.1,,105,104.4,,,133.4,81.2
1994-09-01,117.7,109.8,109.8,112.4,100.2,125.4,,105.4,104.1,,,129.7,80.9
1994-12-01,117.9,110,109.9,112.5,100,124.8,,106.3,103.8,,,129.2,80.2
1995-03-01,117.4,109.8,109.7,112.2,99.9,124.4,,105.5,103.9,,,127.6,79.2
1995-06-01,117.1,109.4,109.4,111.6,99.4,123.6,,105.7,103.6,,,122.8,75.7
1995-09-01,117.2,109.3,109.2,111.4,99.4,123.4,,105.8,103.4,,,129.3,79.3
1995-12-01,117.2,109.2,109.2,111.2,99.1,123,,106.4,103.4,,,132.6,81
1996-03-01,116.7,109.2,109.1,111.1,99.4,122.4,,105.8,103.3,,,133,82.8
1996-06-01,116.8,109.6,109.5,111.4,99.4,121.6,,107,102.9,,,133.4,85.1
1996-09-01,116.7,109.5,109.4,111.3,100.1,121.1,,107.7,103.1,,,131.6,85.9
1996-12-01,116.4,109.6,109.5,111.2,101.2,121.1,,106.7,103.6,,,132.1,88.1
1997-03-01,116.4,109.6,109.5,111.2,101.4,121.1,,107.6,103.9,,,135.8,92.1
1997-06-01,117.7,111.2,111.1,112.9,102.8,121.2,,108.2,105,,,134.4,91
1997-09-01,117.5,111.2,111.1,112.8,102,120.8,,107.9,104.3,,,132.6,89.2
1997-12-01,117.5,111,110.9,112.5,101.1,120.8,,108.3,103.9,,,137,91
1998-03-01,117.5,110.8,110.8,112.3,100.5,120.4,,108.5,103.6,,,136.8,89
1998-06-01,117.3,110.7,110.7,112.2,99.9,120,,107.4,103,,,139,89.8
1998-09-01,116.9,110.5,110.4,111.8,99.7,119.6,,107.1,102.6,,,139.9,91
1998-12-01,117.1,110.8,110.7,112.2,99.1,118.6,,108.7,101.9,,,130,83.2
1999-03-01,116.4,110.2,110.2,111.6,98.5,118,,107.3,101.2,,,126.1,79.8
1999-06-01,116,110.1,110.1,111.5,98.6,117.3,,107,100.6,,,127.4,82
1999-09-01,115.3,110,110,111.4,98.8,117,,105.5,100.6,,,123.5,81.9
1999-12-01,115,109.5,109.5,110.9,98.5,116.6,,105.5,100.4,,,122,80.1
2000-03-01,114.6,109.3,109.3,110.6,98.9,116.9,,105.8,100.9,,,120.1,82.2
2000-06-01,114.2,109.1,109.1,110.4,98.4,115.9,,105.7,100.5,,,118.2,80.8
2000-09-01,113.9,108.9,108.8,110.1,98.9,115.5,,106.1,100.6,,,118.6,82.1
2000-12-01,113.6,108.5,108.4,109.7,98.4,114.8,,105.5,100,,,121.3,83.6
2001-03-01,113.7,108.6,108.6,109.9,98.1,113.9,,106.7,99.6,,,122.7,84.2
2001-06-01,112.9,108,107.9,109.1,98,113,,105.4,99.4,,,122.5,85
2001-09-01,112.5,107.6,107.5,108.6,97.2,112.4,,105.5,98.6,,,121.6,84.2
2001-12-01,112.2,107,107,108,96.9,111.6,,104.8,98.2,,,123,82.7
2002-03-01,112.3,106.8,106.7,107.7,96.6,111.2,,107.1,97.9,,,124.1,84.1
2002-06-01,111.2,106.4,106.4,107.4,96.2,110.4,,104.4,97.5,,,120.9,83.4
2002-09-01,110.7,106.1,106.1,107.1,96.3,109.8,,104.2,97.2,,,117.4,81.4
2002-12-01,110.5,105.9,105.8,106.8,96.1,109.2,,104.1,97.1,,,120.8,83.9
2003-03-01,109.7,105.6,105.5,106.5,96.2,108.3,,103.4,97.2,,,117.4,83.9
2003-06-01,109.7,105.3,105.2,106.2,95.9,107.4,,104.4,96.9,,,117.7,82.8
2003-09-01,109.3,105.1,105,106,96.6,107.1,,103.5,97,,,116.7,82.8
2003-12-01,108.6,104.8,104.7,105.6,96.1,106.6,,101.7,97,,,113.7,81
2004-03-01,108.4,104.7,104.7,105.6,96.6,106.1,,102,97.3,,,113.5,82.6
2004-06-01,108.1,104.6,104.6,105.4,96.4,105.9,,102.6,97.3,,,114.1,85
2004-09-01,108,104.4,104.4,105.1,96.7,105.8,,102.6,97.4,,,115.4,86.3
2004-12-01,108.1,104.6,104.5,105.3,96.8,105.3,,103.3,97.8,,,115.2,86.1
2005-03-01,107.6,104.3,104.3,104.9,96.7,105.2,,102,97.8,,,114.3,86.5
2005-06-01,107.2,104.2,104.1,104.8,96.9,105,,102.6,98.2,,,114.9,90.1
2005-09-01,106.7,103.9,103.9,104.4,97,104.9,,102.9,98.5,,,115.9,93.3
2005-12-01,106.6,104,103.9,104.4,97.4,105.1,,102.8,98.8,,,119.5,98
2006-03-01,106.3,104.2,104.2,104.7,97.8,105.3,,102.6,99.3,,,119.1,100.6
2006-06-01,106.1,104.1,104,104.5,98.2,105.1,,102.2,99.6,,,118.6,100.6
2006-09-01,105.9,104.1,104.1,104.6,98.7,105.2,,101.9,99.9,,,120.6,103.9
2006-12-01,106,103.9,103.8,104.3,99.4,105.2,,101.9,99.9,,,121.7,104
2007-03-01,105.6,103.6,103.5,103.9,100.1,104.9,,101.5,100.3,,,122.9,105.7
2007-06-01,105.7,103.6,103.6,103.9,100.5,105,,102,100.8,,,124.9,108.6
2007-09-01,105.2,103.6,103.5,103.8,100.6,105,,101.6,100.9,,,123,109.1
2007-12-01,104.7,103.9,103.9,104.2,101,105.1,,102.2,101.6,,,120.9,112.7
2008-03-01,104.5,104.3,104.2,104.6,101.6,105.2,,102.1,102.2,,,117.7,112.8
2008-06-01,104.3,104.4,104.4,104.8,103,105.7,,102.5,103.5,,,120.5,119.1
2008-09-01,103.6,104.8,104.8,105.3,103.9,106,,101.8,104.7,,,124,128.4
2008-12-01,104.8,104,103.9,104.2,103.2,105,,102.3,103.8,,,109.2,102.1
2009-03-01,104.9,102.9,102.8,103,102.1,103.5,,101.3,102.1,,,103.4,87.9
2009-06-01,104,102.4,102.4,102.5,100.6,102.4,,100.6,100.6,,,105,89.4
2009-09-01,103.2,101.7,101.7,101.7,99.8,101.8,,100.5,99.8,,,104.8,92.3
2009-12-01,102.5,101.3,101.3,101.2,99.6,101.5,,100.3,99.7,,,103.7,93.4
2010-03-01,102.5,101.1,101.1,101,99.7,102,,100.8,100.2,,,104.3,95.1
2010-06-01,102,100.9,100.9,100.9,99.5,101.6,,100.3,100.2,,,104.2,95.7
2010-09-01,101.3,100.1,100.1,99.9,99.9,101,,100.2,99.9,,,101,93.4
2010-12-01,101,100.2,100.2,100.1,99.8,100.4,,99.6,99.7,,,100.4,94.4
2011-03-01,100.8,100.2,100.2,100.2,100,100.4,,100.2,100.1,,,100.9,97.6
2011-06-01,100,100,100,100,100,99.8,,100.1,99.9,,,100.9,101.1
2011-09-01,99.6,99.8,99.8,99.8,100.2,100.1,,99.9,100.1,,,100.3,101.5
2011-12-01,99.6,100,100,100.1,99.9,99.6,,99.8,99.9,,,98.3,100
2012-03-01,99.7,100,100,100.1,99.6,100.2,,99.9,100,,,98.1,99.8
2012-06-01,99.2,99.5,99.6,99.7,99,99.8,,99.1,99.6,,,97.8,99.7
2012-09-01,99,98.8,98.8,98.8,98.8,99.3,,99.3,99.1,,,97.8,97.7
2012-12-01,99,99.1,99.1,99.2,99.2,99.2,,99.2,99.5,,,99.2,100.2
2013-03-01,98.9,99,99,99.2,99.9,99.9,,99.5,100,,,105.7,108
2013-06-01,98.8,98.9,98.9,99.1,100.9,99.9,,98.9,100.4,,,108.2,109.8
2013-09-01,98.9,99.2,99.2,99.5,101.9,100.1,,99.1,100.5,,,109.9,111.7
2013-12-01,98.9,99.7,99.7,100.2,102.8,100.4,,98.8,101.3,,,109.8,113.5
2014-03-01,99.1,99.9,100,100.6,102.9,100.8,,99.2,101.9,,,110,114.6
2014-06-01,101,101.6,101.7,102.8,105.7,101.1,,100.9,103.7,,,109.7,112.7
2014-09-01,101.1,101.7,101.7,102.8,105.8,101.4,,101.1,104.1,,,112.1,115.1
2014-12-01,101.3,101.7,101.7,102.8,105.8,101.6,,101.1,103.9,,,114.5,116.2
2015-03-01,102.4,101.5,101.5,102.7,105.9,102,,100.7,104.6,,,112.6,107.4
2015-06-01,102.6,101.7,101.7,103,105.8,102.3,,100.5,105.1,,,114.1,108
2015-09-01,102.9,101.7,101.7,103.1,106,102.3,,100.6,104.8,,,114.2,106.9
2015-12-01,102.9,101.7,101.7,103.1,105.9,102,,100.7,104.6,,,109.6,102.2
2016-03-01,103.3,101.3,101.3,102.6,105.1,101.6,,100.6,103.9,,,105.3,93.6
2016-06-01,103,101.1,101.2,102.6,104.6,101.3,,99.9,103.5,,,103,91.2
2016-09-01,102.7,101,101.1,102.5,104.9,101,,100,103.7,,,101.1,90.7
2016-12-01,102.9,101.4,101.5,103.1,105.7,101.1,,100.3,104.4,,,103.4,94.3
2017-03-01,102.4,101.3,101.3,102.9,106.2,101.5,,100.4,105.1,,,107,100.1
2017-06-01,102.6,101.2,101.2,102.8,106.3,102,,100.4,105,,,106.4,98.9
