"Date","企業物価指数(月次):[国内企業物価指数]総平均(前年比)(%)","企業物価指数(月次):[輸出物価指数/円ベース]総平均(前年比)(%)","企業物価指数(月次):[輸入物価指数/円ベース]総平均(前年比)(%)","企業物価指数(月次):[連鎖方式による国内企業物価指数]総平均(前年比)(%)","企業物価指数(月次):[国内企業物価指数]総平均(2015年=100)","企業物価指数(月次):(参考)夏季電力料金調整後/総平均(2015年=100)","企業物価指数(月次):[輸出物価指数/円ベース]総平均(2015年=100)","企業物価指数(月次):[輸入物価指数/円ベース]総平均(2015年=100)","企業物価指数(月次):[連鎖方式による国内企業物価指数]総平均(2015年=100)"
1980-01-01,13.8,20.8,84.3,,103.2,,174.6,141,
1980-02-01,15.1,20.9,89.3,,105.1,,177.3,150.3,
1980-03-01,16.2,19.6,86.5,,106.7,,179.7,152.4,
1980-04-01,18.4,17.4,78.2,,110,,181.7,154.3,
1980-05-01,18.4,10.7,56.4,,110.9,,174.4,145.1,
1980-06-01,17.7,6.7,46.6,,111.3,,169.8,140.7,
1980-07-01,16,7,40.9,,111.7,,170.9,142.6,
1980-08-01,15.4,7.1,37.2,,112.3,,172.5,146.1,
1980-09-01,14.3,3.9,29.7,,112.5,,169.4,142.9,
1980-10-01,12.8,0.5,21.4,,111.8,,168.1,138.9,
1980-11-01,11.8,-2.3,14.5,,111.7,,169.4,140.7,
1980-12-01,10.4,-3.1,7.7,,111.7,,168.4,139.5,
1981-01-01,8.1,-4.8,-2.8,,111.4,,166.3,137.2,
1981-02-01,5.7,-5.6,-7.3,,110.9,,167.5,139.3,
1981-03-01,3.8,-6,-7,,110.7,,169,141.6,
1981-04-01,0.8,-5.4,-6.4,,110.8,,171.9,144.4,
1981-05-01,0.3,0.2,1.9,,111.2,,174.8,147.9,
1981-06-01,-0.2,4.2,6.4,,111.1,,176.9,149.7,
1981-07-01,-0.4,5.3,6.7,,111.3,,180,152.1,
1981-08-01,-0.5,5.1,4.6,,111.7,,181.4,152.9,
1981-09-01,-0.3,6.2,5.8,,112,,180,151.1,
1981-10-01,-0.1,7.3,8.9,,111.7,,180.2,151.6,
1981-11-01,0.2,4.7,6,,111.9,,177.3,149.1,
1981-12-01,0.3,4.1,4.6,,112,,175.5,145.9,
1982-01-01,0.4,6.7,7.8,,111.8,,177.3,147.6,
1982-02-01,0.9,8,9.4,,111.8,,180.7,152.5,
1982-03-01,1.1,7.9,9.3,,111.8,,182.3,154.9,
1982-04-01,1.1,6.5,8.5,,111.9,,183.3,156.7,
1982-05-01,0.5,2.5,3.6,,111.7,,178.9,153.2,
1982-06-01,0.4,3.9,5.2,,111.5,,183.7,157.4,
1982-07-01,0.4,2.7,5.8,,111.7,,184.8,160.9,
1982-08-01,0.4,1.3,6.2,,112.1,,183.7,162.4,
1982-09-01,0.3,2.4,8.8,,112.5,,184.3,164.3,
1982-10-01,0.3,2.9,10.7,,112,,185.5,167.7,
1982-11-01,0.2,2.8,11.4,,112.1,,182.3,166.1,
1982-12-01,0,-0.1,7.6,,112,,175.1,157.2,
1983-01-01,0,-3.5,2.6,,111.8,,171.1,151.7,
1983-02-01,0,-5.5,-0.3,,111.8,,170.9,152.1,
1983-03-01,-0.1,-6.2,-4,,111.7,,171.1,148.6,
1983-04-01,-1,-6.6,-6.1,,110.9,,171.1,147.1,
1983-05-01,-0.6,-4.9,-6.7,,111.1,,170.2,143,
1983-06-01,-0.4,-6.5,-8.3,,111.1,,171.7,144.4,
1983-07-01,-0.4,-7,-10.1,,111.3,,171.7,144.7,
1983-08-01,-1.3,-6,-9.5,,110.8,,172.7,147,
1983-09-01,-1.3,-6.6,-10.6,,111,,172.1,146.9,
1983-10-01,-1.2,-8.6,-15,,110.8,,169.5,142.6,
1983-11-01,-1.2,-6.8,-14.2,,110.9,,169.9,142.6,
1983-12-01,-0.9,-3.1,-9.5,,111.1,,169.8,142,
1984-01-01,-0.7,-1,-6.5,,111.1,,169.4,141.8,
1984-02-01,-0.5,-0.2,-6.8,,111.3,,170.5,141.6,
1984-03-01,-0.4,-1.9,-6.4,,111.3,,167.8,138.9,
1984-04-01,0.3,-2,-5.7,,111.2,,167.7,138.7,
1984-05-01,0.2,-0.1,-2,,111.3,,170.1,140.1,
1984-06-01,0.1,-0.2,-3,,111.2,,171.5,140.1,
1984-07-01,0.1,1.7,-2.1,,111.4,,174.8,141.6,
1984-08-01,0.7,1.1,-3.5,,111.5,,174.6,141.8,
1984-09-01,0.6,1.7,-3.1,,111.6,,175.1,142.4,
1984-10-01,0.4,3.3,0,,111.2,,175.1,142.6,
1984-11-01,0.3,2.1,-0.7,,111.2,,173.4,141.5,
1984-12-01,0.1,2.7,0.1,,111.2,,174.3,142.1,
1985-01-01,0.1,3.8,1.7,,111.8,,177.2,146.1,
1985-02-01,0,4.2,2.9,,111.8,,178.9,148.2,
1985-03-01,-0.3,5.6,4.3,,111.5,,178.1,147,
1985-04-01,-0.3,4.3,3.3,,111.3,,175.5,145,
1985-05-01,-0.6,2.6,2.1,,110.8,,175,144.2,
1985-06-01,-0.6,1.1,0.8,,110.5,,173.4,142.1,
1985-07-01,-0.8,-2.1,-2.2,,110.5,,170.8,138.7,
1985-08-01,-1,-3.2,-4.2,,110.3,,168.9,135.8,
1985-09-01,-1.3,-4.2,-5.4,,110,,167.2,134.4,
1985-10-01,-1.5,-8,-9.2,,109.3,,159.9,126.9,
1985-11-01,-1.8,-9.7,-11.1,,108.9,,155.6,122.1,
1985-12-01,-2,-10.7,-12.2,,108.7,,154.1,121.3,
1986-01-01,-3.1,-12.4,-17.2,,108.5,,155.1,121,
1986-02-01,-3.6,-16.5,-24,,107.8,,149.7,112.6,
1986-03-01,-3.6,-17.1,-31.6,,107.5,,147.5,100.5,
1986-04-01,-4.3,-16.6,-35.9,,106.6,,146.1,92.8,
1986-05-01,-4.1,-18.5,-40.6,,106.3,,142.5,85.6,
1986-06-01,-4.5,-17.3,-40.9,,105.5,,143.4,84.1,
1986-07-01,-4.9,-18,-43.6,,105.1,,140,78.3,
1986-08-01,-5.1,-18.2,-45.8,,104.5,,138.2,73.6,
1986-09-01,-5.6,-17,-44.6,,103.8,,138.9,74.4,
1986-10-01,-6,-12.4,-39.1,,102.7,,140,77.3,
1986-11-01,-5.9,-8,-34.8,,102.5,,143.1,79.5,
1986-12-01,-5.8,-7.2,-33.8,,102.4,,143.1,80.3,
1987-01-01,-6.1,-9.6,-33.9,,101.9,,140.2,80,
1987-02-01,-5.8,-6.9,-28.1,,101.6,,139.1,81,
1987-03-01,-5.4,-6.1,-19.2,,101.7,,138.8,81.3,
1987-04-01,-4.8,-7.5,-15.1,,101.5,,135.2,78.8,
1987-05-01,-4.6,-6.3,-8,,101.4,,133.6,78.8,
1987-06-01,-3.8,-5.1,-4.3,,101.5,,136.1,80.4,
1987-07-01,-2.9,-0.4,6.5,,101.9,,139.6,83.4,
1987-08-01,-2.2,0.4,14,,102.3,,138.8,84,
1987-09-01,-1.2,-1.6,11.1,,102.6,,136.7,82.7,
