"Date","経常収支","経常収支:貿易・サービス収支","経常収支:貿易・サービス収支:貿易収支","経常収支:貿易・サービス収支:貿易収支:輸出","経常収支:貿易・サービス収支:貿易収支:輸入","経常収支:貿易・サービス収支:サービス収支","経常収支:第一次所得収支","経常収支:第二次所得収支","資本移転等収支","金融収支","金融収支:直接投資","金融収支:証券投資","金融収支:金融派生商品","金融収支:その他投資","金融収支:外貨準備","誤差脱漏"
1996-01-01,342,-3099,2647,29260,26613,-5746,4133,-692,-323,-3784,1751,4092,-317,-10422,1112,-3803
1996-02-01,8609,3814,8521,35089,26568,-4707,5891,-1096,-173,5603,3869,13162,672,-29782,17682,-2834
1996-03-01,13154,8433,13175,39813,26638,-4742,6018,-1297,-1184,10618,2218,1828,865,1301,4406,-1352
1996-04-01,6176,-325,5276,35076,29799,-5601,7174,-674,-507,-884,4799,-24643,373,15760,2827,-6553
1996-05-01,4080,-1041,4061,32685,28625,-5102,5903,-782,89,8152,1892,4194,149,-833,2749,3983
1996-06-01,6361,3432,9006,35080,26073,-5574,3608,-679,-223,8781,2450,-11119,75,15402,1973,2643
1996-07-01,5450,909,6821,36608,29787,-5912,5276,-735,-314,6061,2409,1349,358,733,1211,925
1996-08-01,4778,50,5445,33142,27697,-5395,5462,-734,-266,3803,2320,10048,979,-11690,2147,-709
1996-09-01,7049,3452,9950,37253,27302,-6498,4279,-683,-225,4872,1337,26179,340,-24931,1947,-1952
1996-10-01,3758,-107,6795,38056,31261,-6902,4597,-732,-271,8965,1008,-788,966,6699,1081,5477
1996-11-01,7146,3059,8470,38024,29554,-5411,4804,-717,-189,11635,1876,14733,1935,-8191,1282,4677
1996-12-01,8041,4597,10177,40067,29890,-5581,4398,-954,48,8902,2718,-1951,1617,5512,1007,814
1997-01-01,1307,-2941,2464,34336,31872,-5405,5102,-855,-355,8938,2565,9712,796,-5314,1180,7987
1997-02-01,8950,3384,8703,38501,29797,-5319,6593,-1027,-719,8182,1060,5203,818,-1159,2258,-49
1997-03-01,10613,4739,10432,43690,33258,-5693,7849,-1975,-1216,21138,1248,24585,1126,-6922,1101,11741
1997-04-01,10847,3956,10107,42600,32493,-6151,7618,-727,-415,11232,3056,-10325,525,16271,1705,800
1997-05-01,8894,3828,9139,39263,30125,-5311,5898,-831,-134,9868,2224,-320,-897,7266,1596,1108
1997-06-01,9801,6119,10746,39404,28658,-4627,4529,-848,-231,6651,3183,6399,527,-4633,1176,-2919
1997-07-01,8822,4632,10458,40915,30457,-5826,4769,-579,-426,11512,2477,-13049,-129,20784,1428,3117
1997-08-01,8074,3071,9247,37641,28394,-6176,5623,-620,-217,5674,2097,9690,117,-7730,1500,-2183
1997-09-01,11437,7062,12877,42546,29669,-5815,4929,-554,-645,22599,2760,4279,1058,13093,1409,11807
1997-10-01,10830,6408,12969,44485,31516,-6561,5462,-1040,-189,12108,2017,10491,2977,-5633,2256,1467
1997-11-01,13055,8730,12498,40426,27928,-3769,4914,-589,-131,11150,1146,-26555,-385,35850,1093,-1775
1997-12-01,13070,8692,14070,44994,30924,-5377,5446,-1069,-201,23412,2076,-61513,632,91259,-9042,10544
1998-01-01,4661,204,5720,36964,31243,-5517,5321,-864,-870,9166,2126,5016,-86,597,1513,5375
1998-02-01,16657,10625,14739,39329,24591,-4114,6663,-630,-1808,11055,2097,23470,858,-17123,1752,-3794
1998-03-01,15484,9442,14351,43944,29593,-4909,8034,-1993,-3855,19563,4780,7358,1570,4625,1230,7934
1998-04-01,11193,6543,13700,41576,27877,-7157,5431,-781,-105,12492,2201,17528,-140,17390,-24487,1404
1998-05-01,13445,9122,14117,38648,24531,-4995,4934,-611,-165,18394,2017,9277,1817,3602,1681,5114
1998-06-01,12632,8789,13469,41135,27666,-4680,4790,-947,-853,21137,1717,-9028,853,28756,-1161,9358
1998-07-01,12940,8876,14895,43476,28582,-6018,4923,-860,-371,3604,2536,12602,205,-13538,1799,-8965
1998-08-01,11438,5654,11228,37997,26769,-5574,6531,-748,-716,9585,1570,7351,372,-1561,1854,-1136
1998-09-01,16040,11099,17201,43699,26499,-6102,5898,-957,-8916,8150,-3102,26320,-1733,-14906,1571,1026
1998-10-01,10730,7990,15242,41650,26408,-7252,3871,-1131,-461,6864,1770,-22251,-3174,28944,1575,-3406
