"Date","実質季節調整系列(前期比):国内総生産(支出側)","実質季節調整系列(前期比):民間最終消費支出","実質季節調整系列(前期比):民間最終消費支出:家計最終消費支出","実質季節調整系列(前期比):民間最終消費支出:家計最終消費支出:除く持ち家の帰属家賃","実質季節調整系列(前期比):民間住宅","実質季節調整系列(前期比):民間企業設備","実質季節調整系列(前期比):民間在庫変動","実質季節調整系列(前期比):政府最終消費支出","実質季節調整系列(前期比):公的固定資本形成","実質季節調整系列(前期比):公的在庫変動","実質季節調整系列(前期比):財貨・サービス:純輸出","実質季節調整系列(前期比):財貨・サービス:輸出","実質季節調整系列(前期比):財貨・サービス:輸入"
1994-06-01,-0.9,-0.2,-0.2,-0.3,4.7,-0.7,,1.4,2.1,,,0.5,1.6
1994-09-01,1.6,1.5,1.5,1.6,9,-0.1,,0.7,-3.6,,,1.8,3
1994-12-01,-0.6,-0.3,-0.3,-0.5,-4.5,2,,0.2,-1.5,,,0.5,0.9
1995-03-01,1,0.6,0.6,0.6,-3.6,2.7,,2,-4.5,,,1.2,3.5
1995-06-01,1.2,1.2,1.2,1.3,-3.1,4,,0.4,4.2,,,1.6,2.9
1995-09-01,1.2,0.7,0.7,0.7,-2.4,1.6,,1.1,7.8,,,0.9,5.5
1995-12-01,0.2,0.7,0.7,0.7,2.6,1.5,,0.2,0.3,,,-0.3,4.7
1996-03-01,1.2,0.4,0.4,0.4,4.1,-0.8,,0.8,5.1,,,1.6,1.4
1996-06-01,0.8,0.4,0.4,0.4,5.1,3.3,,0.1,-1.3,,,-0.1,3
1996-09-01,0,0,-0.1,-0.2,4.1,1.6,,0.5,-4.5,,,2.8,-0.2
1996-12-01,1.2,1,1.1,1.1,2.3,0.1,,1.4,-2.4,,,4.3,1.1
1997-03-01,0.5,2,2,2.3,-4,1,,-0.1,-1.8,,,3.1,1.1
1997-06-01,-1.1,-3.3,-3.4,-4,-10.7,0.4,,0.2,0.1,,,4.3,-1.9
1997-09-01,0.6,0.8,0.8,0.9,-7,0.6,,-0.2,0.9,,,-1.5,-0.4
1997-12-01,0.2,0.1,0.1,0,-4.5,2.6,,0.6,-5,,,2.3,-2.1
1998-03-01,-1.4,-0.5,-0.7,-0.8,-0.4,-1.7,,-0.2,-5.7,,,-2.6,-0.7
1998-06-01,-0.4,-0.1,-0.2,-0.4,-2.2,-0.8,,0.8,-1,,,-1.9,-4.5
1998-09-01,0.2,0.7,0.7,0.7,-2.7,-0.8,,0.5,4.7,,,0.2,0.1
1998-12-01,1.1,0.4,0.4,0.4,-3.2,-3.1,,0.6,10.4,,,-1.8,-2.5
1999-03-01,-1.5,0,0,-0.2,-0.5,-2.5,,1.2,0.5,,,0.2,3
1999-06-01,0.5,0.4,0.3,0.3,7.2,0.6,,0.9,-1.7,,,0.9,1.9
1999-09-01,0.4,0.4,0.4,0.3,1.5,-0.4,,1.1,-3.2,,,4.1,2.6
1999-12-01,0.1,0.2,0.2,0.1,-4.6,1.6,,0.4,-0.4,,,2.4,3
2000-03-01,1.9,1,1.1,1.2,0.2,3.7,,1.3,-5.5,,,5.2,-0.2
2000-06-01,0.2,-0.5,-0.4,-0.5,2.1,-1.5,,1.2,-0.5,,,3.2,3.9
2000-09-01,0,0.2,0.3,0.3,-2.4,3.3,,0.7,-2,,,1.6,2.5
2000-12-01,1,1.2,1.2,1.3,2.6,3.5,,0.6,-3.2,,,-0.5,3.7
2001-03-01,0.7,0.6,0.6,0.6,-0.5,0.1,,0.3,4.6,,,-3.6,0.2
2001-06-01,-0.6,0.7,0.7,0.7,-6.4,-2.8,,1.9,-5.7,,,-3.7,-2.3
2001-09-01,-1.1,-0.3,-0.4,-0.5,-0.7,-1.6,,0.5,0,,,-2.3,-2.9
2001-12-01,-0.2,0.2,0.2,0.1,0.4,-4.7,,1.4,-2.5,,,-1.9,-3
2002-03-01,0.1,0.2,0.2,0.2,-1,-0.6,,0.2,1.1,,,4.5,0.9
2002-06-01,0.8,0.8,0.9,1,0.5,-1.4,,0.4,-2.6,,,7.3,2.9
2002-09-01,0.4,0.3,0.4,0.4,-0.8,1.4,,0.8,-0.3,,,0.7,3
2002-12-01,0.4,-0.1,-0.1,-0.3,-1.7,0.5,,-0.2,-1.5,,,3.5,1.6
2003-03-01,-0.3,-0.1,-0.2,-0.3,-1,0,,0.6,-3.3,,,1.3,0.9
2003-06-01,0.9,0.2,0.1,0,0.8,2,,0.9,0.4,,,0.2,-3.4
2003-09-01,0.4,0.1,0,-0.1,2.2,-1.7,,0.4,-2.8,,,3.6,2.3
2003-12-01,1.1,1.3,1.3,1.5,-2,4.5,,0.5,-2.3,,,5,2.1
2004-03-01,0.9,0.2,0.2,0.1,0.5,-0.2,,0.4,-4.6,,,4.9,3
2004-06-01,-0.1,0,0,0,2.1,-0.2,,-0.3,-0.7,,,3.2,1.6
2004-09-01,0.5,0.5,0.5,0.5,0.1,1.1,,0.4,-1.9,,,0.9,2.2
2004-12-01,-0.4,-0.8,-0.8,-1,-0.6,2,,-0.1,-1.3,,,1.3,2.9
2005-03-01,0.5,0.4,0.4,0.4,-0.8,3.3,,1,-2.1,,,-1,-0.4
2005-06-01,0.9,0.9,0.9,1,-1.5,3.5,,-0.4,-6.2,,,4.3,1.7
