"Date","実質季節調整系列:国内総生産(支出側)","実質季節調整系列:民間最終消費支出","実質季節調整系列:民間最終消費支出:家計最終消費支出","実質季節調整系列:民間最終消費支出:家計最終消費支出:除く持ち家の帰属家賃","実質季節調整系列:民間住宅","実質季節調整系列:民間企業設備","実質季節調整系列:民間在庫変動","実質季節調整系列:政府最終消費支出","実質季節調整系列:公的固定資本形成","実質季節調整系列:公的在庫変動","実質季節調整系列:財貨・サービス:純輸出","実質季節調整系列:財貨・サービス:輸出","実質季節調整系列:財貨・サービス:輸入","実質季節調整系列:開差"
1994-03-01,425598.9,243131.5,239049.9,202446.4,24842.4,60160.5,3808.3,70584.5,44413.4,-716.7,-9150.2,33923.4,43073.6,-11474.8
1994-06-01,421812,242713.6,238591.4,201817.8,26021,59749.4,-2723.4,71541.4,45332.2,785.3,-9661,34107.3,43768.3,-11946.4
1994-09-01,428451.1,246283.7,242143.6,205098.4,28366.1,59661,-64.1,72019.3,43681.3,975.1,-10343.7,34735.6,45079.3,-12127.6
1994-12-01,426034.4,245497.6,241315.1,204118.9,27078.9,60824.5,-1409.1,72159.5,43010.2,1015.2,-10601,34897.7,45498.7,-11541.4
1995-03-01,430299.9,247086.9,242841.8,205439.5,26096.3,62462.5,2273,73635.7,41094.9,-90.3,-11786.9,35325.1,47112,-10472.2
1995-06-01,435620.9,250013,245698.5,208067.5,25299.7,64990.4,1072.5,73962,42827.1,258.1,-12579.8,35877,48456.7,-10222.1
1995-09-01,440854.1,251697.5,247319.2,209492.2,24680.7,66029.7,2011.1,74812.5,46151,183.8,-14937.4,36199.3,51136.7,-9774.9
1995-12-01,441692.5,253348.4,248939.2,210902.8,25322.1,67046.5,1109.4,74947.1,46285.3,265.2,-17456.1,36105,53561.1,-9175.4
1996-03-01,446782.3,254442.5,250030.3,211792.2,26364,66541.2,1852.5,75536,48665.5,719.1,-17623,36675.8,54298.8,-9715.5
1996-06-01,450410.1,255478.6,251053.7,212602.3,27716.5,68710.2,3032.4,75584.3,48045.8,238.5,-19275.3,36655.3,55930.7,-9120.9
1996-09-01,450363.8,255355.3,250902.8,212249,28849.1,69800.7,1242.6,75960.2,45867,270.3,-18130.7,37695.6,55826.4,-8850.6
