"Date","世帯数分布(抽出率調整)","集計世帯数","世帯人員(人)","有業人員(人)","世帯主の年齢(歳)","44品目計","01:ｽﾏｰﾄﾌｫﾝ・携帯電話・PHSの通信・通話使用料","02:インターネット接続料","03:たんす","04:ベッド","05:布団","06:食器戸棚","07:応接セット","08:楽器(部品を含む)","09:背広服","10:婦人用スーツ･ワンピース","11:和服(男子用･婦人用)","12:腕時計","13:装身具(アクセサリー類)","14:自動車(新車)","15:自動車(中古車)","16:自動車保険料(自賠責)","17:自動車保険料(任意)","18:自動車以外の原動機付輸送機器","19:自動車整備費","20:家屋に関する設備費･工事費･修理費","21:給排水関係工事費","22:庭・植木の手入れ代","23:冷蔵庫","24:掃除機","25:洗濯機","26:エアコン","27:パソコン(ﾀﾌﾞﾚｯﾄ型を含む。周辺機器・ｿﾌﾄは除く)","28:スマートフォン・携帯電話・PHSの本体価格","29:テレビ","30:ビデオデッキ","31:ゲーム機(ソフトは除く)","32:カメラ(使い捨てのカメラは除く)","33:ビデオカメラ","34:出産入院料","35:出産以外の入院料","36:自動車教習料","37:航空運賃","38:宿泊料","39:パック旅行費(国内)","40:パック旅行費(外国)","41:スポーツ施設使用料","42:挙式･披露宴費用","43:葬儀･法事費用","44:信仰関係費","支出総額に記入のあった世帯数","支出総額に記入のあった世帯(1万分比)","支出総額","うち食費","うち仕送り金及び贈与金"
2015-01-01,10000,8363,3.32,1.87,52.7,72689,14399,4074,104,93,344,183,196,391,959,1058,314,352,817,9344,3994,822,3517,258,4675,4702,627,123,412,579,684,662,1149,940,613,320,203,209,56,181,1581,1219,913,1944,2237,1731,986,412,2528,1784,7583,9064,333680,81428,15466
2015-02-01,10000,8085,3.32,1.86,52.5,82814,14253,3997,103,325,268,167,215,237,904,1265,343,291,557,17577,5317,1032,3780,211,5078,5664,639,299,457,302,506,481,868,967,587,280,95,173,39,49,1511,1349,783,1650,2369,1618,839,1035,3433,901,7629,9438,326109,77862,11117
2015-03-01,10000,7691,3.32,1.84,52.6,92612,14161,3955,154,372,434,103,331,111,2063,1633,326,383,633,18508,5417,1234,4738,314,5378,8370,876,151,910,439,740,479,1657,1397,852,240,121,283,116,76,1467,780,958,2056,2774,2096,992,917,2418,1200,7334,9544,345145,80300,15433
2015-04-01,10000,7744,3.33,1.85,52.4,75336,14177,3822,133,294,284,57,320,185,1042,841,358,241,401,11881,3360,895,4205,700,4355,7704,1143,235,680,328,454,287,1110,897,500,184,118,253,47,89,1725,530,803,1616,2451,1158,919,1733,1340,1482,7344,9492,345554,79344,15025
2015-05-01,10000,7802,3.33,1.85,51.9,76122,13962,3765,114,257,300,132,313,266,1003,713,628,186,691,9945,4177,1040,4130,217,4246,6927,1426,442,598,371,584,1188,939,917,303,121,67,272,113,116,1658,636,1097,2439,2460,1207,840,1642,2567,1106,7354,9445,325983,80385,12633
2015-06-01,10000,7557,3.33,1.83,51.3,68244,13986,3687,152,247,331,69,233,248,791,784,201,272,496,7184,2867,818,3470,224,4524,8073,868,305,685,314,464,1075,862,1130,404,152,71,244,81,228,1526,474,1054,1510,2253,1217,849,653,2281,885,7084,9378,307370,76508,11504
2015-07-01,10000,7597,3.33,1.85,51.7,81127,13790,3682,41,270,321,161,165,160,716,792,292,501,530,13370,4412,902,3119,393,4161,6368,1379,363,1137,349,675,3389,926,728,480,150,88,237,77,371,1287,915,946,2677,4455,2643,839,283,1819,766,7191,9464,321384,79309,11462
2015-08-01,10000,7600,3.32,1.85,51.7,77979,14043,3760,60,248,314,43,269,166,451,699,690,106,608,8791,3205,676,2923,181,3868,6264,1138,247,1392,391,587,2397,731,784,508,186,95,250,86,141,1299,717,1334,5605,4878,2337,905,973,2351,1281,7212,9497,324501,83610,12884
2015-09-01,10000,7774,3.33,1.86,51.6,67710,14453,3855,58,198,316,73,640,153,555,687,350,365,392,10014,2959,715,3241,180,3900,5846,747,287,697,247,553,418,795,903,543,188,99,142,158,517,1155,524,1032,2428,2728,948,789,270,1674,920,7486,9632,317948,79555,12376
2015-10-01,10000,7194,3.32,1.86,52.1,74325,14469,3838,73,344,499,95,142,159,859,742,425,322,548,11263,4056,764,3163,243,4223,8021,724,477,527,285,549,282,956,966,329,152,119,124,74,178,1499,437,841,2018,2544,1670,853,2318,1402,753,7031,9770,329160,80057,14737
