"ID","期間","1.対外証券投資【居住者による取得・処分】:株式・投資ファンド持分:取得","1.対外証券投資【居住者による取得・処分】:株式・投資ファンド持分:処分","1.対外証券投資【居住者による取得・処分】:株式・投資ファンド持分:ネット","1.対外証券投資【居住者による取得・処分】:中長期債:取得","1.対外証券投資【居住者による取得・処分】:中長期債:処分","1.対外証券投資【居住者による取得・処分】:中長期債:ネット","1.対外証券投資【居住者による取得・処分】:小計:ネット","1.対外証券投資【居住者による取得・処分】:短期債:取得","1.対外証券投資【居住者による取得・処分】:短期債:処分","1.対外証券投資【居住者による取得・処分】:短期債:ネット","1.対外証券投資【居住者による取得・処分】:合計:ネット","2.対内証券投資【非居住者による取得・処分】:株式・投資ファンド持分:取得","2.対内証券投資【非居住者による取得・処分】:株式・投資ファンド持分:処分","2.対内証券投資【非居住者による取得・処分】:株式・投資ファンド持分:ネット","2.対内証券投資【非居住者による取得・処分】:中長期債:取得","2.対内証券投資【非居住者による取得・処分】:中長期債:処分","2.対内証券投資【非居住者による取得・処分】:中長期債:ネット","2.対内証券投資【非居住者による取得・処分】:小計:ネット","2.対内証券投資【非居住者による取得・処分】:短期債:取得","2.対内証券投資【非居住者による取得・処分】:短期債:処分","2.対内証券投資【非居住者による取得・処分】:短期債:ネット","2.対内証券投資【非居住者による取得・処分】:合計:ネット"
1,"2005．1．2～ 1．8",1689,1419,270,23929,15051,8878,9149,1662,1001,662,9811,17853,15575,2278,15867,11675,4192,6470,7885,3991,3894,10363
2,"2005．1．9～ 1．15",2317,2309,8,20658,16950,3708,3716,2448,3119,-671,3045,21502,19322,2180,15507,9521,5986,8166,10453,8992,1461,9627
3,"2005．1．16～ 1．22",2860,2130,730,20229,22957,-2729,-1998,1920,1380,540,-1458,22001,20443,1558,13032,11996,1036,2594,9155,5437,3718,6312
4,"2005．1．23～ 1．29",2562,2169,394,19725,23219,-3495,-3101,2135,3277,-1142,-4243,23431,20721,2710,22254,15867,6387,9097,9809,7151,2658,11755
5,"2005．1．30～ 2．5",4001,3378,623,25040,22815,2226,2849,2184,2574,-390,2459,26118,22548,3571,20172,16209,3963,7533,5278,4260,1018,8551
6,"2005．2．6～ 2．12",1357,1484,-126,22376,30038,-7663,-7789,763,482,281,-7507,20295,19617,678,15590,13301,2290,2968,4801,6982,-2181,787
7,"2005．2．13～ 2．19",2767,3801,-1034,18065,21066,-3001,-4035,1010,934,76,-3960,27774,24345,3429,21881,19026,2855,6284,4966,10573,-5608,676
8,"2005．2．20～ 2．26",2863,2515,348,22246,19122,3124,3472,1649,2381,-732,2740,24492,22681,1811,13251,18545,-5294,-3483,4788,4821,-33,-3516
9,"2005．2．27～ 3．5",3992,3801,191,22331,28118,-5787,-5596,481,1217,-735,-6331,28070,24613,3456,22004,24726,-2722,734,1793,6425,-4632,-3898
10,"2005．3．6～ 3．12",2407,2722,-314,18956,20811,-1856,-2170,762,1056,-293,-2463,34848,29637,5211,20030,16793,3237,8448,6504,5212,1292,9740
11,"2005．3．13～ 3．19",3004,3392,-388,17072,15059,2012,1624,3108,2787,321,1945,25840,25285,554,17333,14993,2340,2895,6106,7159,-1053,1842
