"Date","新設住宅着工戸数(戸)","新設住宅着工戸数前年比(%)"
1965-01-01,54772,
1965-02-01,62092,
1965-03-01,61206,
1965-04-01,72861,
1965-05-01,64390,
1965-06-01,73223,
1965-07-01,74464,
1965-08-01,69585,
1965-09-01,72798,
1965-10-01,84160,
1965-11-01,83541,
1965-12-01,69504,
1966-01-01,54260,-0.9
1966-02-01,62383,0.5
1966-03-01,63939,4.5
1966-04-01,69342,-4.8
1966-05-01,67754,5.2
1966-06-01,79751,8.9
1966-07-01,84633,13.7
1966-08-01,74477,7
1966-09-01,73586,1.1
1966-10-01,77443,-8
1966-11-01,82221,-1.6
1966-12-01,66790,-3.9
1967-01-01,65165,20.1
1967-02-01,64568,3.5
1967-03-01,75700,18.4
1967-04-01,89108,28.5
1967-05-01,76704,13.2
1967-06-01,80325,0.7
1967-07-01,85929,1.5
1967-08-01,94232,26.5
1967-09-01,87735,19.2
1967-10-01,88414,14.2
1967-11-01,95451,16.1
1967-12-01,87827,31.5
1968-01-01,82079,26
1968-02-01,85152,31.9
1968-03-01,88935,17.5
1968-04-01,104057,16.8
1968-05-01,99829,30.1
1968-06-01,101121,25.9
1968-07-01,97256,13.2
1968-08-01,102261,8.5
1968-09-01,113211,29
1968-10-01,107736,21.9
1968-11-01,114340,19.8
1968-12-01,105698,20.3
1969-01-01,86008,4.8
1969-02-01,89330,4.9
1969-03-01,92665,4.2
1969-04-01,111136,6.8
1969-05-01,106884,7.1
1969-06-01,129445,28
1969-07-01,128713,32.3
1969-08-01,127494,24.7
1969-09-01,128711,13.7
1969-10-01,112616,4.5
1969-11-01,117584,2.8
1969-12-01,116026,9.8
1970-01-01,100192,16.5
1970-02-01,108122,21
1970-03-01,120817,30.4
1970-04-01,129112,16.2
1970-05-01,117749,10.2
1970-06-01,139099,7.5
1970-07-01,139405,8.3
1970-08-01,136048,6.7
1970-09-01,123915,-3.7
1970-10-01,119561,6.2
1970-11-01,125159,6.4
1970-12-01,125377,8.1
1971-01-01,128192,27.9
1971-02-01,90769,-16
1971-03-01,116486,-3.6
1971-04-01,114896,-11
1971-05-01,111820,-5
1971-06-01,121004,-13
1971-07-01,138009,-1
1971-08-01,131246,-3.5
1971-09-01,129190,4.3
1971-10-01,131649,10.1
1971-11-01,125549,0.3
1971-12-01,124950,-0.3
1972-01-01,102353,-20.2
1972-02-01,106556,17.4
1972-03-01,195268,67.6
1972-04-01,139620,21.5
1972-05-01,139093,24.4
1972-06-01,155508,28.5
1972-07-01,159364,15.5
1972-08-01,153369,16.9
1972-09-01,160019,23.9
1972-10-01,162622,23.5
1972-11-01,166814,32.9
1972-12-01,166995,33.6
1973-01-01,142373,39.1
1973-02-01,141531,32.8
1973-03-01,175637,-10.1
1973-04-01,170230,21.9
1973-05-01,151860,9.2
1973-06-01,156509,0.6
1973-07-01,165026,3.6
1973-08-01,158960,3.6
1973-09-01,173125,8.2
1973-10-01,160747,-1.2
1973-11-01,154158,-7.6
1973-12-01,154956,-7.2
1974-01-01,107315,-24.6
1974-02-01,103179,-27.1
1974-03-01,107120,-39
1974-04-01,99003,-41.8
1974-05-01,99862,-34.2
1974-06-01,106219,-32.1
1974-07-01,138692,-16
1974-08-01,134235,-15.6
1974-09-01,121401,-29.9
1974-10-01,106996,-33.4
1974-11-01,95545,-38
1974-12-01,96533,-37.7
1975-01-01,70523,-34.3
1975-02-01,82610,-19.9
1975-03-01,109675,2.4
1975-04-01,114724,15.9
1975-05-01,105211,5.4
1975-06-01,114653,7.9
1975-07-01,141439,2
1975-08-01,128873,-4
1975-09-01,113813,-6.3
1975-10-01,120573,12.7
1975-11-01,109512,14.6
1975-12-01,144680,49.9
1976-01-01,106954,51.7
1976-02-01,107467,30.1
1976-03-01,119820,9.3
1976-04-01,131043,14.2
1976-05-01,121969,15.9
1976-06-01,136964,19.5
1976-07-01,158019,11.7
1976-08-01,138610,7.6
1976-09-01,121781,7
1976-10-01,124135,3
1976-11-01,117682,7.5
1976-12-01,139400,-3.6
1977-01-01,116488,8.9
1977-02-01,105997,-1.4
1977-03-01,118387,-1.2
1977-04-01,143667,9.6
1977-05-01,116568,-4.4
1977-06-01,118784,-13.3
1977-07-01,139617,-11.6
1977-08-01,145663,5.1
1977-09-01,120688,-0.9
1977-10-01,121495,-2.1
1977-11-01,128191,8.9
1977-12-01,132715,-4.8
1978-01-01,109527,-6
1978-02-01,117854,11.2
1978-03-01,137190,15.9
1978-04-01,139680,-2.8
1978-05-01,115095,-1.3
1978-06-01,155636,31
1978-07-01,151718,8.7
1978-08-01,116230,-20.2
1978-09-01,109273,-9.5
1978-10-01,123946,2
1978-11-01,140088,9.3
1978-12-01,133125,0.3
1979-01-01,85586,-21.9
1979-02-01,97317,-17.4
1979-03-01,130744,-4.7
1979-04-01,156228,11.8
1979-05-01,117080,1.7
1979-06-01,142204,-8.6
1979-07-01,158442,4.4
1979-08-01,133878,15.2
1979-09-01,122141,11.8
1979-10-01,117950,-4.8
1979-11-01,114313,-18.4
1979-12-01,117140,-12
1980-01-01,89500,4.6
1980-02-01,94500,-2.9
1980-03-01,123272,-5.7
1980-04-01,139877,-10.5
1980-05-01,106126,-9.4
1980-06-01,116597,-18
1980-07-01,116588,-26.4
1980-08-01,102929,-23.1
1980-09-01,97386,-20.3
1980-10-01,94113,-20.2
1980-11-01,88438,-22.6
1980-12-01,99300,-15.2
1981-01-01,67717,-24.3
1981-02-01,87611,-7.3
1981-03-01,97177,-21.2
1981-04-01,119576,-14.5
1981-05-01,119272,12.4
1981-06-01,108925,-6.6
1981-07-01,97192,-16.6
1981-08-01,93100,-9.5
1981-09-01,92009,-5.5
1981-10-01,87971,-6.5
1981-11-01,86643,-2
1981-12-01,94506,-4.8
1982-01-01,66198,-2.2
1982-02-01,79426,-9.3
1982-03-01,97914,0.8
1982-04-01,106062,-11.3
1982-05-01,92995,-22
1982-06-01,106875,-1.9
1982-07-01,104736,7.8
1982-08-01,97689,4.9
1982-09-01,98320,6.9
1982-10-01,101025,14.8
1982-11-01,98420,13.6
1982-12-01,96489,2.1
1983-01-01,79896,20.7
1983-02-01,83521,5.2
1983-03-01,91072,-7
1983-04-01,102031,-3.8
1983-05-01,82605,-11.2
1983-06-01,106721,-0.1
1983-07-01,101224,-3.4
1983-08-01,96047,-1.7
1983-09-01,94691,-3.7
1983-10-01,98989,-2
1983-11-01,96863,-1.6
1983-12-01,103137,6.9
1984-01-01,70543,-11.7
1984-02-01,85819,2.8
1984-03-01,96197,5.6
1984-04-01,113173,10.9
1984-05-01,96449,16.8
1984-06-01,106009,-0.7
1984-07-01,107625,6.3
1984-08-01,100139,4.3
1984-09-01,98334,3.8
1984-10-01,104737,5.8
1984-11-01,99943,3.2
1984-12-01,108314,5
1985-01-01,77527,9.9
1985-02-01,90942,6
1985-03-01,103955,8.1
1985-04-01,116794,3.2
1985-05-01,99660,3.3
1985-06-01,112363,6
1985-07-01,107110,-0.5
1985-08-01,95388,-4.7
1985-09-01,101454,3.2
1985-10-01,110395,5.4
1985-11-01,106417,6.5
1985-12-01,114067,5.3
1986-01-01,84856,9.5
1986-02-01,96325,5.9
1986-03-01,106165,2.1
1986-04-01,115805,-0.8
1986-05-01,104686,5
1986-06-01,117670,4.7
1986-07-01,121542,13.5
1986-08-01,113918,19.4
1986-09-01,122652,20.9
1986-10-01,126805,14.9
1986-11-01,125406,17.8
1986-12-01,128779,12.9
1987-01-01,93554,10.3
1987-02-01,109254,13.4
1987-03-01,119762,12.8
1987-04-01,138208,19.3
1987-05-01,130493,24.7
1987-06-01,150704,28.1
1987-07-01,154578,27.2
1987-08-01,149134,30.9
1987-09-01,155493,26.8
1987-10-01,160509,26.6
1987-11-01,157022,25.2
1987-12-01,155589,20.8
1988-01-01,111376,19
1988-02-01,127945,17.1
1988-03-01,137483,14.8
1988-04-01,140929,2
1988-05-01,135916,4.2
1988-06-01,153525,1.9
1988-07-01,151617,-1.9
1988-08-01,152342,2.2
1988-09-01,144566,-7
1988-10-01,146851,-8.5
1988-11-01,139174,-11.4
1988-12-01,142920,-8.1
1989-01-01,102183,-8.3
1989-02-01,115750,-9.5
1989-03-01,136843,-0.5
1989-04-01,147091,4.4
1989-05-01,135306,-0.4
1989-06-01,150241,-2.1
1989-07-01,148975,-1.7
1989-08-01,143166,-6
1989-09-01,144610,0
1989-10-01,150935,2.8
1989-11-01,143694,3.2
1989-12-01,143818,0.6
1990-01-01,108644,6.3
1990-02-01,122241,5.6
1990-03-01,134062,-2
1990-04-01,147845,0.5
1990-05-01,146627,8.4
1990-06-01,162007,7.8
1990-07-01,158367,6.3
1990-08-01,143070,-0.1
1990-09-01,152093,5.2
1990-10-01,151938,0.7
1990-11-01,138354,-3.7
1990-12-01,141861,-1.4
1991-01-01,104097,-4.2
1991-02-01,106957,-12.5
1991-03-01,112151,-16.3
1991-04-01,119839,-18.9
1991-05-01,114239,-22.1
1991-06-01,127079,-21.6
1991-07-01,125160,-21
1991-08-01,110478,-22.8
1991-09-01,111645,-26.6
1991-10-01,113153,-25.5
1991-11-01,111477,-19.4
1991-12-01,113851,-19.7
1992-01-01,87066,-16.4
1992-02-01,99436,-7
1992-03-01,109554,-2.3
1992-04-01,120341,0.4
1992-05-01,114127,-0.1
1992-06-01,128397,1
1992-07-01,131243,4.9
1992-08-01,123783,12
1992-09-01,123224,10.4
1992-10-01,124816,10.3
1992-11-01,120600,8.2
1992-12-01,120003,5.4
1993-01-01,87868,0.9
1993-02-01,105693,6.3
1993-03-01,119657,9.2
1993-04-01,121651,1.1
1993-05-01,114637,0.4
1993-06-01,133712,4.1
1993-07-01,137340,4.6
1993-08-01,137281,10.9
1993-09-01,136339,10.6
1993-10-01,134527,7.8
1993-11-01,131129,8.7
1993-12-01,125850,4.9
1994-01-01,106097,20.7
1994-02-01,112372,6.3
1994-03-01,118852,-0.7
1994-04-01,135810,11.6
1994-05-01,130096,13.5
1994-06-01,147909,10.6
1994-07-01,145373,5.8
1994-08-01,139753,1.8
1994-09-01,132647,-2.7
1994-10-01,134853,0.2
1994-11-01,136983,4.5
1994-12-01,129507,2.9
1995-01-01,100184,-5.6
1995-02-01,114351,1.8
1995-03-01,113154,-4.8
1995-04-01,124091,-8.6
1995-05-01,115648,-11.1
1995-06-01,124735,-15.7
1995-07-01,129125,-11.2
1995-08-01,118726,-15
1995-09-01,125639,-5.3
1995-10-01,131792,-2.3
1995-11-01,137180,0.1
1995-12-01,135705,4.8
1996-01-01,107401,7.2
1996-02-01,112216,-1.9
1996-03-01,122394,8.2
1996-04-01,139312,12.3
1996-05-01,136571,18.1
1996-06-01,136675,9.6
1996-07-01,157114,21.7
1996-08-01,135748,14.3
1996-09-01,147505,17.4
1996-10-01,159987,21.4
1996-11-01,150749,9.9
1996-12-01,137594,1.4
1997-01-01,105375,-1.9
1997-02-01,110530,-1.5
1997-03-01,113218,-7.5
1997-04-01,126318,-9.3
1997-05-01,123478,-9.6
1997-06-01,120842,-11.6
1997-07-01,113495,-27.8
1997-08-01,112004,-17.5
1997-09-01,114721,-22.2
