"Date","新設住宅着工戸数(戸,季節調整値)","新設住宅着工戸数季節調整値前月比(%)"
1967-01-01,77756,
1967-02-01,75589,-2.8
1967-03-01,81125,7.3
1967-04-01,84647,4.3
1967-05-01,80075,-5.4
1967-06-01,75095,-6.2
1967-07-01,79095,5.3
1967-08-01,86169,8.9
1967-09-01,81754,-5.1
1967-10-01,88095,7.8
1967-11-01,90826,3.1
1967-12-01,88814,-2.2
1968-01-01,98317,10.7
1968-02-01,99855,1.6
1968-03-01,94663,-5.2
1968-04-01,99357,5
1968-05-01,104322,5
1968-06-01,94612,-9.3
1968-07-01,89014,-5.9
1968-08-01,93531,5.1
1968-09-01,105924,13.3
1968-10-01,106965,1
1968-11-01,109047,1.9
1968-12-01,106388,-2.4
1969-01-01,103662,-2.6
1969-02-01,104908,1.2
1969-03-01,97819,-6.8
1969-04-01,107224,9.6
1969-05-01,111614,4.1
1969-06-01,120825,8.3
1969-07-01,116893,-3.3
1969-08-01,117360,0.4
1969-09-01,120719,2.9
1969-10-01,111188,-7.9
1969-11-01,112597,1.3
1969-12-01,115785,2.8
1970-01-01,121600,5
1970-02-01,127847,5.1
1970-03-01,125671,-1.7
1970-04-01,126047,0.3
1970-05-01,123060,-2.4
1970-06-01,130181,5.8
1970-07-01,125644,-3.5
1970-08-01,126186,0.4
1970-09-01,115992,-8.1
1970-10-01,117042,0.9
1970-11-01,120618,3.1
1970-12-01,123783,2.6
1971-01-01,156379,26.3
1971-02-01,107999,-30.9
1971-03-01,120091,11.2
1971-04-01,113121,-5.8
1971-05-01,117395,3.8
1971-06-01,114303,-2.6
1971-07-01,122716,7.4
1971-08-01,122374,-0.3
1971-09-01,120425,-1.6
1971-10-01,127818,6.1
1971-11-01,121992,-4.6
1971-12-01,122212,0.2
1972-01-01,125451,2.7
1972-02-01,128343,2.3
1972-03-01,198974,55
1972-04-01,137702,-30.8
1972-05-01,146893,6.7
1972-06-01,149664,1.9
1972-07-01,139148,-7
1972-08-01,142744,2.6
1972-09-01,149117,4.5
1972-10-01,156544,5
1972-11-01,164557,5.1
1972-12-01,162315,-1.4
1973-01-01,174195,7.3
1973-02-01,171430,-1.6
1973-03-01,179100,4.5
1973-04-01,167246,-6.6
1973-05-01,160861,-3.8
1973-06-01,152599,-5.1
1973-07-01,141066,-7.6
1973-08-01,147524,4.6
1973-09-01,162430,10.1
1973-10-01,154702,-4.8
1973-11-01,155063,0.2
1973-12-01,149837,-3.4
1974-01-01,130336,-13
1974-02-01,125333,-3.8
1974-03-01,109501,-12.6
1974-04-01,95930,-12.4
1974-05-01,105935,10.4
1974-06-01,104574,-1.3
1974-07-01,116809,11.7
1974-08-01,123286,5.5
1974-09-01,115584,-6.2
1974-10-01,104071,-10
1974-11-01,98041,-5.8
1974-12-01,92868,-5.3
1975-01-01,85044,-8.4
1975-02-01,99572,17.1
1975-03-01,112749,13.2
1975-04-01,109220,-3.1
1975-05-01,112071,2.6
1975-06-01,112692,0.6
1975-07-01,117460,4.2
1975-08-01,116906,-0.5
1975-09-01,111073,-5
1975-10-01,119407,7.5
1975-11-01,114451,-4.2
1975-12-01,138898,21.4
1976-01-01,128811,-7.3
1976-02-01,129250,0.3
1976-03-01,122175,-5.5
1976-04-01,121256,-0.8
1976-05-01,130409,7.5
1976-06-01,133735,2.6
1976-07-01,130390,-2.5
1976-08-01,124851,-4.2
1976-09-01,122480,-1.9
1976-10-01,125101,2.1
