"Date","マネーストック(月次):M2/平残前年比/マネーストック(2004年3月以前はマネーサプライ)(%)","マネーストック(月次):M3/平残前年比/マネーストック(2004年3月以前はマネーサプライ)(%)","マネーストック(月次):_M1/平残前年比/マネーストック(2004年3月以前はマネーサプライ)(%)","マネーストック(月次):広義流動性/平残前年比/マネーストック(2004年3月以前はマネーサプライ)(%)","マネーストック(月次):__現金通貨/平残前年比/マネーストック(2004年3月以前はマネーサプライ)(%)","マネーストック(月次):__預金通貨/平残前年比/マネーストック(2004年3月以前はマネーサプライ)(%)","マネーストック(月次):_準通貨/平残前年比/マネーストック(2004年3月以前はマネーサプライ)(%)","マネーストック(月次):_CD/平残前年比/マネーストック(2004年3月以前はマネーサプライ)(%)","マネーストック(月次):M2/平/マネーストック(億円)","マネーストック(月次):M3/平/マネーストック(億円)","マネーストック(月次):_M1/平/マネーストック(億円)","マネーストック(月次):広義流動性/平/マネーストック(億円)","マネーストック(月次):__現金通貨/平/マネーストック(億円)","マネーストック(月次):__預金通貨/平/マネーストック(億円)","マネーストック(月次):_準通貨/平/マネーストック(億円)","マネーストック(月次):_CD/平/マネーストック(億円)"
1980-01-01,10.6,,6.5,,8.6,6,11.7,,,,,,,,,
1980-02-01,10.8,,7,,9.2,6.4,11.6,,,,,,,,,
1980-03-01,10.6,,8.1,,9.7,7.6,11,,,,,,,,,
1980-04-01,10.4,,7,,9.5,6.4,11.1,,,,,,,,,
1980-05-01,10.3,,4.1,,7.9,3.2,12.4,1022.8,,,,,,,,
1980-06-01,9.6,,3,,8.2,1.6,12,284.4,,,,,,,,
1980-07-01,8.8,,0.5,,6.3,-1,12.1,186.4,,,,,,,,
1980-08-01,8.3,,-1.2,,4.9,-2.9,12.5,118.8,,,,,,,,
1980-09-01,8,,-0.1,,4.8,-1.4,11.7,89.6,,,,,,,,
1980-10-01,7.6,,-0.8,,4.2,-2.1,11.5,63.5,,,,,,,,
1980-11-01,7.9,,-0.9,,4,-2.2,11.9,64.6,,,,,,,,
1980-12-01,7.8,,-1.5,,3.1,-2.9,12.7,57.4,,,,,,,,
1981-01-01,7.4,,-1.8,10.8,2.9,-3.1,11.9,56.5,,,,,,,,
1981-02-01,7.6,,-1.1,10.8,2.4,-2.1,11.8,39.8,,,,,,,,
1981-03-01,7.7,,-1.5,10.9,2.2,-2.5,12.4,39.9,,,,,,,,
1981-04-01,7.9,,-4.1,10.9,0.8,-5.4,14.6,8.4,,,,,,,,
1981-05-01,7.5,,-0.3,10.8,2.4,-1,12,-13.4,,,,,,,,
1981-06-01,8.3,,3.3,11.4,2.9,3.4,11.4,-13,,,,,,,,
1981-07-01,9,,5.6,11.1,4.5,5.9,11,-5.1,,,,,,,,
1981-08-01,9.6,,6.7,11,5.2,7.1,11,13.6,,,,,,,,
1981-09-01,10.1,,7.3,11.2,5.5,7.8,11.2,29.9,,,,,,,,
1981-10-01,10.8,,8.3,11.3,5.9,9,11.4,44.7,,,,,,,,
