"Date","外貨準備","外貨準備:外貨","外貨準備:外貨:(a)証券","外貨準備:外貨:(a)証券うち:本邦発行体分","外貨準備:外貨:(b)預金","外貨準備:外貨:(b)預金:外国中央銀行及びBISへの預金","外貨準備:外貨:(b)預金:本邦金融機関への預金","外貨準備:外貨:(b)預金:本邦金融機関への預金:うち:海外拠点分","外貨準備:外貨:(b)預金:外国金融機関への預金","外貨準備:外貨:(b)預金:外国金融機関への預金:うち:本邦内拠点分","外貨準備:IMFリザーブポジション","外貨準備:SDR","外貨準備:金","外貨準備:その他外貨準備","外貨準備:その他外貨準備:(a)金融派生商品","外貨準備:その他外貨準備:(b)非銀行非居住者に対する貸付","外貨準備:その他外貨準備:(c)その他"
2000-04-01,35.763400914,34.234661343,26.659832292,,7.574829051,0.804772113,4.607766621,,2.162290317,2.162290317,0.568484514,0.256356729,0.703898328,,,,
2000-05-01,36.952022088,35.387657427,27.719432591,,7.668224836,0.6927095975,4.725156851,,2.2503583875,2.2503583875,0.579514675,0.270367968,0.714482018,,,,
2000-06-01,36.596954173,35.0155780975,27.7449200925,,7.270658005,0.5774288455,4.373644106,,2.3195850535,2.3195850535,0.5753063355,0.2652076245,0.7408621155,,,,
2000-07-01,37.3200903315,35.756325945,28.4077911915,,7.3485347535,0.574170219,4.432559463,,2.3418050715,2.3418050715,0.568326798,0.260356869,0.7350807195,,,,
2000-08-01,37.2718501812,35.7469438176,28.6797826224,,7.0671611952,0.56201808,4.2861444228,,2.2189986924,2.2189986924,0.524730342,0.2652293016,0.73494672,,,,
2000-09-01,37.28073195,35.7874642125,28.5317022375,,7.255761975,0.6951916125,4.302773475,,2.2577968875,2.2577968875,0.5159182875,0.259615125,0.717734325,,,,
2000-10-01,37.8525364595,36.3822676213,29.1618140106,,7.2204536107,0.7071561509,4.2833861071,,2.2299113527,2.2299113527,0.5121758167,0.2539732718,0.7041197497,,,,
2000-11-01,38.650190301,37.155234018,29.7910972455,,7.3641367725,0.8843940735,4.2663048015,,2.2134378975,2.2134378975,0.5117996025,0.2630399235,0.720116757,,,,
2000-12-01,40.579038342,38.960311308,31.367352696,,7.592958612,0.925948668,4.390177125,,2.276832819,2.276832819,0.589433877,0.273341124,0.755952033,,,,
2001-01-01,42.4941227461,40.8230311224,32.8902752976,,7.9327558248,0.9441090148,4.5824055444,,2.4062412656,2.4062412656,0.6316616666,0.2818793104,0.7575506467,,,,
2001-02-01,42.273034353,40.6168203617,32.8159118199,,7.8009085418,0.7746976105,4.5883253075,,2.4378856238,2.4378856238,0.6075535499,0.2876784075,0.7609820339,,,,
2001-03-01,43.92065536,42.259560505,34.261129365,,7.99843114,0.628788375,4.781829275,,2.58781349,2.58781349,0.60460888,0.287845345,0.76864063,,,,
2001-04-01,44.880726081,43.182587961,35.065809552,,8.116778409,0.705866013,4.813701732,,2.597210664,2.597210664,0.607591839,0.290985621,0.79956066,,,,
2001-05-01,44.0683986528,42.3603561114,34.3470344058,,8.0133217056,0.649024506,4.7393401122,,2.6249570874,2.6249570874,0.616147092,0.2905389252,0.8013565242,,,,
2001-06-01,44.372547766,42.649478633,34.839936654,,7.809541979,0.653843744,4.59795058,,2.557747655,2.557747655,0.62154308,0.287035446,0.814490607,,,,
2001-07-01,45.7749634156,44.005098426,35.8934247205,,8.1116737055,0.6676833103,4.735907724,,2.7080826712,2.7080826712,0.6603379224,0.295060497,0.8144665702,,,,
