"Date","外貨準備","外貨準備:外貨","外貨準備:外貨:(a)証券","外貨準備:外貨:(a)証券うち:本邦発行体分","外貨準備:外貨:(b)預金","外貨準備:外貨:(b)預金:外国中央銀行及びBISへの預金","外貨準備:外貨:(b)預金:本邦金融機関への預金","外貨準備:外貨:(b)預金:本邦金融機関への預金:うち:海外拠点分","外貨準備:外貨:(b)預金:外国金融機関への預金","外貨準備:外貨:(b)預金:外国金融機関への預金:うち:本邦内拠点分","外貨準備:IMFリザーブポジション","外貨準備:SDR","外貨準備:金","外貨準備:その他外貨準備","外貨準備:その他外貨準備:(a)金融派生商品","外貨準備:その他外貨準備:(b)非銀行非居住者に対する貸付","外貨準備:その他外貨準備:(c)その他"
2000-04-01,338582,324109,252396,,71713,7619,43623,,20471,20471,5382,2427,6664,,,,
2000-05-01,341136,326694,255902,,70792,6395,43622,,20775,20775,5350,2496,6596,,,,
2000-06-01,344846,329945,261435,,68510,5441,41212,,21857,21857,5421,2499,6981,,,,
2000-07-01,344881,330430,262521,,67909,5306,40962,,21641,21641,5252,2406,6793,,,,
2000-08-01,344853,330744,265356,,65388,5200,39657,,20531,20531,4855,2454,6800,,,,
2000-09-01,348948,334971,267057,,67914,6507,40274,,21133,21133,4829,2430,6718,,,,
2000-10-01,349055,335497,268914,,66583,6521,39499,,20563,20563,4723,2342,6493,,,,
2000-11-01,354558,340844,273289,,67555,8113,39137,,20305,20305,4695,2413,6606,,,,
2000-12-01,361638,347212,279544,,67668,8252,39125,,20291,20291,5253,2436,6737,,,,
2001-01-01,364219,349896,281904,,67992,8092,39276,,20624,20624,5414,2416,6493,,,,
2001-02-01,363690,349441,282327,,67114,6665,39475,,20974,20974,5227,2475,6547,,,,
2001-03-01,361472,347801,281973,,65828,5175,39355,,21298,21298,4976,2369,6326,,,,
2001-04-01,362611,348891,283312,,65579,5703,38892,,20984,20984,4909,2351,6460,,,,
2001-05-01,361904,347877,282069,,65808,5330,38921,,21557,21557,5060,2386,6581,,,,
2001-06-01,362666,348583,284754,,63829,5344,37580,,20905,20905,5080,2346,6657,,,,
2001-07-01,367676,353460,288305,,65155,5363,38040,,21752,21752,5304,2370,6542,,,,
2001-08-01,372217,357626,290821,,66805,5412,38556,,22837,22837,5402,2473,6716,,,,
2001-09-01,397015,380673,302774,,77899,9046,42546,,26307,26307,6656,2475,7211,,,,
2001-10-01,405701,390029,320371,,69658,5579,39841,,24238,24238,6424,2390,6858,,,,
2001-11-01,403880,388567,324317,,64250,5549,36528,,22173,22173,6119,2416,6778,,,,
2001-12-01,401959,387727,322905,,64822,5565,36209,,23048,23048,5051,2378,6803,,,,
2002-01-01,400877,386681,320589,,66092,5537,36208,,24347,24347,4992,2258,6946,,,,
2002-02-01,403486,387770,324088,,63682,5565,34815,,23302,23302,6120,2293,7303,,,,
2002-03-01,401518,385675,327576,,58099,5814,31505,,20780,20780,6125,2303,7415,,,,
2002-04-01,406700,391112,330477,,60635,5887,32406,,22342,22342,5681,2325,7582,,,,
2002-05-01,419652,403332,337366,,65966,8939,33141,,23886,23886,5910,2375,8035,,,,
2002-06-01,446198,428850,363384,,65466,8710,32496,,24260,24260,7073,2439,7836,,,,
2002-07-01,453091,436180,369664,,66516,8726,33120,,24670,24670,7034,2382,7495,,,,
2002-08-01,456069,438988,371760,,67228,8825,33225,,25178,25178,6946,2439,7696,,,,
2002-09-01,460725,443096,375762,,67334,8696,33605,,25033,25033,7235,2430,7964,,,,
2002-10-01,460975,443582,375803,,67779,5974,34754,,27051,27051,7169,2428,7796,,,,
2002-11-01,460472,443062,378694,,64368,5849,33128,,25391,25391,7085,2475,7850,,,,
2002-12-01,469728,451458,387743,,63715,4622,33348,,25745,25745,7203,2525,8542,,,,
2003-01-01,478593,459838,392291,,67547,6081,34761,,26705,26705,7191,2522,9042,,,,
2003-02-01,485265,467074,398602,,68472,6433,35061,,26978,26978,7101,2542,8548,,,,
2003-03-01,496181,477778,409548,,68230,6553,34544,,27133,27133,7623,2542,8238,,,,
2003-04-01,499442,480991,409298,,71693,7834,35342,,28517,28517,7674,2492,8285,,,,
2003-05-01,543088,523791,441832,,81959,7503,40327,,34129,34129,7813,2593,8891,,,,
2003-06-01,545618,526573,443630,,82943,7348,40818,,34777,34777,7985,2547,8513,,,,
2003-07-01,556836,537658,442151,,95507,6905,47398,,41204,41204,7923,2528,8727,,,,
2003-08-01,555088,535507,443400,,92107,5895,46094,,40118,40118,7839,2501,9241,,,,
2003-09-01,604873,584119,467159,,116960,9896,56519,,50545,50545,8577,2631,9546,,,,
2003-10-01,626269,605683,483889,,121794,5993,60609,,55192,55192,8450,2633,9503,,,,
2003-11-01,644569,623784,505186,,118598,6162,57143,,55293,55293,8306,2679,9800,,,,
2003-12-01,673529,652790,525967,,126823,6826,57863,,62134,62134,7733,2765,10241,,,,
2004-01-01,741246,720945,556401,,164544,6243,67818,,90483,90483,7709,2757,9835,,,,
2004-02-01,776857,756593,584195,,172398,8301,68489,,95608,95608,7739,2787,9738,,,,
2004-03-01,826577,806019,625782,,180237,6652,71174,,102411,102411,7404,2729,10425,,,,
2004-04-01,814969,795474,623744,,171730,6587,67980,,97163,97163,7261,2676,9558,,,,
2004-05-01,816848,797149,637811,,159338,7680,60611,,91047,91047,7346,2678,9675,,,,
2004-06-01,817951,798613,658107,,140506,6308,51690,,82508,82508,6928,2673,9737,,,,
2004-07-01,819203,800059,661824,,138235,6289,50307,,81639,81639,6888,2627,9629,,,,
2004-08-01,827954,808372,686685,,121687,6368,45948,,69371,69371,6896,2667,10019,,,,
2004-09-01,830992,811165,688612,,122553,6359,45748,,70446,70446,6919,2682,10226,,,,
2004-10-01,837878,817670,696422,,121248,6502,45340,,69406,69406,7034,2704,10470,,,,
2004-11-01,840087,819141,696275,,122866,6420,46513,,69933,69933,6982,2809,11155,,,,
2004-12-01,844543,824264,699398,,124866,7005,46473,,71388,71388,6701,2802,10776,,,,
2005-01-01,840966,821203,696978,,124225,3630,45206,,75389,75389,6631,2746,10386,,,,
2005-02-01,840564,820481,696633,,123848,3619,43155,,77074,77074,6562,2808,10713,,,,
2005-03-01,837718,818555,696133,,122422,3563,41954,,76905,76905,5913,2732,10518,,,,
2005-04-01,843601,824207,702307,,121900,5180,40073,,76647,76647,5937,2738,10719,,,,
2005-05-01,842468,823864,700685,,123179,6674,42659,,73846,73846,5721,2687,10196,,,,
2005-06-01,843537,824967,703650,,121317,7195,41519,,72603,72603,5193,2623,10754,,,,
2005-07-01,839378,821675,700132,,121543,7653,41842,,72048,72048,4534,2615,10554,,,,
2005-08-01,847766,829881,707373,,122508,7918,40349,,74241,74241,4559,2667,10659,,,,
2005-09-01,843563,824855,703348,,121507,7485,41319,,72703,72703,4441,2624,11643,,,,
2005-10-01,841792,823176,700393,,122783,8541,40871,,73371,73371,4430,2605,11581,,,,
2005-11-01,843268,824269,702081,,122188,7995,39999,,74194,74194,4205,2600,12194,,,,
2005-12-01,846897,828813,706262,,122551,7866,39415,,75270,75270,2878,2585,12621,,,,
2006-01-01,851666,832846,710551,,122295,7531,40692,,74072,74072,2214,2613,13993,,,,
2006-02-01,850058,831584,710183,,121401,8173,36857,,76371,76371,2198,2597,13679,,,,
2006-03-01,852030,832648,710210,,122438,7721,32053,,82664,82664,2140,2608,14318,316,,,316
2006-04-01,860242,839230,717457,,121773,7605,27631,,86537,86537,2185,2663,15844,320,,,320
2006-05-01,864112,842802,719445,,123357,7962,23637,,91758,91758,2195,2730,16066,319,,,319
2006-06-01,864878,844028,722148,,121880,7839,25143,,88898,88898,2735,2703,15094,318,,,318
2006-07-01,871938,850600,727440,,123160,7949,25803,,89408,89408,2744,2711,15561,322,,,322
2006-08-01,878748,857862,735459,,122403,7526,25880,,88997,88993,2469,2751,15340,326,,,326
2006-09-01,881273,861107,737906,,123201,7487,25858,,89856,89856,2365,2728,14743,330,,,330
2006-10-01,885554,865581,740946,,124635,7793,26213,,90629,90616,2050,2735,14854,334,,,334
2006-11-01,896949,875945,750989,,124956,6863,26434,,91659,91655,1937,2818,15911,338,,,338
2006-12-01,895320,874596,749291,,125305,6533,26027,,92745,92745,1933,2812,15639,340,,,340
2007-01-01,895383,874532,749006,,125526,6032,25832,,93662,93658,1738,2769,16004,340,,,340
2007-02-01,905048,884033,758231,,125802,6109,25856,,93837,93828,1506,2824,16341,344,,,344
2007-03-01,908958,887983,762305,,125678,5863,25773,,94042,94042,1512,2835,16281,347,,,347
2007-04-01,915623,894277,768632,,125645,6700,25913,,93032,93012,1492,2849,16656,349,,,349
2007-05-01,911137,890119,765180,,124939,6079,25812,,93048,93038,1582,2870,16216,350,,,350
2007-06-01,913572,892761,768407,,124354,5982,25971,,92401,92401,1585,2875,16004,347,,,347
2007-07-01,923718,902538,778582,,123956,5967,25365,,92624,92624,1571,2886,16373,350,,,350
2007-08-01,932157,910867,785602,,125265,6411,25458,,93396,93384,1490,2917,16533,350,,,350
2007-09-01,945601,922538,797037,,125501,6156,25328,,94017,94017,1466,2962,18279,356,,,356
2007-10-01,954484,930259,804839,,125420,6151,24237,,95032,95002,1448,2991,19423,363,,,363
2007-11-01,970185,946089,820862,,125227,5928,24417,,94882,94866,1404,3053,19276,363,,,363
2007-12-01,973365,947987,823532,,124455,6988,25137,,92330,92298,1395,3034,20580,369,,,369
2008-01-01,996044,968482,844478,,124004,6184,25932,,91888,91869,1409,3063,22714,376,,,376
2008-02-01,1007981,979196,856769,,122427,6113,25766,,90548,90548,1390,3115,23901,379,,,379
2008-03-01,1015587,987665,866960,,120705,6406,26019,,88280,88257,1398,3180,22966,378,,,378
2008-04-01,1003836,977513,858761,,118752,6026,26282,,86444,86444,1380,3140,21428,375,,,375
2008-05-01,996975,970006,853511,,116495,6103,24983,,85409,85409,1658,3151,21792,368,,,368
2008-06-01,1001549,973451,859245,,114206,5974,23565,,84667,84667,1671,3176,22887,364,,,364
2008-07-01,1004658,976947,865267,,111680,6040,22857,,82783,82783,1605,3151,22585,370,,,370
2008-08-01,996741,971253,862287,,108966,5970,21593,,81403,81403,1554,3072,20494,368,,,368
2008-09-01,995890,969236,864223,,105013,6210,22553,,76250,76223,1484,3047,21761,362,,,362
2008-10-01,977723,955068,853022,,102046,6512,21674,,73860,73824,1418,2913,17979,345,,,345
2008-11-01,1002861,976907,878779,,98128,6498,21481,,70149,70149,2631,2942,20038,343,,,343
2008-12-01,1030647,1003300,908015,,95285,7128,21506,,66651,66608,2659,3033,21281,374,,,374
2009-01-01,1010958,982457,890773,,91684,6367,21157,,64160,64160,2575,2938,22622,366,,,366
2009-02-01,1009354,980145,892340,,87805,6354,21068,,60383,60383,2533,2897,23422,357,,,357
2009-03-01,1018549,989730,905526,,84204,7428,20897,,55879,55879,2954,2951,22548,366,,,366
2009-04-01,1011473,983225,902495,,80730,6822,20690,,53218,53218,3184,2957,21730,377,,,377
2009-05-01,1024012,992457,915331,,77126,6378,20283,,50465,50465,4112,3062,23999,382,,,382
2009-06-01,1019175,988498,914522,,73976,6680,19724,,47572,47572,4332,2971,22991,383,,,383
2009-07-01,1022657,991932,921286,,70646,6893,19063,,44690,44690,4262,2973,23101,389,,,389
2009-08-01,1042340,995685,928704,,66981,6618,18073,,42290,42290,4300,18458,23508,389,,,389
2009-09-01,1052598,1002242,938637,,63605,6704,17021,,39880,39880,4359,21101,24498,398,,,398
2009-10-01,1056769,1005235,946107,,59128,6511,15778,,36839,36839,4374,21174,25586,400,,,400
2009-11-01,1073712,1018414,962886,,55528,6468,14769,,34291,34291,4430,21536,28926,406,,,406
2009-12-01,1049397,996552,945058,,51494,6570,13849,,31075,30912,4313,20968,27161,403,,,403
2010-01-01,1053070,1001068,953723,,47345,6678,12365,,28302,28302,4276,20787,26533,406,,,406
2010-02-01,1051079,998715,955919,,42796,6443,11089,,25264,25264,4187,20503,27266,408,,,408
2010-03-01,1042715,990513,952812,,37701,6706,9838,,21157,21157,4034,20311,27444,413,,,413
2010-04-01,1046873,993237,960224,,33013,6583,8858,,17572,17572,3986,20216,29012,422,,,422
2010-05-01,1041318,987635,960016,,27619,6367,7268,,13984,13984,3829,19729,29708,417,,,417
2010-06-01,1050235,995675,972040,,23635,6567,6077,,10991,10991,3743,19791,30605,421,,,421
2010-07-01,1063513,1009761,987801,,21960,6529,5763,,9668,9668,4241,20321,28761,429,,,429
2010-08-01,1070145,1014685,993822,,20863,6544,5708,,8611,8611,4172,20198,30655,435,,,435
2010-09-01,1109591,1051474,1031682,,19792,6799,9561,,3432,3432,4686,20831,32156,444,,,444
2010-10-01,1118121,1058896,1041171,,17725,6853,8405,,2467,2467,4607,21040,33133,445,,,445
2010-11-01,1101031,1041690,1026365,,15325,6518,6472,,2335,2335,4429,20435,34037,440,,,440
2010-12-01,1096185,1035817,1021985,,13832,6194,6052,,1586,1344,4608,20626,34695,439,,,439
2011-01-01,1092980,1034301,1020591,,13710,7518,4302,,1890,1890,4675,20919,32647,438,,,438
2011-02-01,1091485,1030543,1018354,,12189,6538,3825,,1826,1826,4708,21080,34714,440,,,440
2011-03-01,1116025,1041409,1027573,,13836,7733,4449,,1654,1654,17521,21247,35403,445,,,445
2011-04-01,1135549,1057678,1044784,,12894,6581,4475,,1838,1838,18857,20784,37777,453,,,453
2011-05-01,1139524,1062256,1049259,,12997,6544,4669,,1784,1784,18465,20546,37801,456,,,456
